Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 3:56:19,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 3:55:10,0.00,0.01,12.00,0.10,0.10,0.00
오후 3:55:11,0.60,0.01,12.00,0.10,0.10,77.86
오후 3:55:12,0.60,0.01,12.00,0.10,0.10,89.46
오후 3:55:13,0.60,0.19,12.00,0.10,0.10,66.04
오후 3:55:14,0.60,0.36,12.00,0.10,0.10,51.99
오후 3:55:15,0.60,0.48,12.00,0.10,0.10,44.46
오후 3:55:16,0.60,0.57,12.00,0.10,0.10,37.92
오후 3:55:17,0.60,0.63,12.00,0.10,0.10,32.49
오후 3:55:18,0.60,0.67,12.00,0.10,0.10,29.11
오후 3:55:19,0.60,0.68,12.00,0.10,0.10,28.35
오후 3:55:20,0.60,0.68,12.00,0.10,0.10,27.16
오후 3:55:21,0.60,0.68,12.00,0.10,0.10,25.58
오후 3:55:22,0.60,0.68,12.00,0.10,0.10,24.46
오후 3:55:23,0.60,0.67,12.00,0.10,0.10,23.94
오후 3:55:24,0.60,0.66,12.00,0.10,0.10,23.64
오후 3:55:25,0.60,0.65,12.00,0.10,0.10,23.61
오후 3:55:26,0.60,0.64,12.00,0.10,0.10,24.48
오후 3:55:27,0.60,0.63,12.00,0.10,0.10,24.67
오후 3:55:28,0.60,0.62,12.00,0.10,0.10,25.15
오후 3:55:29,0.60,0.62,12.00,0.10,0.10,23.97
오후 3:55:30,0.60,0.62,12.00,0.10,0.10,23.42
오후 3:55:31,0.60,0.62,12.00,0.10,0.10,23.26
오후 3:55:32,0.60,0.62,12.00,0.10,0.10,22.78
오후 3:55:33,0.60,0.62,12.00,0.10,0.10,22.34
오후 3:55:34,0.60,0.62,12.00,0.10,0.10,22.31
오후 3:55:35,0.60,0.61,12.00,0.10,0.10,23.19
오후 3:55:36,0.60,0.60,12.00,0.10,0.10,24.21
오후 3:55:37,0.60,0.59,12.00,0.10,0.10,25.38
오후 3:55:38,0.60,0.60,12.00,0.10,0.10,24.63
오후 3:55:39,0.60,0.60,12.00,0.10,0.10,23.72
오후 3:55:40,0.60,0.61,12.00,0.10,0.10,23.01
오후 3:55:41,0.60,0.61,12.00,0.10,0.10,22.22
오후 3:55:42,0.60,0.61,12.00,0.10,0.10,22.28
오후 3:55:43,0.60,0.61,12.00,0.10,0.10,23.44
오후 3:55:44,0.60,0.60,12.00,0.10,0.10,24.72
오후 3:55:45,0.60,0.59,12.00,0.10,0.10,25.36
오후 3:55:46,0.60,0.60,12.00,0.10,0.10,23.77
오후 3:55:47,0.60,0.60,12.00,0.10,0.10,23.21
오후 3:55:48,0.60,0.61,12.00,0.10,0.10,22.79
오후 3:55:49,0.60,0.61,12.00,0.10,0.10,22.05
오후 3:55:50,0.60,0.61,12.00,0.10,0.10,22.26
오후 3:55:51,0.60,0.60,12.00,0.10,0.10,23.41
오후 3:55:52,0.60,0.60,12.00,0.10,0.10,24.29
오후 3:55:53,0.60,0.59,12.00,0.10,0.10,25.07
오후 3:55:54,0.60,0.59,12.00,0.10,0.10,24.10
오후 3:55:55,0.60,0.60,12.00,0.10,0.10,23.32
오후 3:55:56,0.60,0.60,12.00,0.10,0.10,22.92
오후 3:55:57,0.60,0.61,12.00,0.10,0.10,22.27
오후 3:55:58,0.60,0.61,12.00,0.10,0.10,21.56
오후 3:55:59,0.60,0.61,12.00,0.10,0.10,22.89
오후 3:56:00,0.60,0.60,12.00,0.10,0.10,23.95
오후 3:56:01,0.60,0.59,12.00,0.10,0.10,24.76
오후 3:56:02,0.60,0.59,12.00,0.10,0.10,23.86
오후 3:56:03,0.60,0.60,12.00,0.10,0.10,23.55
오후 3:56:04,0.60,0.60,12.00,0.10,0.10,23.49
오후 3:56:05,0.60,0.60,12.00,0.10,0.10,22.50
오후 3:56:06,0.60,0.61,12.00,0.10,0.10,22.52
오후 3:56:07,0.60,0.61,12.00,0.10,0.10,22.17
오후 3:56:08,0.60,0.61,12.00,0.10,0.10,22.34
오후 3:56:09,0.60,0.60,12.00,0.10,0.10,23.22
오후 3:56:10,0.60,0.60,12.00,0.10,0.10,24.06
오후 3:56:11,0.60,0.59,12.00,0.10,0.10,25.40
오후 3:56:12,0.60,0.59,12.00,0.10,0.10,24.10
오후 3:56:13,0.60,0.60,12.00,0.10,0.10,23.20
오후 3:56:14,0.60,0.61,12.00,0.10,0.10,21.85
오후 3:56:15,0.60,0.61,12.00,0.10,0.10,21.27
오후 3:56:16,0.60,0.60,12.00,0.10,0.10,23.24
오후 3:56:17,0.60,0.60,12.00,0.10,0.10,23.97
오후 3:56:18,0.60,0.59,12.00,0.10,0.10,24.86
오후 3:56:19,0.60,0.59,12.00,0.10,0.10,24.09
