Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 6:14:07,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 6:10:19,0.00,0.03,8.00,0.30,0.30,100.00
오후 6:10:20,1.20,0.27,8.00,0.30,0.30,32.14
오후 6:10:21,1.20,0.48,8.00,0.30,0.30,44.23
오후 6:10:22,1.20,0.65,8.00,0.30,0.30,53.51
오후 6:10:23,1.20,0.77,8.00,0.30,0.30,57.61
오후 6:10:24,1.20,0.85,8.00,0.30,0.30,61.24
오후 6:10:25,1.20,0.91,8.00,0.30,0.30,63.58
오후 6:10:26,1.20,0.96,8.00,0.30,0.30,65.05
오후 6:10:27,1.20,0.99,8.00,0.30,0.30,66.12
오후 6:10:28,1.20,1.01,8.00,0.30,0.30,66.54
오후 6:10:29,1.20,1.03,8.00,0.30,0.30,66.69
오후 6:10:30,1.20,1.04,8.00,0.30,0.30,66.77
오후 6:10:31,1.20,1.05,8.00,0.30,0.30,66.62
오후 6:10:32,1.20,1.06,8.00,0.30,0.30,66.32
오후 6:10:33,1.20,1.06,8.00,0.30,0.30,66.16
오후 6:10:34,1.20,1.06,8.00,0.30,0.30,65.44
오후 6:10:35,1.20,1.07,8.00,0.30,0.30,65.08
오후 6:10:36,1.20,1.07,8.00,0.30,0.30,64.53
오후 6:10:37,1.20,1.07,8.00,0.30,0.30,64.28
오후 6:10:38,1.20,1.07,8.00,0.30,0.30,63.32
오후 6:10:39,1.20,1.07,8.00,0.30,0.30,62.97
오후 6:10:40,1.20,1.07,8.00,0.30,0.30,62.47
오후 6:10:41,1.20,1.07,8.00,0.30,0.30,61.88
오후 6:10:42,1.20,1.07,8.00,0.30,0.30,61.57
오후 6:10:43,1.20,1.07,8.00,0.30,0.30,60.84
오후 6:10:44,1.20,1.07,8.00,0.30,0.30,60.14
오후 6:10:45,1.20,1.07,8.00,0.30,0.30,59.85
오후 6:10:46,1.20,1.07,8.00,0.30,0.30,59.26
오후 6:10:47,1.20,1.07,8.00,0.30,0.30,58.58
오후 6:10:48,1.20,1.07,8.00,0.30,0.30,58.05
오후 6:10:49,1.20,1.07,8.00,0.30,0.30,57.68
오후 6:10:50,1.20,1.07,8.00,0.30,0.30,56.95
오후 6:10:51,1.20,1.07,8.00,0.30,0.30,56.30
오후 6:10:52,1.20,1.08,8.00,0.30,0.30,56.19
오후 6:10:53,1.20,1.07,8.00,0.30,0.30,54.93
오후 6:10:54,1.20,1.07,8.00,0.30,0.30,54.74
오후 6:10:55,1.20,1.07,8.00,0.30,0.30,53.89
오후 6:10:56,1.20,1.07,8.00,0.30,0.30,53.50
오후 6:10:57,1.20,1.07,8.00,0.30,0.30,53.16
오후 6:10:58,1.20,1.07,8.00,0.30,0.30,52.60
오후 6:10:59,1.20,1.07,8.00,0.30,0.30,51.71
오후 6:11:00,1.20,1.07,8.00,0.30,0.30,51.27
오후 6:11:01,1.20,1.07,8.00,0.30,0.30,50.89
오후 6:11:02,1.20,1.07,8.00,0.30,0.30,50.26
오후 6:11:03,1.20,1.07,8.00,0.30,0.30,49.79
오후 6:11:04,1.20,1.07,8.00,0.30,0.30,49.04
오후 6:11:05,1.20,1.08,8.00,0.30,0.30,48.94
오후 6:11:06,1.20,1.07,8.00,0.30,0.30,48.04
오후 6:11:07,1.20,1.08,8.00,0.30,0.30,47.65
오후 6:11:08,1.20,1.08,8.00,0.30,0.30,47.01
오후 6:11:09,1.20,1.08,8.00,0.30,0.30,46.55
오후 6:11:10,1.20,1.08,8.00,0.30,0.30,46.00
오후 6:11:11,1.20,1.08,8.00,0.30,0.30,45.69
오후 6:11:12,1.20,1.08,8.00,0.30,0.30,45.09
오후 6:11:13,1.20,1.08,8.00,0.30,0.30,44.27
오후 6:11:14,1.20,1.08,8.00,0.30,0.30,44.09
오후 6:11:15,1.20,1.08,8.00,0.30,0.30,43.61
오후 6:11:16,1.20,1.08,8.00,0.30,0.30,43.02
오후 6:11:17,1.20,1.08,8.00,0.30,0.30,42.56
오후 6:11:18,1.20,1.08,8.00,0.30,0.30,42.09
오후 6:11:19,1.20,1.08,8.00,0.30,0.30,41.54
오후 6:11:20,1.20,1.08,8.00,0.30,0.30,41.04
오후 6:11:21,1.20,1.08,8.00,0.30,0.30,40.77
오후 6:11:22,1.20,1.08,8.00,0.30,0.30,40.29
오후 6:11:23,1.20,1.08,8.00,0.30,0.30,39.77
오후 6:11:24,1.20,1.09,8.00,0.30,0.30,39.35
오후 6:11:25,1.20,1.09,8.00,0.30,0.30,39.07
오후 6:11:26,1.20,1.09,8.00,0.30,0.30,38.52
오후 6:11:27,1.20,1.09,8.00,0.30,0.30,38.14
오후 6:11:28,1.20,1.09,8.00,0.30,0.30,37.61
오후 6:11:29,1.20,1.09,8.00,0.30,0.30,37.29
오후 6:11:30,1.20,1.09,8.00,0.30,0.30,37.07
오후 6:11:31,1.20,1.09,8.00,0.30,0.30,36.69
오후 6:11:32,1.20,1.10,8.00,0.30,0.30,36.37
오후 6:11:33,1.20,1.10,8.00,0.30,0.30,35.93
오후 6:11:34,1.20,1.10,8.00,0.30,0.30,35.37
오후 6:11:35,1.20,1.10,8.00,0.30,0.30,35.09
오후 6:11:36,1.20,1.10,8.00,0.30,0.30,34.97
오후 6:11:37,1.20,1.10,8.00,0.30,0.30,34.54
오후 6:11:38,1.20,1.10,8.00,0.30,0.30,33.97
오후 6:11:39,1.20,1.10,8.00,0.30,0.30,33.78
오후 6:11:40,1.20,1.11,8.00,0.30,0.30,33.54
오후 6:11:41,1.20,1.11,8.00,0.30,0.30,32.99
