Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 6:17:47,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 6:14:38,0.00,0.03,8.00,0.30,0.30,100.00
오후 6:14:39,1.20,0.03,8.00,0.30,0.30,1.37
오후 6:14:40,1.20,0.21,8.00,0.30,0.30,28.54
오후 6:14:41,1.20,0.49,8.00,0.30,0.30,56.84
오후 6:14:42,1.20,0.68,8.00,0.30,0.30,59.46
오후 6:14:43,1.20,0.78,8.00,0.30,0.30,57.51
오후 6:14:44,1.20,0.86,8.00,0.30,0.30,60.10
오후 6:14:45,1.20,0.92,8.00,0.30,0.30,61.53
오후 6:14:46,1.20,0.96,8.00,0.30,0.30,62.50
오후 6:14:47,1.20,0.99,8.00,0.30,0.30,62.85
오후 6:14:48,1.20,1.02,8.00,0.30,0.30,62.64
오후 6:14:49,1.20,1.03,8.00,0.30,0.30,62.66
오후 6:14:50,1.20,1.04,8.00,0.30,0.30,62.21
오후 6:14:51,1.20,1.05,8.00,0.30,0.30,62.33
오후 6:14:52,1.20,1.06,8.00,0.30,0.30,61.74
오후 6:14:53,1.20,1.06,8.00,0.30,0.30,61.11
오후 6:14:54,1.20,1.06,8.00,0.30,0.30,60.46
오후 6:14:55,1.20,1.07,8.00,0.30,0.30,60.27
오후 6:14:56,1.20,1.07,8.00,0.30,0.30,59.29
오후 6:14:57,1.20,1.07,8.00,0.30,0.30,59.12
오후 6:14:58,1.20,1.07,8.00,0.30,0.30,58.61
오후 6:14:59,1.20,1.07,8.00,0.30,0.30,57.87
오후 6:15:00,1.20,1.07,8.00,0.30,0.30,57.60
오후 6:15:01,1.20,1.07,8.00,0.30,0.30,56.83
오후 6:15:02,1.20,1.07,8.00,0.30,0.30,56.52
오후 6:15:03,1.20,1.07,8.00,0.30,0.30,55.69
오후 6:15:04,1.20,1.07,8.00,0.30,0.30,55.26
오후 6:15:05,1.20,1.07,8.00,0.30,0.30,54.77
오후 6:15:06,1.20,1.07,8.00,0.30,0.30,54.04
오후 6:15:07,1.20,1.07,8.00,0.30,0.30,53.55
오후 6:15:08,1.20,1.07,8.00,0.30,0.30,53.28
오후 6:15:09,1.20,1.07,8.00,0.30,0.30,52.32
오후 6:15:10,1.20,1.07,8.00,0.30,0.30,52.06
오후 6:15:11,1.20,1.07,8.00,0.30,0.30,51.52
오후 6:15:12,1.20,1.07,8.00,0.30,0.30,50.65
오후 6:15:13,1.20,1.07,8.00,0.30,0.30,50.55
오후 6:15:14,1.20,1.08,8.00,0.30,0.30,49.95
오후 6:15:15,1.20,1.07,8.00,0.30,0.30,49.05
오후 6:15:16,1.20,1.07,8.00,0.30,0.30,48.81
오후 6:15:17,1.20,1.08,8.00,0.30,0.30,48.24
오후 6:15:18,1.20,1.08,8.00,0.30,0.30,47.60
오후 6:15:19,1.20,1.08,8.00,0.30,0.30,47.39
오후 6:15:20,1.20,1.08,8.00,0.30,0.30,46.47
오후 6:15:21,1.20,1.07,8.00,0.30,0.30,45.85
오후 6:15:22,1.20,1.08,8.00,0.30,0.30,45.80
오후 6:15:23,1.20,1.08,8.00,0.30,0.30,45.14
오후 6:15:24,1.20,1.08,8.00,0.30,0.30,44.54
오후 6:15:25,1.20,1.08,8.00,0.30,0.30,43.95
