Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 3:26:27,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 3:25:34,0.00,0.01,4.00,0.10,0.10,0.00
오후 3:25:35,0.60,0.01,4.00,0.10,0.10,25.93
오후 3:25:36,0.60,0.01,4.00,0.10,0.10,29.98
오후 3:25:37,0.60,0.12,4.00,0.10,0.10,26.33
오후 3:25:38,0.60,0.24,4.00,0.10,0.10,23.96
오후 3:25:39,0.60,0.32,4.00,0.10,0.10,24.05
오후 3:25:40,0.60,0.37,4.00,0.10,0.10,24.33
오후 3:25:41,0.60,0.41,4.00,0.10,0.10,24.75
오후 3:25:42,0.60,0.43,4.00,0.10,0.10,25.07
오후 3:25:43,0.60,0.46,4.00,0.10,0.10,24.93
오후 3:25:44,0.60,0.49,4.00,0.10,0.10,24.72
오후 3:25:45,0.60,0.51,4.00,0.10,0.10,24.57
오후 3:25:46,0.60,0.53,4.00,0.10,0.10,24.65
오후 3:25:47,0.60,0.54,4.00,0.10,0.10,24.78
오후 3:25:48,0.60,0.55,4.00,0.10,0.10,24.85
오후 3:25:49,0.60,0.56,4.00,0.10,0.10,24.66
오후 3:25:50,0.60,0.56,4.00,0.10,0.10,24.77
오후 3:25:51,0.60,0.57,4.00,0.10,0.10,24.82
오후 3:25:52,0.60,0.58,4.00,0.10,0.10,24.67
오후 3:25:53,0.60,0.58,4.00,0.10,0.10,24.63
오후 3:25:54,0.60,0.59,4.00,0.10,0.10,24.65
오후 3:25:55,0.60,0.59,4.00,0.10,0.10,24.47
오후 3:25:56,0.60,0.59,4.00,0.10,0.10,24.45
오후 3:25:57,0.60,0.60,4.00,0.10,0.10,24.25
오후 3:25:58,0.60,0.60,4.00,0.10,0.10,24.46
오후 3:25:59,0.60,0.60,4.00,0.10,0.10,24.37
오후 3:26:00,0.60,0.60,4.00,0.10,0.10,24.62
오후 3:26:01,0.60,0.60,4.00,0.10,0.10,24.45
오후 3:26:02,0.60,0.60,4.00,0.10,0.10,24.35
오후 3:26:03,0.60,0.60,4.00,0.10,0.10,24.50
오후 3:26:04,0.60,0.60,4.00,0.10,0.10,24.22
오후 3:26:05,0.60,0.60,4.00,0.10,0.10,24.40
오후 3:26:06,0.60,0.60,4.00,0.10,0.10,24.24
오후 3:26:07,0.60,0.60,4.00,0.10,0.10,24.19
오후 3:26:08,0.60,0.60,4.00,0.10,0.10,24.34
오후 3:26:09,0.60,0.60,4.00,0.10,0.10,24.15
오후 3:26:10,0.60,0.60,4.00,0.10,0.10,24.31
오후 3:26:11,0.60,0.60,4.00,0.10,0.10,24.31
오후 3:26:12,0.60,0.60,4.00,0.10,0.10,24.31
오후 3:26:13,0.60,0.60,4.00,0.10,0.10,24.31
오후 3:26:14,0.60,0.60,4.00,0.10,0.10,24.50
오후 3:26:15,0.60,0.60,4.00,0.10,0.10,24.21
오후 3:26:16,0.60,0.60,4.00,0.10,0.10,24.31
오후 3:26:17,0.60,0.60,4.00,0.10,0.10,24.23
오후 3:26:18,0.60,0.60,4.00,0.10,0.10,24.14
오후 3:26:19,0.60,0.60,4.00,0.10,0.10,24.12
오후 3:26:20,0.60,0.60,4.00,0.10,0.10,24.19
오후 3:26:21,0.60,0.60,4.00,0.10,0.10,24.15
오후 3:26:22,0.60,0.60,4.00,0.10,0.10,24.25
오후 3:26:23,0.60,0.60,4.00,0.10,0.10,24.26
오후 3:26:24,0.60,0.60,4.00,0.10,0.10,24.39
오후 3:26:25,0.60,0.60,4.00,0.10,0.10,24.36
오후 3:26:26,0.60,0.60,4.00,0.10,0.10,24.28
오후 3:26:27,0.60,0.60,4.00,0.10,0.10,24.51
