Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 3:10:23,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 3:09:42,0.00,0.01,4.00,0.10,0.10,0.00
오후 3:09:43,0.60,0.01,4.00,0.10,0.10,25.85
오후 3:09:44,0.60,0.01,4.00,0.10,0.10,29.81
오후 3:09:45,0.60,0.12,4.00,0.10,0.10,29.00
오후 3:09:46,0.60,0.24,4.00,0.10,0.10,26.90
오후 3:09:47,0.60,0.33,4.00,0.10,0.10,25.41
오후 3:09:48,0.60,0.39,4.00,0.10,0.10,24.54
오후 3:09:49,0.60,0.43,4.00,0.10,0.10,24.14
오후 3:09:50,0.60,0.46,4.00,0.10,0.10,24.02
오후 3:09:51,0.60,0.49,4.00,0.10,0.10,23.82
오후 3:09:52,0.60,0.50,4.00,0.10,0.10,23.86
오후 3:09:53,0.60,0.52,4.00,0.10,0.10,24.02
오후 3:09:54,0.60,0.52,4.00,0.10,0.10,24.20
오후 3:09:55,0.60,0.54,4.00,0.10,0.10,24.22
오후 3:09:56,0.60,0.55,4.00,0.10,0.10,24.16
오후 3:09:57,0.60,0.55,4.00,0.10,0.10,24.20
오후 3:09:58,0.60,0.56,4.00,0.10,0.10,24.15
오후 3:09:59,0.60,0.57,4.00,0.10,0.10,24.12
오후 3:10:00,0.60,0.57,4.00,0.10,0.10,24.14
오후 3:10:01,0.60,0.58,4.00,0.10,0.10,24.06
오후 3:10:02,0.60,0.58,4.00,0.10,0.10,24.05
오후 3:10:03,0.60,0.58,4.00,0.10,0.10,24.07
오후 3:10:04,0.60,0.59,4.00,0.10,0.10,24.06
오후 3:10:05,0.60,0.59,4.00,0.10,0.10,24.07
오후 3:10:06,0.60,0.59,4.00,0.10,0.10,24.03
오후 3:10:07,0.60,0.60,4.00,0.10,0.10,23.92
오후 3:10:08,0.60,0.59,4.00,0.10,0.10,23.99
오후 3:10:09,0.60,0.59,4.00,0.10,0.10,24.03
오후 3:10:10,0.60,0.60,4.00,0.10,0.10,23.98
오후 3:10:11,0.60,0.60,4.00,0.10,0.10,23.94
오후 3:10:12,0.60,0.60,4.00,0.10,0.10,23.95
오후 3:10:13,0.60,0.60,4.00,0.10,0.10,23.96
오후 3:10:14,0.60,0.60,4.00,0.10,0.10,24.01
오후 3:10:15,0.60,0.60,4.00,0.10,0.10,23.98
오후 3:10:16,0.60,0.60,4.00,0.10,0.10,23.92
오후 3:10:17,0.60,0.60,4.00,0.10,0.10,23.93
오후 3:10:18,0.60,0.60,4.00,0.10,0.10,23.97
오후 3:10:19,0.60,0.60,4.00,0.10,0.10,24.03
오후 3:10:20,0.60,0.60,4.00,0.10,0.10,24.02
오후 3:10:21,0.60,0.60,4.00,0.10,0.10,23.98
오후 3:10:22,0.60,0.60,4.00,0.10,0.10,23.91
