Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 3:30:13,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 3:29:19,0.00,0.01,4.00,0.10,0.10,0.00
오후 3:29:20,0.60,0.01,4.00,0.10,0.10,26.06
오후 3:29:21,0.60,0.01,4.00,0.10,0.10,29.87
오후 3:29:22,0.60,0.12,4.00,0.10,0.10,21.04
오후 3:29:23,0.60,0.24,4.00,0.10,0.10,18.26
오후 3:29:24,0.60,0.30,4.00,0.10,0.10,23.31
오후 3:29:25,0.60,0.32,4.00,0.10,0.10,26.73
오후 3:29:26,0.60,0.37,4.00,0.10,0.10,24.32
오후 3:29:27,0.60,0.42,4.00,0.10,0.10,23.82
오후 3:29:28,0.60,0.45,4.00,0.10,0.10,24.49
오후 3:29:29,0.60,0.47,4.00,0.10,0.10,25.42
오후 3:29:30,0.60,0.49,4.00,0.10,0.10,25.83
오후 3:29:31,0.60,0.51,4.00,0.10,0.10,25.36
오후 3:29:32,0.60,0.53,4.00,0.10,0.10,25.01
오후 3:29:33,0.60,0.55,4.00,0.10,0.10,25.09
오후 3:29:34,0.60,0.57,4.00,0.10,0.10,24.93
오후 3:29:35,0.60,0.57,4.00,0.10,0.10,25.57
오후 3:29:36,0.60,0.58,4.00,0.10,0.10,25.39
오후 3:29:37,0.60,0.58,4.00,0.10,0.10,25.51
오후 3:29:38,0.60,0.59,4.00,0.10,0.10,25.00
오후 3:29:39,0.60,0.60,4.00,0.10,0.10,25.03
오후 3:29:40,0.60,0.60,4.00,0.10,0.10,24.67
오후 3:29:41,0.60,0.61,4.00,0.10,0.10,24.82
오후 3:29:42,0.60,0.61,4.00,0.10,0.10,24.88
오후 3:29:43,0.60,0.61,4.00,0.10,0.10,24.90
오후 3:29:44,0.60,0.60,4.00,0.10,0.10,25.20
오후 3:29:45,0.60,0.61,4.00,0.10,0.10,24.69
오후 3:29:46,0.60,0.61,4.00,0.10,0.10,24.39
오후 3:29:47,0.60,0.61,4.00,0.10,0.10,24.54
오후 3:29:48,0.60,0.61,4.00,0.10,0.10,24.07
오후 3:29:49,0.60,0.62,4.00,0.10,0.10,23.99
오후 3:29:50,0.60,0.61,4.00,0.10,0.10,24.30
오후 3:29:51,0.60,0.61,4.00,0.10,0.10,24.51
오후 3:29:52,0.60,0.61,4.00,0.10,0.10,24.45
오후 3:29:53,0.60,0.61,4.00,0.10,0.10,24.20
오후 3:29:54,0.60,0.61,4.00,0.10,0.10,24.10
오후 3:29:55,0.60,0.61,4.00,0.10,0.10,23.93
오후 3:29:56,0.60,0.61,4.00,0.10,0.10,24.08
오후 3:29:57,0.60,0.61,4.00,0.10,0.10,24.23
오후 3:29:58,0.60,0.61,4.00,0.10,0.10,24.11
오후 3:29:59,0.60,0.60,4.00,0.10,0.10,24.28
오후 3:30:00,0.60,0.60,4.00,0.10,0.10,24.53
오후 3:30:01,0.60,0.60,4.00,0.10,0.10,24.24
오후 3:30:02,0.60,0.60,4.00,0.10,0.10,24.73
오후 3:30:03,0.60,0.60,4.00,0.10,0.10,23.95
오후 3:30:04,0.60,0.60,4.00,0.10,0.10,24.27
오후 3:30:05,0.60,0.60,4.00,0.10,0.10,24.04
오후 3:30:06,0.60,0.60,4.00,0.10,0.10,23.99
오후 3:30:07,0.60,0.60,4.00,0.10,0.10,24.10
오후 3:30:08,0.60,0.60,4.00,0.10,0.10,24.18
오후 3:30:09,0.60,0.60,4.00,0.10,0.10,24.41
오후 3:30:10,0.60,0.60,4.00,0.10,0.10,24.15
오후 3:30:11,0.60,0.60,4.00,0.10,0.10,24.44
오후 3:30:12,0.60,0.60,4.00,0.10,0.10,23.97
오후 3:30:13,0.60,0.60,4.00,0.10,0.10,23.84
