Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 6:44:48,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 6:41:32,0.00,0.03,12.00,0.30,0.30,100.00
오후 6:41:33,1.20,0.10,12.00,0.30,0.30,0.00
오후 6:41:34,1.20,0.36,12.00,0.30,0.30,82.13
오후 6:41:35,1.20,0.61,12.00,0.30,0.30,100.00
오후 6:41:36,1.20,0.75,12.00,0.30,0.30,93.33
오후 6:41:37,1.20,0.84,12.00,0.30,0.30,89.58
오후 6:41:38,1.20,0.90,12.00,0.30,0.30,90.44
오후 6:41:39,1.20,0.95,12.00,0.30,0.30,90.70
오후 6:41:40,1.20,0.98,12.00,0.30,0.30,90.21
오후 6:41:41,1.20,1.01,12.00,0.30,0.30,89.96
오후 6:41:42,1.20,1.02,12.00,0.30,0.30,89.48
오후 6:41:43,1.20,1.04,12.00,0.30,0.30,88.73
오후 6:41:44,1.20,1.05,12.00,0.30,0.30,88.51
오후 6:41:45,1.20,1.06,12.00,0.30,0.30,87.79
오후 6:41:46,1.20,1.06,12.00,0.30,0.30,86.66
오후 6:41:47,1.20,1.06,12.00,0.30,0.30,85.69
오후 6:41:48,1.20,1.07,12.00,0.30,0.30,85.33
오후 6:41:49,1.20,1.07,12.00,0.30,0.30,84.84
오후 6:41:50,1.20,1.07,12.00,0.30,0.30,83.30
오후 6:41:51,1.20,1.07,12.00,0.30,0.30,83.15
오후 6:41:52,1.20,1.07,12.00,0.30,0.30,81.47
오후 6:41:53,1.20,1.07,12.00,0.30,0.30,81.22
오후 6:41:54,1.20,1.07,12.00,0.30,0.30,80.45
오후 6:41:55,1.20,1.07,12.00,0.30,0.30,79.50
오후 6:41:56,1.20,1.07,12.00,0.30,0.30,78.26
오후 6:41:57,1.20,1.07,12.00,0.30,0.30,77.87
오후 6:41:58,1.20,1.07,12.00,0.30,0.30,76.99
오후 6:41:59,1.20,1.07,12.00,0.30,0.30,76.13
오후 6:42:00,1.20,1.07,12.00,0.30,0.30,74.98
오후 6:42:01,1.20,1.07,12.00,0.30,0.30,74.43
오후 6:42:02,1.20,1.08,12.00,0.30,0.30,74.19
오후 6:42:03,1.20,1.07,12.00,0.30,0.30,71.88
오후 6:42:04,1.20,1.07,12.00,0.30,0.30,72.17
오후 6:42:05,1.20,1.07,12.00,0.30,0.30,71.21
오후 6:42:06,1.20,1.07,12.00,0.30,0.30,69.65
오후 6:42:07,1.20,1.07,12.00,0.30,0.30,69.66
오후 6:42:08,1.20,1.07,12.00,0.30,0.30,68.49
오후 6:42:09,1.20,1.07,12.00,0.30,0.30,67.94
오후 6:42:10,1.20,1.07,12.00,0.30,0.30,66.35
오후 6:42:11,1.20,1.07,12.00,0.30,0.30,65.87
오후 6:42:12,1.20,1.07,12.00,0.30,0.30,65.21
오후 6:42:13,1.20,1.07,12.00,0.30,0.30,63.83
오후 6:42:14,1.20,1.07,12.00,0.30,0.30,63.43
오후 6:42:15,1.20,1.07,12.00,0.30,0.30,62.88
오후 6:42:16,1.20,1.07,12.00,0.30,0.30,61.94
오후 6:42:17,1.20,1.07,12.00,0.30,0.30,60.71
오후 6:42:18,1.20,1.07,12.00,0.30,0.30,60.23
오후 6:42:19,1.20,1.07,12.00,0.30,0.30,58.92
오후 6:42:20,1.20,1.07,12.00,0.30,0.30,58.05
오후 6:42:21,1.20,1.07,12.00,0.30,0.30,57.36
오후 6:42:22,1.20,1.07,12.00,0.30,0.30,57.17
오후 6:42:23,1.20,1.07,12.00,0.30,0.30,55.91
오후 6:42:24,1.20,1.08,12.00,0.30,0.30,55.41
오후 6:42:25,1.20,1.07,12.00,0.30,0.30,54.07
오후 6:42:26,1.20,1.07,12.00,0.30,0.30,53.59
오후 6:42:27,1.20,1.08,12.00,0.30,0.30,53.41
오후 6:42:28,1.20,1.08,12.00,0.30,0.30,51.94
오후 6:42:29,1.20,1.08,12.00,0.30,0.30,50.96
오후 6:42:30,1.20,1.08,12.00,0.30,0.30,50.13
오후 6:42:31,1.20,1.08,12.00,0.30,0.30,49.95
오후 6:42:32,1.20,1.08,12.00,0.30,0.30,48.85
오후 6:42:33,1.20,1.08,12.00,0.30,0.30,47.88
오후 6:42:34,1.20,1.08,12.00,0.30,0.30,47.46
오후 6:42:35,1.20,1.08,12.00,0.30,0.30,46.67
오후 6:42:36,1.20,1.08,12.00,0.30,0.30,45.52
오후 6:42:37,1.20,1.08,12.00,0.30,0.30,45.20
오후 6:42:38,1.20,1.08,12.00,0.30,0.30,44.05
오후 6:42:39,1.20,1.08,12.00,0.30,0.30,43.60
오후 6:42:40,1.20,1.08,12.00,0.30,0.30,43.40
오후 6:42:41,1.20,1.08,12.00,0.30,0.30,42.01
오후 6:42:42,1.20,1.08,12.00,0.30,0.30,40.98
오후 6:42:43,1.20,1.08,12.00,0.30,0.30,41.08
오후 6:42:44,1.20,1.08,12.00,0.30,0.30,40.60
오후 6:42:45,1.20,1.08,12.00,0.30,0.30,39.19
오후 6:42:46,1.20,1.09,12.00,0.30,0.30,39.69
오후 6:42:47,1.20,1.09,12.00,0.30,0.30,38.55
오후 6:42:48,1.20,1.09,12.00,0.30,0.30,37.55
오후 6:42:49,1.20,1.09,12.00,0.30,0.30,37.21
오후 6:42:50,1.20,1.09,12.00,0.30,0.30,37.56
오후 6:42:51,1.20,1.09,12.00,0.30,0.30,36.22
오후 6:42:52,1.20,1.10,12.00,0.30,0.30,36.13
오후 6:42:53,1.20,1.10,12.00,0.30,0.30,35.48
오후 6:42:54,1.20,1.10,12.00,0.30,0.30,34.39
오후 6:42:55,1.20,1.10,12.00,0.30,0.30,35.36
오후 6:42:56,1.20,1.10,12.00,0.30,0.30,33.55
오후 6:42:57,1.20,1.11,12.00,0.30,0.30,34.25
오후 6:42:58,1.20,1.11,12.00,0.30,0.30,32.97
오후 6:42:59,1.20,1.11,12.00,0.30,0.30,32.73
오후 6:43:00,1.20,1.11,12.00,0.30,0.30,31.31
오후 6:43:01,1.20,1.11,12.00,0.30,0.30,31.96
오후 6:43:02,1.20,1.11,12.00,0.30,0.30,31.34
오후 6:43:03,1.20,1.11,12.00,0.30,0.30,31.36
오후 6:43:04,1.20,1.12,12.00,0.30,0.30,31.15
오후 6:43:05,1.20,1.12,12.00,0.30,0.30,29.67
오후 6:43:06,1.20,1.12,12.00,0.30,0.30,30.39
오후 6:43:07,1.20,1.12,12.00,0.30,0.30,29.05
오후 6:43:08,1.20,1.12,12.00,0.30,0.30,29.42
오후 6:43:09,1.20,1.12,12.00,0.30,0.30,28.57
오후 6:43:10,1.20,1.13,12.00,0.30,0.30,28.99
오후 6:43:11,1.20,1.12,12.00,0.30,0.30,27.47
오후 6:43:12,1.20,1.13,12.00,0.30,0.30,28.36
오후 6:43:13,1.20,1.13,12.00,0.30,0.30,26.88
오후 6:43:14,1.20,1.13,12.00,0.30,0.30,26.88
오후 6:43:15,1.20,1.13,12.00,0.30,0.30,26.48
오후 6:43:16,1.20,1.13,12.00,0.30,0.30,27.00
오후 6:43:17,1.20,1.14,12.00,0.30,0.30,27.37
오후 6:43:18,1.20,1.14,12.00,0.30,0.30,25.82
오후 6:43:19,1.20,1.14,12.00,0.30,0.30,25.50
오후 6:43:20,1.20,1.13,12.00,0.30,0.30,24.15
오후 6:43:21,1.20,1.13,12.00,0.30,0.30,24.06
오후 6:43:22,1.20,1.14,12.00,0.30,0.30,25.25
오후 6:43:23,1.20,1.14,12.00,0.30,0.30,25.83
오후 6:43:24,1.20,1.15,12.00,0.30,0.30,24.86
오후 6:43:25,1.20,1.14,12.00,0.30,0.30,23.71
오후 6:43:26,1.20,1.14,12.00,0.30,0.30,22.46
오후 6:43:27,1.20,1.14,12.00,0.30,0.30,22.46
오후 6:43:28,1.20,1.15,12.00,0.30,0.30,24.16
오후 6:43:29,1.20,1.15,12.00,0.30,0.30,24.70
오후 6:43:30,1.20,1.15,12.00,0.30,0.30,23.18
오후 6:43:31,1.20,1.15,12.00,0.30,0.30,21.94
오후 6:43:32,1.20,1.15,12.00,0.30,0.30,21.72
오후 6:43:33,1.20,1.15,12.00,0.30,0.30,21.29
오후 6:43:34,1.20,1.15,12.00,0.30,0.30,23.13
오후 6:43:35,1.20,1.16,12.00,0.30,0.30,23.01
오후 6:43:36,1.20,1.16,12.00,0.30,0.30,22.57
오후 6:43:37,1.20,1.16,12.00,0.30,0.30,20.36
오후 6:43:38,1.20,1.16,12.00,0.30,0.30,20.85
오후 6:43:39,1.20,1.16,12.00,0.30,0.30,21.80
오후 6:43:40,1.20,1.16,12.00,0.30,0.30,22.40
오후 6:43:41,1.20,1.17,12.00,0.30,0.30,22.97
오후 6:43:42,1.20,1.17,12.00,0.30,0.30,20.59
