Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 6:52:53,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 6:48:40,0.00,0.03,12.00,0.30,0.30,100.00
오후 6:48:41,1.20,0.16,12.00,0.30,0.30,0.00
오후 6:48:42,1.20,0.41,12.00,0.30,0.30,40.76
오후 6:48:43,1.20,0.64,12.00,0.30,0.30,64.25
오후 6:48:44,1.20,0.78,12.00,0.30,0.30,69.80
오후 6:48:45,1.20,0.85,12.00,0.30,0.30,72.06
오후 6:48:46,1.20,0.91,12.00,0.30,0.30,75.71
오후 6:48:47,1.20,0.96,12.00,0.30,0.30,78.19
오후 6:48:48,1.20,0.99,12.00,0.30,0.30,79.67
오후 6:48:49,1.20,1.01,12.00,0.30,0.30,80.36
오후 6:48:50,1.20,1.03,12.00,0.30,0.30,80.48
오후 6:48:51,1.20,1.04,12.00,0.30,0.30,80.81
오후 6:48:52,1.20,1.05,12.00,0.30,0.30,80.48
오후 6:48:53,1.20,1.05,12.00,0.30,0.30,80.00
오후 6:48:54,1.20,1.06,12.00,0.30,0.30,79.37
오후 6:48:55,1.20,1.06,12.00,0.30,0.30,78.86
오후 6:48:56,1.20,1.06,12.00,0.30,0.30,77.98
오후 6:48:57,1.20,1.07,12.00,0.30,0.30,77.87
오후 6:48:58,1.20,1.07,12.00,0.30,0.30,76.48
오후 6:48:59,1.20,1.07,12.00,0.30,0.30,75.90
오후 6:49:00,1.20,1.07,12.00,0.30,0.30,74.90
오후 6:49:01,1.20,1.07,12.00,0.30,0.30,74.29
오후 6:49:02,1.20,1.07,12.00,0.30,0.30,73.56
오후 6:49:03,1.20,1.07,12.00,0.30,0.30,72.59
오후 6:49:04,1.20,1.07,12.00,0.30,0.30,71.97
오후 6:49:05,1.20,1.07,12.00,0.30,0.30,70.90
오후 6:49:06,1.20,1.07,12.00,0.30,0.30,70.16
오후 6:49:07,1.20,1.07,12.00,0.30,0.30,69.05
오후 6:49:08,1.20,1.07,12.00,0.30,0.30,68.58
오후 6:49:09,1.20,1.07,12.00,0.30,0.30,67.40
오후 6:49:10,1.20,1.07,12.00,0.30,0.30,66.69
오후 6:49:11,1.20,1.07,12.00,0.30,0.30,65.83
오후 6:49:12,1.20,1.07,12.00,0.30,0.30,64.83
오후 6:49:13,1.20,1.07,12.00,0.30,0.30,64.21
오후 6:49:14,1.20,1.07,12.00,0.30,0.30,63.15
오후 6:49:15,1.20,1.07,12.00,0.30,0.30,62.53
오후 6:49:16,1.20,1.07,12.00,0.30,0.30,61.37
오후 6:49:17,1.20,1.07,12.00,0.30,0.30,60.58
오후 6:49:18,1.20,1.07,12.00,0.30,0.30,59.96
오후 6:49:19,1.20,1.07,12.00,0.30,0.30,59.03
오후 6:49:20,1.20,1.07,12.00,0.30,0.30,57.82
오후 6:49:21,1.20,1.07,12.00,0.30,0.30,57.34
오후 6:49:22,1.20,1.07,12.00,0.30,0.30,56.86
오후 6:49:23,1.20,1.07,12.00,0.30,0.30,55.67
오후 6:49:24,1.20,1.07,12.00,0.30,0.30,55.01
오후 6:49:25,1.20,1.07,12.00,0.30,0.30,54.02
오후 6:49:26,1.20,1.07,12.00,0.30,0.30,53.33
오후 6:49:27,1.20,1.07,12.00,0.30,0.30,52.30
오후 6:49:28,1.20,1.07,12.00,0.30,0.30,51.39
오후 6:49:29,1.20,1.07,12.00,0.30,0.30,50.77
오후 6:49:30,1.20,1.07,12.00,0.30,0.30,50.13
오후 6:49:31,1.20,1.07,12.00,0.30,0.30,49.24
오후 6:49:32,1.20,1.08,12.00,0.30,0.30,48.64
오후 6:49:33,1.20,1.08,12.00,0.30,0.30,47.62
오후 6:49:34,1.20,1.08,12.00,0.30,0.30,46.89
오후 6:49:35,1.20,1.08,12.00,0.30,0.30,46.12
오후 6:49:36,1.20,1.08,12.00,0.30,0.30,45.65
오후 6:49:37,1.20,1.08,12.00,0.30,0.30,44.55
오후 6:49:38,1.20,1.08,12.00,0.30,0.30,44.10
오후 6:49:39,1.20,1.08,12.00,0.30,0.30,43.22
오후 6:49:40,1.20,1.08,12.00,0.30,0.30,42.37
오후 6:49:41,1.20,1.08,12.00,0.30,0.30,41.71
오후 6:49:42,1.20,1.08,12.00,0.30,0.30,41.19
