Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 5:09:47,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 5:06:46,0.00,0.03,12.00,0.30,0.30,100.00
오후 5:06:47,1.20,0.14,12.00,0.30,0.30,0.00
오후 5:06:48,1.20,0.39,12.00,0.30,0.30,23.35
오후 5:06:49,1.20,0.63,12.00,0.30,0.30,47.74
오후 5:06:50,1.20,0.80,12.00,0.30,0.30,64.75
오후 5:06:51,1.20,0.86,12.00,0.30,0.30,69.85
오후 5:06:52,1.20,0.91,12.00,0.30,0.30,73.42
오후 5:06:53,1.20,0.94,12.00,0.30,0.30,75.95
오후 5:06:54,1.20,0.97,12.00,0.30,0.30,77.51
오후 5:06:55,1.20,0.99,12.00,0.30,0.30,78.64
오후 5:06:56,1.20,1.01,12.00,0.30,0.30,78.90
오후 5:06:57,1.20,1.02,12.00,0.30,0.30,79.13
오후 5:06:58,1.20,1.03,12.00,0.30,0.30,78.81
오후 5:06:59,1.20,1.03,12.00,0.30,0.30,78.64
오후 5:07:00,1.20,1.04,12.00,0.30,0.30,77.69
오후 5:07:01,1.20,1.04,12.00,0.30,0.30,76.99
오후 5:07:02,1.20,1.04,12.00,0.30,0.30,76.29
오후 5:07:03,1.20,1.04,12.00,0.30,0.30,75.34
오후 5:07:04,1.20,1.04,12.00,0.30,0.30,74.31
오후 5:07:05,1.20,1.04,12.00,0.30,0.30,73.46
오후 5:07:06,1.20,1.04,12.00,0.30,0.30,72.37
오후 5:07:07,1.20,1.05,12.00,0.30,0.30,71.57
오후 5:07:08,1.20,1.05,12.00,0.30,0.30,70.60
오후 5:07:09,1.20,1.05,12.00,0.30,0.30,69.46
오후 5:07:10,1.20,1.05,12.00,0.30,0.30,68.65
오후 5:07:11,1.20,1.04,12.00,0.30,0.30,67.37
오후 5:07:12,1.20,1.05,12.00,0.30,0.30,66.43
오후 5:07:13,1.20,1.05,12.00,0.30,0.30,65.61
오후 5:07:14,1.20,1.05,12.00,0.30,0.30,64.68
오후 5:07:15,1.20,1.05,12.00,0.30,0.30,63.58
오후 5:07:16,1.20,1.05,12.00,0.30,0.30,62.54
오후 5:07:17,1.20,1.05,12.00,0.30,0.30,61.60
오후 5:07:18,1.20,1.05,12.00,0.30,0.30,60.62
오후 5:07:19,1.20,1.05,12.00,0.30,0.30,59.62
오후 5:07:20,1.20,1.05,12.00,0.30,0.30,58.64
오후 5:07:21,1.20,1.05,12.00,0.30,0.30,57.67
오후 5:07:22,1.20,1.05,12.00,0.30,0.30,56.67
오후 5:07:23,1.20,1.05,12.00,0.30,0.30,55.86
오후 5:07:24,1.20,1.05,12.00,0.30,0.30,54.82
오후 5:07:25,1.20,1.05,12.00,0.30,0.30,53.78
오후 5:07:26,1.20,1.05,12.00,0.30,0.30,52.90
오후 5:07:27,1.20,1.05,12.00,0.30,0.30,51.90
오후 5:07:28,1.20,1.05,12.00,0.30,0.30,51.05
오후 5:07:29,1.20,1.05,12.00,0.30,0.30,49.87
오후 5:07:30,1.20,1.05,12.00,0.30,0.30,48.99
오후 5:07:31,1.20,1.05,12.00,0.30,0.30,47.91
오후 5:07:32,1.20,1.05,12.00,0.30,0.30,47.12
오후 5:07:33,1.20,1.05,12.00,0.30,0.30,46.08
오후 5:07:34,1.20,1.05,12.00,0.30,0.30,45.31
오후 5:07:35,1.20,1.05,12.00,0.30,0.30,44.37
오후 5:07:36,1.20,1.05,12.00,0.30,0.30,43.45
오후 5:07:37,1.20,1.06,12.00,0.30,0.30,42.71
오후 5:07:38,1.20,1.06,12.00,0.30,0.30,41.93
오후 5:07:39,1.20,1.06,12.00,0.30,0.30,41.24
오후 5:07:40,1.20,1.06,12.00,0.30,0.30,40.34
오후 5:07:41,1.20,1.06,12.00,0.30,0.30,39.52
오후 5:07:42,1.20,1.06,12.00,0.30,0.30,38.88
오후 5:07:43,1.20,1.06,12.00,0.30,0.30,38.16
오후 5:07:44,1.20,1.07,12.00,0.30,0.30,37.51
오후 5:07:45,1.20,1.07,12.00,0.30,0.30,37.20
오후 5:07:46,1.20,1.07,12.00,0.30,0.30,36.46
오후 5:07:47,1.20,1.08,12.00,0.30,0.30,36.29
오후 5:07:48,1.20,1.08,12.00,0.30,0.30,35.71
오후 5:07:49,1.20,1.08,12.00,0.30,0.30,35.24
오후 5:07:50,1.20,1.08,12.00,0.30,0.30,34.40
오후 5:07:51,1.20,1.08,12.00,0.30,0.30,33.87
오후 5:07:52,1.20,1.09,12.00,0.30,0.30,33.64
오후 5:07:53,1.20,1.09,12.00,0.30,0.30,33.01
오후 5:07:54,1.20,1.09,12.00,0.30,0.30,32.71
오후 5:07:55,1.20,1.09,12.00,0.30,0.30,32.16
오후 5:07:56,1.20,1.10,12.00,0.30,0.30,31.59
오후 5:07:57,1.20,1.10,12.00,0.30,0.30,30.98
오후 5:07:58,1.20,1.10,12.00,0.30,0.30,30.73
오후 5:07:59,1.20,1.10,12.00,0.30,0.30,30.06
오후 5:08:00,1.20,1.10,12.00,0.30,0.30,29.81
오후 5:08:01,1.20,1.11,12.00,0.30,0.30,29.55
오후 5:08:02,1.20,1.11,12.00,0.30,0.30,29.20
오후 5:08:03,1.20,1.11,12.00,0.30,0.30,28.64
오후 5:08:04,1.20,1.11,12.00,0.30,0.30,28.26
오후 5:08:05,1.20,1.11,12.00,0.30,0.30,28.00
오후 5:08:06,1.20,1.11,12.00,0.30,0.30,27.57
오후 5:08:07,1.20,1.12,12.00,0.30,0.30,27.46
오후 5:08:08,1.20,1.12,12.00,0.30,0.30,26.90
오후 5:08:09,1.20,1.12,12.00,0.30,0.30,26.48
오후 5:08:10,1.20,1.12,12.00,0.30,0.30,26.17
오후 5:08:11,1.20,1.12,12.00,0.30,0.30,25.90
오후 5:08:12,1.20,1.13,12.00,0.30,0.30,25.69
오후 5:08:13,1.20,1.13,12.00,0.30,0.30,25.51
오후 5:08:14,1.20,1.13,12.00,0.30,0.30,25.14
오후 5:08:15,1.20,1.13,12.00,0.30,0.30,24.84
오후 5:08:16,1.20,1.13,12.00,0.30,0.30,24.54
오후 5:08:17,1.20,1.13,12.00,0.30,0.30,24.24
오후 5:08:18,1.20,1.14,12.00,0.30,0.30,24.18
오후 5:08:19,1.20,1.14,12.00,0.30,0.30,23.81
오후 5:08:20,1.20,1.14,12.00,0.30,0.30,23.89
오후 5:08:21,1.20,1.14,12.00,0.30,0.30,23.62
오후 5:08:22,1.20,1.14,12.00,0.30,0.30,23.15
오후 5:08:23,1.20,1.14,12.00,0.30,0.30,22.87
오후 5:08:24,1.20,1.14,12.00,0.30,0.30,22.74
오후 5:08:25,1.20,1.15,12.00,0.30,0.30,22.69
오후 5:08:26,1.20,1.15,12.00,0.30,0.30,22.47
오후 5:08:27,1.20,1.15,12.00,0.30,0.30,22.40
오후 5:08:28,1.20,1.15,12.00,0.30,0.30,22.25
오후 5:08:29,1.20,1.15,12.00,0.30,0.30,21.92
오후 5:08:30,1.20,1.15,12.00,0.30,0.30,21.94
오후 5:08:31,1.20,1.15,12.00,0.30,0.30,21.53
오후 5:08:32,1.20,1.16,12.00,0.30,0.30,21.61
오후 5:08:33,1.20,1.16,12.00,0.30,0.30,21.35
오후 5:08:34,1.20,1.16,12.00,0.30,0.30,21.07
오후 5:08:35,1.20,1.16,12.00,0.30,0.30,21.08
오후 5:08:36,1.20,1.16,12.00,0.30,0.30,20.96
오후 5:08:37,1.20,1.16,12.00,0.30,0.30,21.23
