Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 5:55:04,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 5:52:35,0.00,0.03,8.00,0.10,0.10,100.00
오후 5:52:36,1.20,0.04,8.00,0.10,0.10,0.00
오후 5:52:37,1.20,0.31,8.00,0.10,0.10,34.98
오후 5:52:38,1.20,0.57,8.00,0.10,0.10,43.34
오후 5:52:39,1.20,0.72,8.00,0.10,0.10,38.56
오후 5:52:40,1.20,0.81,8.00,0.10,0.10,33.26
오후 5:52:41,1.20,0.89,8.00,0.10,0.10,33.63
오후 5:52:42,1.20,0.95,8.00,0.10,0.10,33.48
오후 5:52:43,1.20,0.99,8.00,0.10,0.10,32.36
오후 5:52:44,1.20,1.02,8.00,0.10,0.10,30.65
오후 5:52:45,1.20,1.04,8.00,0.10,0.10,29.50
오후 5:52:46,1.20,1.06,8.00,0.10,0.10,28.36
오후 5:52:47,1.20,1.08,8.00,0.10,0.10,27.61
오후 5:52:48,1.20,1.09,8.00,0.10,0.10,26.53
오후 5:52:49,1.20,1.10,8.00,0.10,0.10,25.79
오후 5:52:50,1.20,1.10,8.00,0.10,0.10,24.70
오후 5:52:51,1.20,1.11,8.00,0.10,0.10,23.92
오후 5:52:52,1.20,1.12,8.00,0.10,0.10,23.46
오후 5:52:53,1.20,1.12,8.00,0.10,0.10,22.60
오후 5:52:54,1.20,1.13,8.00,0.10,0.10,22.36
오후 5:52:55,1.20,1.13,8.00,0.10,0.10,21.69
오후 5:52:56,1.20,1.14,8.00,0.10,0.10,21.32
오후 5:52:57,1.20,1.15,8.00,0.10,0.10,21.55
오후 5:52:58,1.20,1.15,8.00,0.10,0.10,21.17
오후 5:52:59,1.20,1.16,8.00,0.10,0.10,20.75
오후 5:53:00,1.20,1.16,8.00,0.10,0.10,20.38
오후 5:53:01,1.20,1.16,8.00,0.10,0.10,19.83
오후 5:53:02,1.20,1.17,8.00,0.10,0.10,19.48
오후 5:53:03,1.20,1.17,8.00,0.10,0.10,19.01
오후 5:53:04,1.20,1.17,8.00,0.10,0.10,18.54
오후 5:53:05,1.20,1.17,8.00,0.10,0.10,18.34
오후 5:53:06,1.20,1.17,8.00,0.10,0.10,18.81
오후 5:53:07,1.20,1.18,8.00,0.10,0.10,19.26
오후 5:53:08,1.20,1.19,8.00,0.10,0.10,19.44
오후 5:53:09,1.20,1.19,8.00,0.10,0.10,19.58
오후 5:53:10,1.20,1.19,8.00,0.10,0.10,18.36
오후 5:53:11,1.20,1.18,8.00,0.10,0.10,17.68
오후 5:53:12,1.20,1.18,8.00,0.10,0.10,17.60
오후 5:53:13,1.20,1.18,8.00,0.10,0.10,17.22
오후 5:53:14,1.20,1.18,8.00,0.10,0.10,16.86
오후 5:53:15,1.20,1.18,8.00,0.10,0.10,17.22
오후 5:53:16,1.20,1.19,8.00,0.10,0.10,17.91
오후 5:53:17,1.20,1.20,8.00,0.10,0.10,18.67
오후 5:53:18,1.20,1.20,8.00,0.10,0.10,19.30
오후 5:53:19,1.20,1.20,8.00,0.10,0.10,16.90
오후 5:53:20,1.20,1.19,8.00,0.10,0.10,16.30
오후 5:53:21,1.20,1.18,8.00,0.10,0.10,16.03
오후 5:53:22,1.20,1.19,8.00,0.10,0.10,17.73
오후 5:53:23,1.20,1.20,8.00,0.10,0.10,18.89
오후 5:53:24,1.20,1.21,8.00,0.10,0.10,18.50
오후 5:53:25,1.20,1.20,8.00,0.10,0.10,16.46
오후 5:53:26,1.20,1.19,8.00,0.10,0.10,15.89
오후 5:53:27,1.20,1.18,8.00,0.10,0.10,15.81
오후 5:53:28,1.20,1.19,8.00,0.10,0.10,17.73
오후 5:53:29,1.20,1.20,8.00,0.10,0.10,18.70
오후 5:53:30,1.20,1.20,8.00,0.10,0.10,17.65
오후 5:53:31,1.20,1.20,8.00,0.10,0.10,16.08
오후 5:53:32,1.20,1.19,8.00,0.10,0.10,15.84
오후 5:53:33,1.20,1.19,8.00,0.10,0.10,15.93
오후 5:53:34,1.20,1.20,8.00,0.10,0.10,17.27
오후 5:53:35,1.20,1.20,8.00,0.10,0.10,18.18
오후 5:53:36,1.20,1.21,8.00,0.10,0.10,18.28
오후 5:53:37,1.20,1.20,8.00,0.10,0.10,16.37
오후 5:53:38,1.20,1.19,8.00,0.10,0.10,15.85
오후 5:53:39,1.20,1.19,8.00,0.10,0.10,15.57
오후 5:53:40,1.20,1.19,8.00,0.10,0.10,15.77
오후 5:53:41,1.20,1.20,8.00,0.10,0.10,17.29
오후 5:53:42,1.20,1.21,8.00,0.10,0.10,18.32
오후 5:53:43,1.20,1.21,8.00,0.10,0.10,17.52
오후 5:53:44,1.20,1.20,8.00,0.10,0.10,16.29
오후 5:53:45,1.20,1.20,8.00,0.10,0.10,16.02
오후 5:53:46,1.20,1.19,8.00,0.10,0.10,15.74
오후 5:53:47,1.20,1.19,8.00,0.10,0.10,15.94
오후 5:53:48,1.20,1.19,8.00,0.10,0.10,15.32
오후 5:53:49,1.20,1.19,8.00,0.10,0.10,16.52
오후 5:53:50,1.20,1.20,8.00,0.10,0.10,17.36
오후 5:53:51,1.20,1.21,8.00,0.10,0.10,18.41
오후 5:53:52,1.20,1.21,8.00,0.10,0.10,16.55
오후 5:53:53,1.20,1.20,8.00,0.10,0.10,15.75
오후 5:53:54,1.20,1.19,8.00,0.10,0.10,15.40
오후 5:53:55,1.20,1.19,8.00,0.10,0.10,15.51
오후 5:53:56,1.20,1.20,8.00,0.10,0.10,16.80
오후 5:53:57,1.20,1.21,8.00,0.10,0.10,17.63
오후 5:53:58,1.20,1.21,8.00,0.10,0.10,18.41
오후 5:53:59,1.20,1.20,8.00,0.10,0.10,16.05
오후 5:54:00,1.20,1.20,8.00,0.10,0.10,15.76
오후 5:54:01,1.20,1.19,8.00,0.10,0.10,15.23
