Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 5:52:07,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 5:49:05,0.00,0.03,8.00,0.10,0.10,100.00
오후 5:49:06,1.20,0.03,8.00,0.10,0.10,0.00
오후 5:49:07,1.20,0.24,8.00,0.10,0.10,11.89
오후 5:49:08,1.20,0.51,8.00,0.10,0.10,26.56
오후 5:49:09,1.20,0.78,8.00,0.10,0.10,39.76
오후 5:49:10,1.20,0.90,8.00,0.10,0.10,37.28
오후 5:49:11,1.20,0.93,8.00,0.10,0.10,32.78
오후 5:49:12,1.20,0.97,8.00,0.10,0.10,32.68
오후 5:49:13,1.20,1.01,8.00,0.10,0.10,32.65
오후 5:49:14,1.20,1.04,8.00,0.10,0.10,32.17
오후 5:49:15,1.20,1.06,8.00,0.10,0.10,31.16
오후 5:49:16,1.20,1.07,8.00,0.10,0.10,30.41
오후 5:49:17,1.20,1.08,8.00,0.10,0.10,29.32
오후 5:49:18,1.20,1.09,8.00,0.10,0.10,28.52
오후 5:49:19,1.20,1.10,8.00,0.10,0.10,27.54
오후 5:49:20,1.20,1.10,8.00,0.10,0.10,26.74
오후 5:49:21,1.20,1.11,8.00,0.10,0.10,26.19
오후 5:49:22,1.20,1.12,8.00,0.10,0.10,25.62
오후 5:49:23,1.20,1.12,8.00,0.10,0.10,24.76
오후 5:49:24,1.20,1.13,8.00,0.10,0.10,24.44
오후 5:49:25,1.20,1.14,8.00,0.10,0.10,24.09
오후 5:49:26,1.20,1.14,8.00,0.10,0.10,23.54
오후 5:49:27,1.20,1.15,8.00,0.10,0.10,23.62
오후 5:49:28,1.20,1.15,8.00,0.10,0.10,23.09
오후 5:49:29,1.20,1.16,8.00,0.10,0.10,22.87
오후 5:49:30,1.20,1.16,8.00,0.10,0.10,22.24
오후 5:49:31,1.20,1.16,8.00,0.10,0.10,21.96
오후 5:49:32,1.20,1.17,8.00,0.10,0.10,21.87
오후 5:49:33,1.20,1.17,8.00,0.10,0.10,21.73
오후 5:49:34,1.20,1.17,8.00,0.10,0.10,21.42
오후 5:49:35,1.20,1.18,8.00,0.10,0.10,21.49
오후 5:49:36,1.20,1.18,8.00,0.10,0.10,20.96
오후 5:49:37,1.20,1.18,8.00,0.10,0.10,20.86
오후 5:49:38,1.20,1.18,8.00,0.10,0.10,20.63
오후 5:49:39,1.20,1.18,8.00,0.10,0.10,20.89
오후 5:49:40,1.20,1.18,8.00,0.10,0.10,20.73
오후 5:49:41,1.20,1.19,8.00,0.10,0.10,20.63
오후 5:49:42,1.20,1.19,8.00,0.10,0.10,20.50
오후 5:49:43,1.20,1.19,8.00,0.10,0.10,20.20
오후 5:49:44,1.20,1.19,8.00,0.10,0.10,20.07
오후 5:49:45,1.20,1.19,8.00,0.10,0.10,19.81
오후 5:49:46,1.20,1.19,8.00,0.10,0.10,19.65
오후 5:49:47,1.20,1.19,8.00,0.10,0.10,19.81
오후 5:49:48,1.20,1.19,8.00,0.10,0.10,19.91
오후 5:49:49,1.20,1.20,8.00,0.10,0.10,20.35
오후 5:49:50,1.20,1.20,8.00,0.10,0.10,19.95
오후 5:49:51,1.20,1.20,8.00,0.10,0.10,20.16
오후 5:49:52,1.20,1.19,8.00,0.10,0.10,19.47
오후 5:49:53,1.20,1.19,8.00,0.10,0.10,19.19
오후 5:49:54,1.20,1.19,8.00,0.10,0.10,19.03
오후 5:49:55,1.20,1.19,8.00,0.10,0.10,18.71
오후 5:49:56,1.20,1.19,8.00,0.10,0.10,18.49
오후 5:49:57,1.20,1.19,8.00,0.10,0.10,18.36
오후 5:49:58,1.20,1.19,8.00,0.10,0.10,18.21
오후 5:49:59,1.20,1.19,8.00,0.10,0.10,18.12
오후 5:50:00,1.20,1.19,8.00,0.10,0.10,17.99
오후 5:50:01,1.20,1.19,8.00,0.10,0.10,18.31
오후 5:50:02,1.20,1.20,8.00,0.10,0.10,18.80
오후 5:50:03,1.20,1.21,8.00,0.10,0.10,19.57
오후 5:50:04,1.20,1.21,8.00,0.10,0.10,19.62
오후 5:50:05,1.20,1.20,8.00,0.10,0.10,18.65
오후 5:50:06,1.20,1.19,8.00,0.10,0.10,17.98
오후 5:50:07,1.20,1.19,8.00,0.10,0.10,17.50
오후 5:50:08,1.20,1.19,8.00,0.10,0.10,17.54
오후 5:50:09,1.20,1.19,8.00,0.10,0.10,17.31
오후 5:50:10,1.20,1.19,8.00,0.10,0.10,18.08
오후 5:50:11,1.20,1.20,8.00,0.10,0.10,18.69
오후 5:50:12,1.20,1.21,8.00,0.10,0.10,19.25
오후 5:50:13,1.20,1.21,8.00,0.10,0.10,19.25
오후 5:50:14,1.20,1.20,8.00,0.10,0.10,18.42
오후 5:50:15,1.20,1.20,8.00,0.10,0.10,18.03
오후 5:50:16,1.20,1.19,8.00,0.10,0.10,17.53
오후 5:50:17,1.20,1.19,8.00,0.10,0.10,17.84
오후 5:50:18,1.20,1.19,8.00,0.10,0.10,17.10
오후 5:50:19,1.20,1.19,8.00,0.10,0.10,17.17
오후 5:50:20,1.20,1.19,8.00,0.10,0.10,16.76
오후 5:50:21,1.20,1.19,8.00,0.10,0.10,16.90
오후 5:50:22,1.20,1.19,8.00,0.10,0.10,17.38
오후 5:50:23,1.20,1.20,8.00,0.10,0.10,18.18
오후 5:50:24,1.20,1.21,8.00,0.10,0.10,18.85
오후 5:50:25,1.20,1.21,8.00,0.10,0.10,18.76
오후 5:50:26,1.20,1.20,8.00,0.10,0.10,17.80
오후 5:50:27,1.20,1.20,8.00,0.10,0.10,17.53
오후 5:50:28,1.20,1.20,8.00,0.10,0.10,17.36
오후 5:50:29,1.20,1.19,8.00,0.10,0.10,16.98
오후 5:50:30,1.20,1.19,8.00,0.10,0.10,16.87
오후 5:50:31,1.20,1.19,8.00,0.10,0.10,16.74
오후 5:50:32,1.20,1.19,8.00,0.10,0.10,16.60
오후 5:50:33,1.20,1.19,8.00,0.10,0.10,16.71
오후 5:50:34,1.20,1.19,8.00,0.10,0.10,16.40
오후 5:50:35,1.20,1.19,8.00,0.10,0.10,16.53
오후 5:50:36,1.20,1.20,8.00,0.10,0.10,16.98
오후 5:50:37,1.20,1.20,8.00,0.10,0.10,17.74
오후 5:50:38,1.20,1.21,8.00,0.10,0.10,18.14
오후 5:50:39,1.20,1.21,8.00,0.10,0.10,18.36
오후 5:50:40,1.20,1.21,8.00,0.10,0.10,17.53
오후 5:50:41,1.20,1.20,8.00,0.10,0.10,17.33
