Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 6:00:02,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 5:57:20,0.00,0.03,8.00,0.20,0.20,100.00
오후 5:57:21,1.20,0.03,8.00,0.20,0.20,0.33
오후 5:57:22,1.20,0.26,8.00,0.20,0.20,21.98
오후 5:57:23,1.20,0.53,8.00,0.20,0.20,40.36
오후 5:57:24,1.20,0.73,8.00,0.20,0.20,49.69
오후 5:57:25,1.20,0.82,8.00,0.20,0.20,48.14
오후 5:57:26,1.20,0.88,8.00,0.20,0.20,50.03
오후 5:57:27,1.20,0.93,8.00,0.20,0.20,51.13
오후 5:57:28,1.20,0.97,8.00,0.20,0.20,52.13
오후 5:57:29,1.20,1.00,8.00,0.20,0.20,52.14
오후 5:57:30,1.20,1.02,8.00,0.20,0.20,52.08
오후 5:57:31,1.20,1.03,8.00,0.20,0.20,51.87
오후 5:57:32,1.20,1.04,8.00,0.20,0.20,51.13
오후 5:57:33,1.20,1.05,8.00,0.20,0.20,50.66
오후 5:57:34,1.20,1.05,8.00,0.20,0.20,49.93
오후 5:57:35,1.20,1.05,8.00,0.20,0.20,48.90
오후 5:57:36,1.20,1.06,8.00,0.20,0.20,48.54
오후 5:57:37,1.20,1.06,8.00,0.20,0.20,47.48
오후 5:57:38,1.20,1.06,8.00,0.20,0.20,46.92
오후 5:57:39,1.20,1.06,8.00,0.20,0.20,46.00
오후 5:57:40,1.20,1.06,8.00,0.20,0.20,45.12
오후 5:57:41,1.20,1.07,8.00,0.20,0.20,44.59
오후 5:57:42,1.20,1.07,8.00,0.20,0.20,43.64
오후 5:57:43,1.20,1.07,8.00,0.20,0.20,42.86
오후 5:57:44,1.20,1.07,8.00,0.20,0.20,42.26
오후 5:57:45,1.20,1.07,8.00,0.20,0.20,41.55
오후 5:57:46,1.20,1.07,8.00,0.20,0.20,40.79
오후 5:57:47,1.20,1.08,8.00,0.20,0.20,40.14
오후 5:57:48,1.20,1.08,8.00,0.20,0.20,39.21
오후 5:57:49,1.20,1.08,8.00,0.20,0.20,38.68
오후 5:57:50,1.20,1.08,8.00,0.20,0.20,38.41
오후 5:57:51,1.20,1.09,8.00,0.20,0.20,37.58
오후 5:57:52,1.20,1.09,8.00,0.20,0.20,36.95
오후 5:57:53,1.20,1.09,8.00,0.20,0.20,36.36
오후 5:57:54,1.20,1.09,8.00,0.20,0.20,36.02
오후 5:57:55,1.20,1.09,8.00,0.20,0.20,35.42
오후 5:57:56,1.20,1.10,8.00,0.20,0.20,35.07
오후 5:57:57,1.20,1.10,8.00,0.20,0.20,34.26
오후 5:57:58,1.20,1.10,8.00,0.20,0.20,33.88
오후 5:57:59,1.20,1.10,8.00,0.20,0.20,33.26
오후 5:58:00,1.20,1.10,8.00,0.20,0.20,32.66
오후 5:58:01,1.20,1.10,8.00,0.20,0.20,32.11
오후 5:58:02,1.20,1.11,8.00,0.20,0.20,31.74
오후 5:58:03,1.20,1.11,8.00,0.20,0.20,31.32
오후 5:58:04,1.20,1.11,8.00,0.20,0.20,30.90
