Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 6:41:12,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 6:38:52,0.00,0.03,12.00,0.20,0.20,100.00
오후 6:38:53,1.20,0.12,12.00,0.20,0.20,0.00
오후 6:38:54,1.20,0.19,12.00,0.20,0.20,12.08
오후 6:38:55,1.20,0.48,12.00,0.20,0.20,88.63
오후 6:38:56,1.20,0.75,12.00,0.20,0.20,100.00
오후 6:38:57,1.20,0.84,12.00,0.20,0.20,79.18
오후 6:38:58,1.20,0.90,12.00,0.20,0.20,75.76
오후 6:38:59,1.20,0.94,12.00,0.20,0.20,75.78
오후 6:39:00,1.20,0.98,12.00,0.20,0.20,75.63
오후 6:39:01,1.20,1.00,12.00,0.20,0.20,74.21
오후 6:39:02,1.20,1.02,12.00,0.20,0.20,73.09
오후 6:39:03,1.20,1.04,12.00,0.20,0.20,72.20
오후 6:39:04,1.20,1.04,12.00,0.20,0.20,70.34
오후 6:39:05,1.20,1.05,12.00,0.20,0.20,69.46
오후 6:39:06,1.20,1.06,12.00,0.20,0.20,68.46
오후 6:39:07,1.20,1.06,12.00,0.20,0.20,66.54
오후 6:39:08,1.20,1.06,12.00,0.20,0.20,65.92
오후 6:39:09,1.20,1.07,12.00,0.20,0.20,64.40
오후 6:39:10,1.20,1.07,12.00,0.20,0.20,63.53
오후 6:39:11,1.20,1.07,12.00,0.20,0.20,61.92
오후 6:39:12,1.20,1.07,12.00,0.20,0.20,60.59
오후 6:39:13,1.20,1.07,12.00,0.20,0.20,59.79
오후 6:39:14,1.20,1.07,12.00,0.20,0.20,58.04
오후 6:39:15,1.20,1.07,12.00,0.20,0.20,56.39
오후 6:39:16,1.20,1.07,12.00,0.20,0.20,56.14
오후 6:39:17,1.20,1.07,12.00,0.20,0.20,54.95
오후 6:39:18,1.20,1.07,12.00,0.20,0.20,52.99
오후 6:39:19,1.20,1.07,12.00,0.20,0.20,52.16
오후 6:39:20,1.20,1.07,12.00,0.20,0.20,50.79
오후 6:39:21,1.20,1.07,12.00,0.20,0.20,49.54
오후 6:39:22,1.20,1.08,12.00,0.20,0.20,49.05
오후 6:39:23,1.20,1.08,12.00,0.20,0.20,47.29
오후 6:39:24,1.20,1.08,12.00,0.20,0.20,46.15
오후 6:39:25,1.20,1.08,12.00,0.20,0.20,45.40
오후 6:39:26,1.20,1.08,12.00,0.20,0.20,43.73
오후 6:39:27,1.20,1.08,12.00,0.20,0.20,42.59
오후 6:39:28,1.20,1.08,12.00,0.20,0.20,42.23
오후 6:39:29,1.20,1.08,12.00,0.20,0.20,40.44
오후 6:39:30,1.20,1.08,12.00,0.20,0.20,39.81
오후 6:39:31,1.20,1.08,12.00,0.20,0.20,39.18
오후 6:39:32,1.20,1.09,12.00,0.20,0.20,37.87
오후 6:39:33,1.20,1.09,12.00,0.20,0.20,37.96
오후 6:39:34,1.20,1.09,12.00,0.20,0.20,36.00
오후 6:39:35,1.20,1.09,12.00,0.20,0.20,36.03
오후 6:39:36,1.20,1.10,12.00,0.20,0.20,34.92
오후 6:39:37,1.20,1.10,12.00,0.20,0.20,34.87
오후 6:39:38,1.20,1.10,12.00,0.20,0.20,33.61
오후 6:39:39,1.20,1.10,12.00,0.20,0.20,32.99
오후 6:39:40,1.20,1.11,12.00,0.20,0.20,32.25
오후 6:39:41,1.20,1.11,12.00,0.20,0.20,31.41
오후 6:39:42,1.20,1.11,12.00,0.20,0.20,31.31
오후 6:39:43,1.20,1.11,12.00,0.20,0.20,30.84
오후 6:39:44,1.20,1.11,12.00,0.20,0.20,29.23
오후 6:39:45,1.20,1.12,12.00,0.20,0.20,29.45
오후 6:39:46,1.20,1.12,12.00,0.20,0.20,29.04
오후 6:39:47,1.20,1.12,12.00,0.20,0.20,27.71
오후 6:39:48,1.20,1.12,12.00,0.20,0.20,27.66
오후 6:39:49,1.20,1.13,12.00,0.20,0.20,27.19
오후 6:39:50,1.20,1.13,12.00,0.20,0.20,27.08
오후 6:39:51,1.20,1.13,12.00,0.20,0.20,26.71
오후 6:39:52,1.20,1.13,12.00,0.20,0.20,25.44
오후 6:39:53,1.20,1.13,12.00,0.20,0.20,24.97
오후 6:39:54,1.20,1.14,12.00,0.20,0.20,24.92
오후 6:39:55,1.20,1.14,12.00,0.20,0.20,25.48
오후 6:39:56,1.20,1.14,12.00,0.20,0.20,24.71
오후 6:39:57,1.20,1.15,12.00,0.20,0.20,24.45
오후 6:39:58,1.20,1.15,12.00,0.20,0.20,23.69
오후 6:39:59,1.20,1.15,12.00,0.20,0.20,22.60
오후 6:40:00,1.20,1.15,12.00,0.20,0.20,22.84
오후 6:40:01,1.20,1.14,12.00,0.20,0.20,21.04
오후 6:40:02,1.20,1.15,12.00,0.20,0.20,22.38
오후 6:40:03,1.20,1.16,12.00,0.20,0.20,23.83
오후 6:40:04,1.20,1.16,12.00,0.20,0.20,23.71
오후 6:40:05,1.20,1.16,12.00,0.20,0.20,19.76
오후 6:40:06,1.20,1.15,12.00,0.20,0.20,19.22
오후 6:40:07,1.20,1.16,12.00,0.20,0.20,22.50
오후 6:40:08,1.20,1.17,12.00,0.20,0.20,23.87
오후 6:40:09,1.20,1.17,12.00,0.20,0.20,20.00
오후 6:40:10,1.20,1.16,12.00,0.20,0.20,17.64
오후 6:40:11,1.20,1.16,12.00,0.20,0.20,20.12
오후 6:40:12,1.20,1.18,12.00,0.20,0.20,25.17
오후 6:40:13,1.20,1.18,12.00,0.20,0.20,22.12
오후 6:40:14,1.20,1.16,12.00,0.20,0.20,12.54
오후 6:40:15,1.20,1.15,12.00,0.20,0.20,16.82
오후 6:40:16,1.20,1.22,12.00,0.20,0.20,40.12
오후 6:40:17,1.20,1.23,12.00,0.20,0.20,26.82
오후 6:40:18,1.20,1.15,12.00,0.20,0.20,0.16
오후 6:40:19,1.20,1.14,12.00,0.20,0.20,12.90
오후 6:40:20,1.20,1.25,12.00,0.20,0.20,50.63
오후 6:40:21,1.20,1.32,12.00,0.20,0.20,54.18
오후 6:40:22,1.20,1.21,12.00,0.20,0.20,0.00
오후 6:40:23,1.20,1.14,12.00,0.20,0.20,1.05
오후 6:40:24,1.20,1.21,12.00,0.20,0.20,41.39
오후 6:40:25,1.20,1.30,12.00,0.20,0.20,54.72
오후 6:40:26,1.20,1.21,12.00,0.20,0.20,4.94
오후 6:40:27,1.20,1.14,12.00,0.20,0.20,1.09
오후 6:40:28,1.20,1.21,12.00,0.20,0.20,41.42
오후 6:40:29,1.20,1.30,12.00,0.20,0.20,54.79
오후 6:40:30,1.20,1.21,12.00,0.20,0.20,6.11
오후 6:40:31,1.20,1.14,12.00,0.20,0.20,1.74
오후 6:40:32,1.20,1.21,12.00,0.20,0.20,41.20
오후 6:40:33,1.20,1.30,12.00,0.20,0.20,55.42
오후 6:40:34,1.20,1.21,12.00,0.20,0.20,6.07
오후 6:40:35,1.20,1.14,12.00,0.20,0.20,2.44
오후 6:40:36,1.20,1.21,12.00,0.20,0.20,42.07
오후 6:40:37,1.20,1.30,12.00,0.20,0.20,55.75
오후 6:40:38,1.20,1.20,12.00,0.20,0.20,5.91
오후 6:40:39,1.20,1.13,12.00,0.20,0.20,2.95
오후 6:40:40,1.20,1.21,12.00,0.20,0.20,41.60
오후 6:40:41,1.20,1.30,12.00,0.20,0.20,56.37
오후 6:40:42,1.20,1.20,12.00,0.20,0.20,6.64
오후 6:40:43,1.20,1.13,12.00,0.20,0.20,2.48
오후 6:40:44,1.20,1.21,12.00,0.20,0.20,42.30
오후 6:40:45,1.20,1.29,12.00,0.20,0.20,56.59
오후 6:40:46,1.20,1.20,12.00,0.20,0.20,6.75
오후 6:40:47,1.20,1.13,12.00,0.20,0.20,3.51
오후 6:40:48,1.20,1.21,12.00,0.20,0.20,42.06
오후 6:40:49,1.20,1.29,12.00,0.20,0.20,56.45
오후 6:40:50,1.20,1.20,12.00,0.20,0.20,7.43
오후 6:40:51,1.20,1.13,12.00,0.20,0.20,3.99
오후 6:40:52,1.20,1.21,12.00,0.20,0.20,42.66
오후 6:40:53,1.20,1.29,12.00,0.20,0.20,56.86
오후 6:40:54,1.20,1.20,12.00,0.20,0.20,7.04
오후 6:40:55,1.20,1.13,12.00,0.20,0.20,4.28
오후 6:40:56,1.20,1.20,12.00,0.20,0.20,42.57
오후 6:40:57,1.20,1.29,12.00,0.20,0.20,57.76
오후 6:40:58,1.20,1.20,12.00,0.20,0.20,7.91
오후 6:40:59,1.20,1.13,12.00,0.20,0.20,4.11
오후 6:41:00,1.20,1.20,12.00,0.20,0.20,42.85
오후 6:41:01,1.20,1.29,12.00,0.20,0.20,58.03
오후 6:41:02,1.20,1.20,12.00,0.20,0.20,7.78
오후 6:41:03,1.20,1.13,12.00,0.20,0.20,4.33
오후 6:41:04,1.20,1.20,12.00,0.20,0.20,43.32
오후 6:41:05,1.20,1.29,12.00,0.20,0.20,58.04
오후 6:41:06,1.20,1.20,12.00,0.20,0.20,7.79
오후 6:41:07,1.20,1.13,12.00,0.20,0.20,5.70
오후 6:41:08,1.20,1.20,12.00,0.20,0.20,42.78
