Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 5:03:01,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 4:58:36,0.00,0.04,12.00,0.10,0.10,15.72
오후 4:58:37,0.00,0.04,12.00,0.10,0.10,16.44
오후 4:58:38,0.00,0.04,12.00,0.10,0.10,17.17
오후 4:58:39,1.20,0.12,12.00,0.10,0.10,0.00
오후 4:58:40,1.20,0.42,12.00,0.10,0.10,17.59
오후 4:58:41,1.20,0.69,12.00,0.10,0.10,37.95
오후 4:58:42,1.20,0.91,12.00,0.10,0.10,56.18
오후 4:58:43,1.20,0.94,12.00,0.10,0.10,54.52
오후 4:58:44,1.20,0.96,12.00,0.10,0.10,51.82
오후 4:58:45,1.20,0.98,12.00,0.10,0.10,49.55
오후 4:58:46,1.20,1.00,12.00,0.10,0.10,47.42
오후 4:58:47,1.20,1.01,12.00,0.10,0.10,45.45
오후 4:58:48,1.20,1.03,12.00,0.10,0.10,43.26
오후 4:58:49,1.20,1.04,12.00,0.10,0.10,41.09
오후 4:58:50,1.20,1.05,12.00,0.10,0.10,39.08
오후 4:58:51,1.20,1.05,12.00,0.10,0.10,37.04
오후 4:58:52,1.20,1.06,12.00,0.10,0.10,35.46
오후 4:58:53,1.20,1.07,12.00,0.10,0.10,33.87
오후 4:58:54,1.20,1.08,12.00,0.10,0.10,32.45
오후 4:58:55,1.20,1.09,12.00,0.10,0.10,31.06
오후 4:58:56,1.20,1.10,12.00,0.10,0.10,29.77
오후 4:58:57,1.20,1.10,12.00,0.10,0.10,28.57
오후 4:58:58,1.20,1.11,12.00,0.10,0.10,27.42
오후 4:58:59,1.20,1.12,12.00,0.10,0.10,26.40
오후 4:59:00,1.20,1.12,12.00,0.10,0.10,25.59
오후 4:59:01,1.20,1.13,12.00,0.10,0.10,24.79
오후 4:59:02,1.20,1.13,12.00,0.10,0.10,24.07
오후 4:59:03,1.20,1.14,12.00,0.10,0.10,23.44
오후 4:59:04,1.20,1.15,12.00,0.10,0.10,23.07
오후 4:59:05,1.20,1.15,12.00,0.10,0.10,22.69
오후 4:59:06,1.20,1.16,12.00,0.10,0.10,22.52
오후 4:59:07,1.20,1.16,12.00,0.10,0.10,22.55
오후 4:59:08,1.20,1.17,12.00,0.10,0.10,22.57
오후 4:59:09,1.20,1.17,12.00,0.10,0.10,22.37
오후 4:59:10,1.20,1.17,12.00,0.10,0.10,21.90
오후 4:59:11,1.20,1.17,12.00,0.10,0.10,21.50
오후 4:59:12,1.20,1.17,12.00,0.10,0.10,21.02
오후 4:59:13,1.20,1.18,12.00,0.10,0.10,20.57
오후 4:59:14,1.20,1.18,12.00,0.10,0.10,20.08
오후 4:59:15,1.20,1.18,12.00,0.10,0.10,19.85
오후 4:59:16,1.20,1.18,12.00,0.10,0.10,19.49
오후 4:59:17,1.20,1.18,12.00,0.10,0.10,19.84
오후 4:59:18,1.20,1.19,12.00,0.10,0.10,20.65
오후 4:59:19,1.20,1.20,12.00,0.10,0.10,21.25
오후 4:59:20,1.20,1.20,12.00,0.10,0.10,21.27
오후 4:59:21,1.20,1.19,12.00,0.10,0.10,20.30
오후 4:59:22,1.20,1.19,12.00,0.10,0.10,19.57
오후 4:59:23,1.20,1.19,12.00,0.10,0.10,19.06
오후 4:59:24,1.20,1.18,12.00,0.10,0.10,18.45
오후 4:59:25,1.20,1.18,12.00,0.10,0.10,18.17
오후 4:59:26,1.20,1.19,12.00,0.10,0.10,18.47
오후 4:59:27,1.20,1.19,12.00,0.10,0.10,18.91
오후 4:59:28,1.20,1.20,12.00,0.10,0.10,19.99
오후 4:59:29,1.20,1.21,12.00,0.10,0.10,20.89
오후 4:59:30,1.20,1.20,12.00,0.10,0.10,20.44
오후 4:59:31,1.20,1.20,12.00,0.10,0.10,19.34
오후 4:59:32,1.20,1.19,12.00,0.10,0.10,18.56
오후 4:59:33,1.20,1.19,12.00,0.10,0.10,17.74
오후 4:59:34,1.20,1.18,12.00,0.10,0.10,17.42
오후 4:59:35,1.20,1.19,12.00,0.10,0.10,17.87
오후 4:59:36,1.20,1.20,12.00,0.10,0.10,18.81
오후 4:59:37,1.20,1.21,12.00,0.10,0.10,19.93
오후 4:59:38,1.20,1.21,12.00,0.10,0.10,20.73
오후 4:59:39,1.20,1.20,12.00,0.10,0.10,19.65
오후 4:59:40,1.20,1.19,12.00,0.10,0.10,18.54
오후 4:59:41,1.20,1.18,12.00,0.10,0.10,17.27
오후 4:59:42,1.20,1.18,12.00,0.10,0.10,16.44
오후 4:59:43,1.20,1.19,12.00,0.10,0.10,17.39
오후 4:59:44,1.20,1.20,12.00,0.10,0.10,18.66
오후 4:59:45,1.20,1.21,12.00,0.10,0.10,20.04
오후 4:59:46,1.20,1.21,12.00,0.10,0.10,20.07
오후 4:59:47,1.20,1.20,12.00,0.10,0.10,18.67
오후 4:59:48,1.20,1.19,12.00,0.10,0.10,17.68
오후 4:59:49,1.20,1.18,12.00,0.10,0.10,16.67
오후 4:59:50,1.20,1.18,12.00,0.10,0.10,16.24
오후 4:59:51,1.20,1.20,12.00,0.10,0.10,17.56
오후 4:59:52,1.20,1.21,12.00,0.10,0.10,19.09
오후 4:59:53,1.20,1.22,12.00,0.10,0.10,20.22
오후 4:59:54,1.20,1.20,12.00,0.10,0.10,18.99
오후 4:59:55,1.20,1.19,12.00,0.10,0.10,17.63
