Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 5:21:19,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 5:17:39,0.00,0.03,4.00,0.20,0.20,100.00
오후 5:17:40,1.20,0.04,4.00,0.20,0.20,50.29
오후 5:17:41,1.20,0.24,4.00,0.20,0.20,59.93
오후 5:17:42,1.20,0.46,4.00,0.20,0.20,65.94
오후 5:17:43,1.20,0.62,4.00,0.20,0.20,68.68
오후 5:17:44,1.20,0.73,4.00,0.20,0.20,70.71
오후 5:17:45,1.20,0.82,4.00,0.20,0.20,71.97
오후 5:17:46,1.20,0.88,4.00,0.20,0.20,72.81
오후 5:17:47,1.20,0.93,4.00,0.20,0.20,73.31
오후 5:17:48,1.20,0.96,4.00,0.20,0.20,73.45
오후 5:17:49,1.20,0.99,4.00,0.20,0.20,73.49
오후 5:17:50,1.20,1.01,4.00,0.20,0.20,73.27
오후 5:17:51,1.20,1.02,4.00,0.20,0.20,73.03
오후 5:17:52,1.20,1.03,4.00,0.20,0.20,72.67
오후 5:17:53,1.20,1.03,4.00,0.20,0.20,72.32
오후 5:17:54,1.20,1.04,4.00,0.20,0.20,71.94
오후 5:17:55,1.20,1.04,4.00,0.20,0.20,71.52
오후 5:17:56,1.20,1.04,4.00,0.20,0.20,71.07
오후 5:17:57,1.20,1.05,4.00,0.20,0.20,70.64
오후 5:17:58,1.20,1.05,4.00,0.20,0.20,70.09
오후 5:17:59,1.20,1.05,4.00,0.20,0.20,69.50
오후 5:18:00,1.20,1.05,4.00,0.20,0.20,69.21
오후 5:18:01,1.20,1.05,4.00,0.20,0.20,68.72
오후 5:18:02,1.20,1.05,4.00,0.20,0.20,68.20
오후 5:18:03,1.20,1.05,4.00,0.20,0.20,67.67
오후 5:18:04,1.20,1.05,4.00,0.20,0.20,67.26
오후 5:18:05,1.20,1.05,4.00,0.20,0.20,66.63
오후 5:18:06,1.20,1.05,4.00,0.20,0.20,66.19
오후 5:18:07,1.20,1.05,4.00,0.20,0.20,65.73
