Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 5:25:30,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 5:21:46,0.00,0.03,4.00,0.20,0.20,99.84
오후 5:21:47,0.00,0.03,4.00,0.20,0.20,100.00
오후 5:21:48,0.00,0.03,4.00,0.20,0.20,100.00
오후 5:21:49,1.20,0.03,4.00,0.20,0.20,50.00
오후 5:21:50,1.20,0.23,4.00,0.20,0.20,64.05
오후 5:21:51,1.20,0.45,4.00,0.20,0.20,71.10
오후 5:21:52,1.20,0.61,4.00,0.20,0.20,72.39
오후 5:21:53,1.20,0.73,4.00,0.20,0.20,73.29
오후 5:21:54,1.20,0.82,4.00,0.20,0.20,74.01
오후 5:21:55,1.20,0.88,4.00,0.20,0.20,74.22
오후 5:21:56,1.20,0.93,4.00,0.20,0.20,74.36
오후 5:21:57,1.20,0.96,4.00,0.20,0.20,74.13
오후 5:21:58,1.20,0.99,4.00,0.20,0.20,73.88
오후 5:21:59,1.20,1.01,4.00,0.20,0.20,73.62
오후 5:22:00,1.20,1.02,4.00,0.20,0.20,73.15
오후 5:22:01,1.20,1.02,4.00,0.20,0.20,72.72
오후 5:22:02,1.20,1.03,4.00,0.20,0.20,72.41
오후 5:22:03,1.20,1.04,4.00,0.20,0.20,71.80
오후 5:22:04,1.20,1.04,4.00,0.20,0.20,71.31
오후 5:22:05,1.20,1.04,4.00,0.20,0.20,70.89
오후 5:22:06,1.20,1.04,4.00,0.20,0.20,70.54
오후 5:22:07,1.20,1.05,4.00,0.20,0.20,70.09
오후 5:22:08,1.20,1.05,4.00,0.20,0.20,69.38
오후 5:22:09,1.20,1.05,4.00,0.20,0.20,69.01
오후 5:22:10,1.20,1.05,4.00,0.20,0.20,68.60
오후 5:22:11,1.20,1.05,4.00,0.20,0.20,67.83
오후 5:22:12,1.20,1.05,4.00,0.20,0.20,67.50
오후 5:22:13,1.20,1.05,4.00,0.20,0.20,67.12
오후 5:22:14,1.20,1.05,4.00,0.20,0.20,66.31
오후 5:22:15,1.20,1.05,4.00,0.20,0.20,66.29
오후 5:22:16,1.20,1.05,4.00,0.20,0.20,65.47
오후 5:22:17,1.20,1.05,4.00,0.20,0.20,65.07
오후 5:22:18,1.20,1.05,4.00,0.20,0.20,64.52
오후 5:22:19,1.20,1.05,4.00,0.20,0.20,63.87
오후 5:22:20,1.20,1.05,4.00,0.20,0.20,63.63
오후 5:22:21,1.20,1.05,4.00,0.20,0.20,63.26
오후 5:22:22,1.20,1.05,4.00,0.20,0.20,62.49
오후 5:22:23,1.20,1.05,4.00,0.20,0.20,61.91
오후 5:22:24,1.20,1.05,4.00,0.20,0.20,61.62
오후 5:22:25,1.20,1.05,4.00,0.20,0.20,61.14
오후 5:22:26,1.20,1.05,4.00,0.20,0.20,60.53
오후 5:22:27,1.20,1.05,4.00,0.20,0.20,60.21
오후 5:22:28,1.20,1.05,4.00,0.20,0.20,59.55
오후 5:22:29,1.20,1.05,4.00,0.20,0.20,59.13
오후 5:22:30,1.20,1.05,4.00,0.20,0.20,58.58
오후 5:22:31,1.20,1.05,4.00,0.20,0.20,58.30
오후 5:22:32,1.20,1.05,4.00,0.20,0.20,57.61
오후 5:22:33,1.20,1.05,4.00,0.20,0.20,57.11
오후 5:22:34,1.20,1.05,4.00,0.20,0.20,56.82
오후 5:22:35,1.20,1.05,4.00,0.20,0.20,56.25
오후 5:22:36,1.20,1.05,4.00,0.20,0.20,55.71
오후 5:22:37,1.20,1.05,4.00,0.20,0.20,55.30
오후 5:22:38,1.20,1.05,4.00,0.20,0.20,54.86
오후 5:22:39,1.20,1.05,4.00,0.20,0.20,54.27
오후 5:22:40,1.20,1.05,4.00,0.20,0.20,53.89
오후 5:22:41,1.20,1.05,4.00,0.20,0.20,53.13
오후 5:22:42,1.20,1.05,4.00,0.20,0.20,53.00
오후 5:22:43,1.20,1.06,4.00,0.20,0.20,52.44
오후 5:22:44,1.20,1.05,4.00,0.20,0.20,51.81
오후 5:22:45,1.20,1.05,4.00,0.20,0.20,51.46
오후 5:22:46,1.20,1.05,4.00,0.20,0.20,50.91
오후 5:22:47,1.20,1.05,4.00,0.20,0.20,50.47
오후 5:22:48,1.20,1.06,4.00,0.20,0.20,50.05
오후 5:22:49,1.20,1.06,4.00,0.20,0.20,49.53
오후 5:22:50,1.20,1.06,4.00,0.20,0.20,49.06
오후 5:22:51,1.20,1.06,4.00,0.20,0.20,48.56
오후 5:22:52,1.20,1.06,4.00,0.20,0.20,48.20
오후 5:22:53,1.20,1.06,4.00,0.20,0.20,47.52
오후 5:22:54,1.20,1.06,4.00,0.20,0.20,47.22
오후 5:22:55,1.20,1.06,4.00,0.20,0.20,46.70
오후 5:22:56,1.20,1.06,4.00,0.20,0.20,46.22
오후 5:22:57,1.20,1.06,4.00,0.20,0.20,45.83
오후 5:22:58,1.20,1.06,4.00,0.20,0.20,45.33
오후 5:22:59,1.20,1.06,4.00,0.20,0.20,44.94
오후 5:23:00,1.20,1.06,4.00,0.20,0.20,44.37
오후 5:23:01,1.20,1.06,4.00,0.20,0.20,44.07
오후 5:23:02,1.20,1.06,4.00,0.20,0.20,43.40
오후 5:23:03,1.20,1.06,4.00,0.20,0.20,43.28
오후 5:23:04,1.20,1.06,4.00,0.20,0.20,42.64
오후 5:23:05,1.20,1.06,4.00,0.20,0.20,42.22
오후 5:23:06,1.20,1.06,4.00,0.20,0.20,41.80
오후 5:23:07,1.20,1.07,4.00,0.20,0.20,41.59
오후 5:23:08,1.20,1.07,4.00,0.20,0.20,41.07
오후 5:23:09,1.20,1.07,4.00,0.20,0.20,40.47
오후 5:23:10,1.20,1.07,4.00,0.20,0.20,40.16
오후 5:23:11,1.20,1.07,4.00,0.20,0.20,40.00
오후 5:23:12,1.20,1.07,4.00,0.20,0.20,39.49
오후 5:23:13,1.20,1.07,4.00,0.20,0.20,38.91
오후 5:23:14,1.20,1.07,4.00,0.20,0.20,38.80
오후 5:23:15,1.20,1.07,4.00,0.20,0.20,38.37
오후 5:23:16,1.20,1.07,4.00,0.20,0.20,37.87
오후 5:23:17,1.20,1.08,4.00,0.20,0.20,37.63
오후 5:23:18,1.20,1.08,4.00,0.20,0.20,37.26
오후 5:23:19,1.20,1.08,4.00,0.20,0.20,36.88
오후 5:23:20,1.20,1.08,4.00,0.20,0.20,36.62
오후 5:23:21,1.20,1.08,4.00,0.20,0.20,36.25
오후 5:23:22,1.20,1.09,4.00,0.20,0.20,36.10
오후 5:23:23,1.20,1.09,4.00,0.20,0.20,35.48
오후 5:23:24,1.20,1.09,4.00,0.20,0.20,35.39
오후 5:23:25,1.20,1.09,4.00,0.20,0.20,34.81
오후 5:23:26,1.20,1.09,4.00,0.20,0.20,34.70
오후 5:23:27,1.20,1.09,4.00,0.20,0.20,34.43
오후 5:23:28,1.20,1.09,4.00,0.20,0.20,33.93
오후 5:23:29,1.20,1.09,4.00,0.20,0.20,33.58
오후 5:23:30,1.20,1.10,4.00,0.20,0.20,33.53
오후 5:23:31,1.20,1.10,4.00,0.20,0.20,33.01
오후 5:23:32,1.20,1.10,4.00,0.20,0.20,32.87
오후 5:23:33,1.20,1.10,4.00,0.20,0.20,32.35
오후 5:23:34,1.20,1.10,4.00,0.20,0.20,32.26
오후 5:23:35,1.20,1.10,4.00,0.20,0.20,31.82
오후 5:23:36,1.20,1.10,4.00,0.20,0.20,31.60
오후 5:23:37,1.20,1.10,4.00,0.20,0.20,31.31
오후 5:23:38,1.20,1.10,4.00,0.20,0.20,31.16
오후 5:23:39,1.20,1.11,4.00,0.20,0.20,30.85
오후 5:23:40,1.20,1.11,4.00,0.20,0.20,30.45
오후 5:23:41,1.20,1.11,4.00,0.20,0.20,30.32
오후 5:23:42,1.20,1.11,4.00,0.20,0.20,29.72
오후 5:23:43,1.20,1.11,4.00,0.20,0.20,29.83
오후 5:23:44,1.20,1.11,4.00,0.20,0.20,29.43
오후 5:23:45,1.20,1.11,4.00,0.20,0.20,29.04
오후 5:23:46,1.20,1.11,4.00,0.20,0.20,29.03
오후 5:23:47,1.20,1.11,4.00,0.20,0.20,28.66
오후 5:23:48,1.20,1.11,4.00,0.20,0.20,28.41
오후 5:23:49,1.20,1.12,4.00,0.20,0.20,28.24
오후 5:23:50,1.20,1.12,4.00,0.20,0.20,27.93
오후 5:23:51,1.20,1.12,4.00,0.20,0.20,27.64
오후 5:23:52,1.20,1.12,4.00,0.20,0.20,27.57
오후 5:23:53,1.20,1.12,4.00,0.20,0.20,27.31
오후 5:23:54,1.20,1.12,4.00,0.20,0.20,26.93
오후 5:23:55,1.20,1.12,4.00,0.20,0.20,26.90
오후 5:23:56,1.20,1.12,4.00,0.20,0.20,26.48
오후 5:23:57,1.20,1.12,4.00,0.20,0.20,26.51
오후 5:23:58,1.20,1.13,4.00,0.20,0.20,26.22
오후 5:23:59,1.20,1.13,4.00,0.20,0.20,25.97
오후 5:24:00,1.20,1.13,4.00,0.20,0.20,25.86
오후 5:24:01,1.20,1.13,4.00,0.20,0.20,25.63
오후 5:24:02,1.20,1.13,4.00,0.20,0.20,25.55
오후 5:24:03,1.20,1.13,4.00,0.20,0.20,25.06
오후 5:24:04,1.20,1.13,4.00,0.20,0.20,25.06
오후 5:24:05,1.20,1.13,4.00,0.20,0.20,25.04
오후 5:24:06,1.20,1.14,4.00,0.20,0.20,24.76
오후 5:24:07,1.20,1.14,4.00,0.20,0.20,24.48
오후 5:24:08,1.20,1.14,4.00,0.20,0.20,24.55
오후 5:24:09,1.20,1.14,4.00,0.20,0.20,24.15
오후 5:24:10,1.20,1.14,4.00,0.20,0.20,23.83
오후 5:24:11,1.20,1.14,4.00,0.20,0.20,24.09
오후 5:24:12,1.20,1.14,4.00,0.20,0.20,23.78
오후 5:24:13,1.20,1.14,4.00,0.20,0.20,23.79
오후 5:24:14,1.20,1.14,4.00,0.20,0.20,23.38
오후 5:24:15,1.20,1.14,4.00,0.20,0.20,23.27
오후 5:24:16,1.20,1.14,4.00,0.20,0.20,23.09
오후 5:24:17,1.20,1.14,4.00,0.20,0.20,22.83
오후 5:24:18,1.20,1.15,4.00,0.20,0.20,22.91
오후 5:24:19,1.20,1.15,4.00,0.20,0.20,22.73
오후 5:24:20,1.20,1.15,4.00,0.20,0.20,22.65
오후 5:24:21,1.20,1.15,4.00,0.20,0.20,22.35
오후 5:24:22,1.20,1.15,4.00,0.20,0.20,22.37
오후 5:24:23,1.20,1.15,4.00,0.20,0.20,22.13
오후 5:24:24,1.20,1.15,4.00,0.20,0.20,22.05
오후 5:24:25,1.20,1.15,4.00,0.20,0.20,22.02
오후 5:24:26,1.20,1.15,4.00,0.20,0.20,21.72
오후 5:24:27,1.20,1.16,4.00,0.20,0.20,21.79
오후 5:24:28,1.20,1.15,4.00,0.20,0.20,21.47
오후 5:24:29,1.20,1.16,4.00,0.20,0.20,21.58
오후 5:24:30,1.20,1.16,4.00,0.20,0.20,21.46
오후 5:24:31,1.20,1.16,4.00,0.20,0.20,21.28
오후 5:24:32,1.20,1.16,4.00,0.20,0.20,21.04
오후 5:24:33,1.20,1.16,4.00,0.20,0.20,21.04
오후 5:24:34,1.20,1.16,4.00,0.20,0.20,21.08
오후 5:24:35,1.20,1.16,4.00,0.20,0.20,21.01
오후 5:24:36,1.20,1.16,4.00,0.20,0.20,20.87
오후 5:24:37,1.20,1.17,4.00,0.20,0.20,20.75
오후 5:24:38,1.20,1.17,4.00,0.20,0.20,20.63
오후 5:24:39,1.20,1.17,4.00,0.20,0.20,20.56
오후 5:24:40,1.20,1.17,4.00,0.20,0.20,20.43
오후 5:24:41,1.20,1.17,4.00,0.20,0.20,20.36
오후 5:24:42,1.20,1.17,4.00,0.20,0.20,20.21
오후 5:24:43,1.20,1.17,4.00,0.20,0.20,20.31
오후 5:24:44,1.20,1.17,4.00,0.20,0.20,20.13
오후 5:24:45,1.20,1.17,4.00,0.20,0.20,20.21
오후 5:24:46,1.20,1.17,4.00,0.20,0.20,19.97
오후 5:24:47,1.20,1.17,4.00,0.20,0.20,19.96
오후 5:24:48,1.20,1.17,4.00,0.20,0.20,19.77
오후 5:24:49,1.20,1.17,4.00,0.20,0.20,19.71
오후 5:24:50,1.20,1.17,4.00,0.20,0.20,19.82
오후 5:24:51,1.20,1.18,4.00,0.20,0.20,19.90
오후 5:24:52,1.20,1.18,4.00,0.20,0.20,19.84
오후 5:24:53,1.20,1.18,4.00,0.20,0.20,19.75
오후 5:24:54,1.20,1.18,4.00,0.20,0.20,19.50
오후 5:24:55,1.20,1.18,4.00,0.20,0.20,19.55
오후 5:24:56,1.20,1.18,4.00,0.20,0.20,19.43
오후 5:24:57,1.20,1.18,4.00,0.20,0.20,19.43
오후 5:24:58,1.20,1.18,4.00,0.20,0.20,19.31
오후 5:24:59,1.20,1.18,4.00,0.20,0.20,19.24
오후 5:25:00,1.20,1.18,4.00,0.20,0.20,19.03
오후 5:25:01,1.20,1.18,4.00,0.20,0.20,19.13
오후 5:25:02,1.20,1.18,4.00,0.20,0.20,19.04
오후 5:25:03,1.20,1.18,4.00,0.20,0.20,19.08
오후 5:25:04,1.20,1.18,4.00,0.20,0.20,19.14
오후 5:25:05,1.20,1.18,4.00,0.20,0.20,19.07
오후 5:25:06,1.20,1.18,4.00,0.20,0.20,19.05
오후 5:25:07,1.20,1.18,4.00,0.20,0.20,18.90
오후 5:25:08,1.20,1.18,4.00,0.20,0.20,18.95
오후 5:25:09,1.20,1.19,4.00,0.20,0.20,18.93
오후 5:25:10,1.20,1.18,4.00,0.20,0.20,18.75
오후 5:25:11,1.20,1.19,4.00,0.20,0.20,18.84
오후 5:25:12,1.20,1.18,4.00,0.20,0.20,18.66
오후 5:25:13,1.20,1.18,4.00,0.20,0.20,18.58
오후 5:25:14,1.20,1.18,4.00,0.20,0.20,18.68
오후 5:25:15,1.20,1.19,4.00,0.20,0.20,18.63
오후 5:25:16,1.20,1.19,4.00,0.20,0.20,18.69
오후 5:25:17,1.20,1.19,4.00,0.20,0.20,18.74
오후 5:25:18,1.20,1.19,4.00,0.20,0.20,18.69
오후 5:25:19,1.20,1.19,4.00,0.20,0.20,18.71
오후 5:25:20,1.20,1.19,4.00,0.20,0.20,18.58
오후 5:25:21,1.20,1.19,4.00,0.20,0.20,18.49
오후 5:25:22,1.20,1.19,4.00,0.20,0.20,18.58
오후 5:25:23,1.20,1.19,4.00,0.20,0.20,18.35
오후 5:25:24,1.20,1.19,4.00,0.20,0.20,18.39
오후 5:25:25,1.20,1.19,4.00,0.20,0.20,18.41
오후 5:25:26,1.20,1.19,4.00,0.20,0.20,18.40
오후 5:25:27,1.20,1.19,4.00,0.20,0.20,18.41
오후 5:25:28,1.20,1.19,4.00,0.20,0.20,18.20
오후 5:25:29,1.20,1.19,4.00,0.20,0.20,18.26
오후 5:25:30,1.20,1.19,4.00,0.20,0.20,18.15
