Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 4:05:21,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 4:03:43,0.00,0.01,12.00,0.20,0.20,0.00
오후 4:03:44,0.60,0.01,12.00,0.20,0.20,74.72
오후 4:03:45,0.60,0.01,12.00,0.20,0.20,80.87
오후 4:03:46,0.60,0.18,12.00,0.20,0.20,40.09
오후 4:03:47,0.60,0.36,12.00,0.20,0.20,22.17
오후 4:03:48,0.60,0.46,12.00,0.20,0.20,22.39
오후 4:03:49,0.60,0.47,12.00,0.20,0.20,35.19
오후 4:03:50,0.60,0.48,12.00,0.20,0.20,36.14
오후 4:03:51,0.60,0.54,12.00,0.20,0.20,22.77
오후 4:03:52,0.60,0.59,12.00,0.20,0.20,18.08
오후 4:03:53,0.60,0.58,12.00,0.20,0.20,26.88
오후 4:03:54,0.60,0.55,12.00,0.20,0.20,34.71
오후 4:03:55,0.60,0.57,12.00,0.20,0.20,25.98
오후 4:03:56,0.60,0.61,12.00,0.20,0.20,17.11
오후 4:03:57,0.60,0.62,12.00,0.20,0.20,21.56
오후 4:03:58,0.60,0.58,12.00,0.20,0.20,32.84
오후 4:03:59,0.60,0.57,12.00,0.20,0.20,30.57
오후 4:04:00,0.60,0.61,12.00,0.20,0.20,18.62
오후 4:04:01,0.60,0.64,12.00,0.20,0.20,16.95
오후 4:04:02,0.60,0.60,12.00,0.20,0.20,29.27
오후 4:04:03,0.60,0.57,12.00,0.20,0.20,34.16
오후 4:04:04,0.60,0.59,12.00,0.20,0.20,22.00
오후 4:04:05,0.60,0.63,12.00,0.20,0.20,16.23
오후 4:04:06,0.60,0.62,12.00,0.20,0.20,23.93
오후 4:04:07,0.60,0.57,12.00,0.20,0.20,34.73
오후 4:04:08,0.60,0.58,12.00,0.20,0.20,27.58
오후 4:04:09,0.60,0.62,12.00,0.20,0.20,17.08
오후 4:04:10,0.60,0.63,12.00,0.20,0.20,19.10
오후 4:04:11,0.60,0.59,12.00,0.20,0.20,31.70
오후 4:04:12,0.60,0.56,12.00,0.20,0.20,35.50
오후 4:04:13,0.60,0.60,12.00,0.20,0.20,19.65
오후 4:04:14,0.60,0.64,12.00,0.20,0.20,14.97
오후 4:04:15,0.60,0.61,12.00,0.20,0.20,26.60
