Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 4:14:41,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 4:12:26,0.00,0.01,12.00,0.00,0.00,0.00
오후 4:12:27,0.00,0.01,12.00,0.00,0.00,0.00
오후 4:12:28,0.00,0.01,12.00,0.00,0.00,0.00
오후 4:12:29,0.00,0.01,12.00,0.00,0.00,0.00
오후 4:12:30,0.00,0.01,12.00,0.00,0.00,0.00
오후 4:12:31,0.00,0.01,12.00,0.30,0.30,0.00
오후 4:12:32,0.00,0.01,12.00,0.30,0.30,0.16
오후 4:12:33,0.00,0.01,12.00,0.30,0.30,0.00
오후 4:12:34,0.00,0.01,12.00,0.30,0.30,0.22
오후 4:12:35,0.00,0.01,12.00,0.30,0.30,0.01
오후 4:12:36,0.00,0.01,12.00,0.30,0.30,0.06
오후 4:12:37,0.00,0.01,12.00,0.30,0.30,0.00
오후 4:12:38,0.00,0.01,12.00,0.30,0.30,0.07
오후 4:12:39,0.00,0.01,12.00,0.30,0.30,0.36
오후 4:12:40,0.00,0.01,12.00,0.30,0.30,0.00
오후 4:12:41,0.00,0.01,12.00,0.30,0.30,0.00
오후 4:12:42,0.00,0.01,12.00,0.30,0.30,0.46
오후 4:12:43,0.00,0.01,12.00,0.30,0.30,0.00
오후 4:12:44,0.00,0.01,12.00,0.30,0.30,0.00
오후 4:12:45,0.00,0.01,12.00,0.30,0.30,0.42
오후 4:12:46,0.00,0.01,12.00,0.30,0.30,0.00
오후 4:12:47,0.60,0.01,12.00,0.30,0.30,73.73
오후 4:12:48,0.60,0.01,12.00,0.30,0.30,77.22
오후 4:12:49,0.60,0.18,12.00,0.30,0.30,23.69
오후 4:12:50,0.60,0.36,12.00,0.30,0.30,4.82
오후 4:12:51,0.60,0.42,12.00,0.30,0.30,23.00
오후 4:12:52,0.60,0.32,12.00,0.30,0.30,71.43
오후 4:12:53,0.60,0.32,12.00,0.30,0.30,49.08
오후 4:12:54,0.60,0.46,12.00,0.30,0.30,5.44
오후 4:12:55,0.60,0.56,12.00,0.30,0.30,3.33
오후 4:12:56,0.60,0.47,12.00,0.30,0.30,54.62
오후 4:12:57,0.60,0.35,12.00,0.30,0.30,75.79
오후 4:12:58,0.60,0.44,12.00,0.30,0.30,24.25
오후 4:12:59,0.60,0.56,12.00,0.30,0.30,0.66
오후 4:13:00,0.60,0.59,12.00,0.30,0.30,19.85
오후 4:13:01,0.60,0.46,12.00,0.30,0.30,66.81
오후 4:13:02,0.60,0.41,12.00,0.30,0.30,60.52
오후 4:13:03,0.60,0.53,12.00,0.30,0.30,7.17
오후 4:13:04,0.60,0.63,12.00,0.30,0.30,1.51
오후 4:13:05,0.60,0.54,12.00,0.30,0.30,51.43
오후 4:13:06,0.60,0.42,12.00,0.30,0.30,76.91
오후 4:13:07,0.60,0.49,12.00,0.30,0.30,25.59
오후 4:13:08,0.60,0.60,12.00,0.30,0.30,3.12
오후 4:13:09,0.60,0.63,12.00,0.30,0.30,20.44
오후 4:13:10,0.60,0.50,12.00,0.30,0.30,67.90
오후 4:13:11,0.60,0.45,12.00,0.30,0.30,58.96
오후 4:13:12,0.60,0.56,12.00,0.30,0.30,8.80
오후 4:13:13,0.60,0.65,12.00,0.30,0.30,4.41
오후 4:13:14,0.60,0.56,12.00,0.30,0.30,54.07
오후 4:13:15,0.60,0.43,12.00,0.30,0.30,78.55
오후 4:13:16,0.60,0.50,12.00,0.30,0.30,28.59
오후 4:13:17,0.60,0.61,12.00,0.30,0.30,5.30
오후 4:13:18,0.60,0.64,12.00,0.30,0.30,19.90
오후 4:13:19,0.60,0.52,12.00,0.30,0.30,68.32
오후 4:13:20,0.60,0.46,12.00,0.30,0.30,63.31
오후 4:13:21,0.60,0.57,12.00,0.30,0.30,11.52
오후 4:13:22,0.60,0.66,12.00,0.30,0.30,6.74
오후 4:13:23,0.60,0.58,12.00,0.30,0.30,52.67
오후 4:13:24,0.60,0.44,12.00,0.30,0.30,81.01
오후 4:13:25,0.60,0.52,12.00,0.30,0.30,28.61
오후 4:13:26,0.60,0.63,12.00,0.30,0.30,7.01
오후 4:13:27,0.60,0.65,12.00,0.30,0.30,22.09
오후 4:13:28,0.60,0.53,12.00,0.30,0.30,69.98
오후 4:13:29,0.60,0.49,12.00,0.30,0.30,54.73
오후 4:13:30,0.60,0.60,12.00,0.30,0.30,12.46
오후 4:13:31,0.60,0.68,12.00,0.30,0.30,8.64
오후 4:13:32,0.60,0.59,12.00,0.30,0.30,55.94
오후 4:13:33,0.60,0.45,12.00,0.30,0.30,81.39
오후 4:13:34,0.60,0.54,12.00,0.30,0.30,25.58
오후 4:13:35,0.60,0.64,12.00,0.30,0.30,8.88
오후 4:13:36,0.60,0.66,12.00,0.30,0.30,25.26
오후 4:13:37,0.60,0.53,12.00,0.30,0.30,71.90
오후 4:13:38,0.60,0.52,12.00,0.30,0.30,46.32
오후 4:13:39,0.60,0.62,12.00,0.30,0.30,12.74
오후 4:13:40,0.60,0.69,12.00,0.30,0.30,11.89
오후 4:13:41,0.60,0.60,12.00,0.30,0.30,55.55
오후 4:13:42,0.60,0.47,12.00,0.30,0.30,78.24
오후 4:13:43,0.60,0.56,12.00,0.30,0.30,21.02
오후 4:13:44,0.60,0.66,12.00,0.30,0.30,8.92
오후 4:13:45,0.60,0.66,12.00,0.30,0.30,29.93
오후 4:13:46,0.60,0.53,12.00,0.30,0.30,72.72
오후 4:13:47,0.60,0.54,12.00,0.30,0.30,40.19
오후 4:13:48,0.60,0.64,12.00,0.30,0.30,11.55
오후 4:13:49,0.60,0.69,12.00,0.30,0.30,15.17
오후 4:13:50,0.60,0.58,12.00,0.30,0.30,63.42
오후 4:13:51,0.60,0.48,12.00,0.30,0.30,71.04
오후 4:13:52,0.60,0.59,12.00,0.30,0.30,16.25
오후 4:13:53,0.60,0.67,12.00,0.30,0.30,9.37
오후 4:13:54,0.60,0.65,12.00,0.30,0.30,36.45
오후 4:13:55,0.60,0.51,12.00,0.30,0.30,76.29
오후 4:13:56,0.60,0.55,12.00,0.30,0.30,33.63
오후 4:13:57,0.60,0.65,12.00,0.30,0.30,10.63
오후 4:13:58,0.60,0.68,12.00,0.30,0.30,20.00
오후 4:13:59,0.60,0.56,12.00,0.30,0.30,67.53
오후 4:14:00,0.60,0.52,12.00,0.30,0.30,55.51
오후 4:14:01,0.60,0.62,12.00,0.30,0.30,14.20
오후 4:14:02,0.60,0.69,12.00,0.30,0.30,9.31
오후 4:14:03,0.60,0.63,12.00,0.30,0.30,45.41
오후 4:14:04,0.60,0.50,12.00,0.30,0.30,76.45
오후 4:14:05,0.60,0.56,12.00,0.30,0.30,28.12
오후 4:14:06,0.60,0.66,12.00,0.30,0.30,9.53
오후 4:14:07,0.60,0.67,12.00,0.30,0.30,24.03
오후 4:14:08,0.60,0.55,12.00,0.30,0.30,68.73
오후 4:14:09,0.60,0.54,12.00,0.30,0.30,48.09
오후 4:14:10,0.60,0.63,12.00,0.30,0.30,12.89
오후 4:14:11,0.60,0.69,12.00,0.30,0.30,11.18
오후 4:14:12,0.60,0.61,12.00,0.30,0.30,52.13
오후 4:14:13,0.60,0.48,12.00,0.30,0.30,79.26
오후 4:14:14,0.60,0.57,12.00,0.30,0.30,22.04
오후 4:14:15,0.60,0.66,12.00,0.30,0.30,8.80
오후 4:14:16,0.60,0.66,12.00,0.30,0.30,29.58
오후 4:14:17,0.60,0.53,12.00,0.30,0.30,72.30
오후 4:14:18,0.60,0.54,12.00,0.30,0.30,41.11
오후 4:14:19,0.60,0.64,12.00,0.30,0.30,12.39
오후 4:14:20,0.60,0.69,12.00,0.30,0.30,14.38
오후 4:14:21,0.60,0.58,12.00,0.30,0.30,61.58
오후 4:14:22,0.60,0.45,12.00,0.30,0.30,82.66
오후 4:14:23,0.60,0.56,12.00,0.30,0.30,18.14
오후 4:14:24,0.60,0.66,12.00,0.30,0.30,9.48
오후 4:14:25,0.60,0.65,12.00,0.30,0.30,34.21
오후 4:14:26,0.60,0.52,12.00,0.30,0.30,75.57
오후 4:14:27,0.60,0.55,12.00,0.30,0.30,37.25
오후 4:14:28,0.60,0.64,12.00,0.30,0.30,12.18
오후 4:14:29,0.60,0.68,12.00,0.30,0.30,18.61
오후 4:14:30,0.60,0.57,12.00,0.30,0.30,64.88
오후 4:14:31,0.60,0.53,12.00,0.30,0.30,55.10
오후 4:14:32,0.60,0.62,12.00,0.30,0.30,14.80
오후 4:14:33,0.60,0.69,12.00,0.30,0.30,11.28
오후 4:14:34,0.60,0.64,12.00,0.30,0.30,43.36
오후 4:14:35,0.60,0.51,12.00,0.30,0.30,75.44
오후 4:14:36,0.60,0.58,12.00,0.30,0.30,25.79
오후 4:14:37,0.60,0.67,12.00,0.30,0.30,9.68
오후 4:14:38,0.60,0.68,12.00,0.30,0.30,25.63
오후 4:14:39,0.60,0.55,12.00,0.30,0.30,70.11
오후 4:14:40,0.60,0.54,12.00,0.30,0.30,45.06
