Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 5:48:02,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 5:43:57,1.20,1.05,4.00,0.30,0.30,55.46
오후 5:43:58,1.20,1.05,4.00,0.30,0.30,55.00
오후 5:43:59,1.20,1.05,4.00,0.30,0.30,54.83
오후 5:44:00,1.20,1.05,4.00,0.30,0.30,54.39
오후 5:44:01,1.20,1.05,4.00,0.30,0.30,53.87
오후 5:44:02,1.20,1.05,4.00,0.30,0.30,53.88
오후 5:44:03,1.20,1.05,4.00,0.30,0.30,53.30
오후 5:44:04,1.20,1.05,4.00,0.30,0.30,53.12
오후 5:44:05,1.20,1.05,4.00,0.30,0.30,52.80
오후 5:44:06,1.20,1.05,4.00,0.30,0.30,52.55
오후 5:44:07,1.20,1.05,4.00,0.30,0.30,52.21
오후 5:44:08,1.20,1.05,4.00,0.30,0.30,51.76
오후 5:44:09,1.20,1.05,4.00,0.30,0.30,51.50
오후 5:44:10,1.20,1.05,4.00,0.30,0.30,51.21
오후 5:44:11,1.20,1.05,4.00,0.30,0.30,50.75
오후 5:44:12,1.20,1.05,4.00,0.30,0.30,50.50
오후 5:44:13,1.20,1.05,4.00,0.30,0.30,50.04
오후 5:44:14,1.20,1.05,4.00,0.30,0.30,50.03
오후 5:44:15,1.20,1.05,4.00,0.30,0.30,49.50
오후 5:44:16,1.20,1.05,4.00,0.30,0.30,49.16
오후 5:44:17,1.20,1.05,4.00,0.30,0.30,49.00
오후 5:44:18,1.20,1.05,4.00,0.30,0.30,48.23
오후 5:44:19,1.20,1.05,4.00,0.30,0.30,48.56
오후 5:44:20,1.20,1.05,4.00,0.30,0.30,47.85
오후 5:44:21,1.20,1.05,4.00,0.30,0.30,47.61
오후 5:44:22,1.20,1.05,4.00,0.30,0.30,47.29
오후 5:44:23,1.20,1.06,4.00,0.30,0.30,47.11
오후 5:44:24,1.20,1.06,4.00,0.30,0.30,46.79
오후 5:44:25,1.20,1.06,4.00,0.30,0.30,46.40
오후 5:44:26,1.20,1.05,4.00,0.30,0.30,45.88
오후 5:44:27,1.20,1.06,4.00,0.30,0.30,46.00
오후 5:44:28,1.20,1.06,4.00,0.30,0.30,45.53
오후 5:44:29,1.20,1.06,4.00,0.30,0.30,45.09
오후 5:44:30,1.20,1.06,4.00,0.30,0.30,45.00
오후 5:44:31,1.20,1.06,4.00,0.30,0.30,44.47
오후 5:44:32,1.20,1.06,4.00,0.30,0.30,44.33
오후 5:44:33,1.20,1.06,4.00,0.30,0.30,44.02
오후 5:44:34,1.20,1.06,4.00,0.30,0.30,43.64
오후 5:44:35,1.20,1.06,4.00,0.30,0.30,43.49
오후 5:44:36,1.20,1.06,4.00,0.30,0.30,42.80
오후 5:44:37,1.20,1.06,4.00,0.30,0.30,42.94
오후 5:44:38,1.20,1.06,4.00,0.30,0.30,42.50
오후 5:44:39,1.20,1.06,4.00,0.30,0.30,42.24
오후 5:44:40,1.20,1.06,4.00,0.30,0.30,41.95
오후 5:44:41,1.20,1.06,4.00,0.30,0.30,41.69
오후 5:44:42,1.20,1.06,4.00,0.30,0.30,41.17
오후 5:44:43,1.20,1.06,4.00,0.30,0.30,41.31
오후 5:44:44,1.20,1.06,4.00,0.30,0.30,40.81
오후 5:44:45,1.20,1.06,4.00,0.30,0.30,40.56
오후 5:44:46,1.20,1.07,4.00,0.30,0.30,40.33
오후 5:44:47,1.20,1.07,4.00,0.30,0.30,39.97
오후 5:44:48,1.20,1.07,4.00,0.30,0.30,39.84
오후 5:44:49,1.20,1.07,4.00,0.30,0.30,39.37
오후 5:44:50,1.20,1.07,4.00,0.30,0.30,39.28
오후 5:44:51,1.20,1.07,4.00,0.30,0.30,38.99
오후 5:44:52,1.20,1.07,4.00,0.30,0.30,38.71
오후 5:44:53,1.20,1.07,4.00,0.30,0.30,38.32
오후 5:44:54,1.20,1.07,4.00,0.30,0.30,38.30
오후 5:44:55,1.20,1.07,4.00,0.30,0.30,38.05
오후 5:44:56,1.20,1.07,4.00,0.30,0.30,37.80
오후 5:44:57,1.20,1.08,4.00,0.30,0.30,37.60
오후 5:44:58,1.20,1.07,4.00,0.30,0.30,37.05
오후 5:44:59,1.20,1.08,4.00,0.30,0.30,37.01
오후 5:45:00,1.20,1.08,4.00,0.30,0.30,36.80
오후 5:45:01,1.20,1.08,4.00,0.30,0.30,36.75
오후 5:45:02,1.20,1.08,4.00,0.30,0.30,36.34
오후 5:45:03,1.20,1.08,4.00,0.30,0.30,36.14
오후 5:45:04,1.20,1.08,4.00,0.30,0.30,35.91
오후 5:45:05,1.20,1.08,4.00,0.30,0.30,35.71
오후 5:45:06,1.20,1.08,4.00,0.30,0.30,35.39
오후 5:45:07,1.20,1.09,4.00,0.30,0.30,35.42
오후 5:45:08,1.20,1.09,4.00,0.30,0.30,34.97
오후 5:45:09,1.20,1.09,4.00,0.30,0.30,35.11
