Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 5:41:57,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 5:36:10,0.00,0.03,4.00,0.30,0.30,100.00
오후 5:36:11,1.20,0.09,4.00,0.30,0.30,56.17
오후 5:36:12,1.20,0.36,4.00,0.30,0.30,74.33
오후 5:36:13,1.20,0.54,4.00,0.30,0.30,76.21
오후 5:36:14,1.20,0.68,4.00,0.30,0.30,78.03
오후 5:36:15,1.20,0.78,4.00,0.30,0.30,79.51
오후 5:36:16,1.20,0.86,4.00,0.30,0.30,80.24
오후 5:36:17,1.20,0.91,4.00,0.30,0.30,80.76
오후 5:36:18,1.20,0.95,4.00,0.30,0.30,80.98
오후 5:36:19,1.20,0.98,4.00,0.30,0.30,81.04
오후 5:36:20,1.20,1.00,4.00,0.30,0.30,81.02
오후 5:36:21,1.20,1.01,4.00,0.30,0.30,80.83
오후 5:36:22,1.20,1.02,4.00,0.30,0.30,80.55
오후 5:36:23,1.20,1.03,4.00,0.30,0.30,80.51
오후 5:36:24,1.20,1.04,4.00,0.30,0.30,80.26
오후 5:36:25,1.20,1.04,4.00,0.30,0.30,79.89
오후 5:36:26,1.20,1.04,4.00,0.30,0.30,79.71
오후 5:36:27,1.20,1.04,4.00,0.30,0.30,79.27
오후 5:36:28,1.20,1.05,4.00,0.30,0.30,79.09
오후 5:36:29,1.20,1.05,4.00,0.30,0.30,78.70
오후 5:36:30,1.20,1.05,4.00,0.30,0.30,78.38
오후 5:36:31,1.20,1.05,4.00,0.30,0.30,78.10
오후 5:36:32,1.20,1.05,4.00,0.30,0.30,77.64
오후 5:36:33,1.20,1.05,4.00,0.30,0.30,77.51
오후 5:36:34,1.20,1.05,4.00,0.30,0.30,76.99
오후 5:36:35,1.20,1.05,4.00,0.30,0.30,76.82
오후 5:36:36,1.20,1.05,4.00,0.30,0.30,76.34
오후 5:36:37,1.20,1.05,4.00,0.30,0.30,76.00
오후 5:36:38,1.20,1.05,4.00,0.30,0.30,75.80
오후 5:36:39,1.20,1.05,4.00,0.30,0.30,75.28
오후 5:36:40,1.20,1.05,4.00,0.30,0.30,75.13
오후 5:36:41,1.20,1.05,4.00,0.30,0.30,74.60
오후 5:36:42,1.20,1.05,4.00,0.30,0.30,74.35
오후 5:36:43,1.20,1.05,4.00,0.30,0.30,73.96
오후 5:36:44,1.20,1.05,4.00,0.30,0.30,73.62
오후 5:36:45,1.20,1.05,4.00,0.30,0.30,73.33
오후 5:36:46,1.20,1.05,4.00,0.30,0.30,73.10
오후 5:36:47,1.20,1.05,4.00,0.30,0.30,72.64
