Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 4:46:34,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 4:42:28,1.20,1.05,4.00,0.30,0.30,53.97
오후 4:42:29,1.20,1.06,4.00,0.30,0.30,53.70
오후 4:42:30,1.20,1.06,4.00,0.30,0.30,53.35
오후 4:42:31,1.20,1.06,4.00,0.30,0.30,53.08
오후 4:42:32,1.20,1.06,4.00,0.30,0.30,52.78
오후 4:42:33,1.20,1.06,4.00,0.30,0.30,52.39
오후 4:42:34,1.20,1.06,4.00,0.30,0.30,52.15
오후 4:42:35,1.20,1.06,4.00,0.30,0.30,51.80
오후 4:42:36,1.20,1.06,4.00,0.30,0.30,51.51
오후 4:42:37,1.20,1.06,4.00,0.30,0.30,51.23
오후 4:42:38,1.20,1.06,4.00,0.30,0.30,50.85
오후 4:42:39,1.20,1.06,4.00,0.30,0.30,50.61
오후 4:42:40,1.20,1.06,4.00,0.30,0.30,50.31
오후 4:42:41,1.20,1.06,4.00,0.30,0.30,50.01
오후 4:42:42,1.20,1.06,4.00,0.30,0.30,49.65
오후 4:42:43,1.20,1.06,4.00,0.30,0.30,49.37
오후 4:42:44,1.20,1.06,4.00,0.30,0.30,49.03
오후 4:42:45,1.20,1.06,4.00,0.30,0.30,48.72
오후 4:42:46,1.20,1.06,4.00,0.30,0.30,48.40
오후 4:42:47,1.20,1.06,4.00,0.30,0.30,48.11
오후 4:42:48,1.20,1.06,4.00,0.30,0.30,47.83
오후 4:42:49,1.20,1.06,4.00,0.30,0.30,47.50
오후 4:42:50,1.20,1.06,4.00,0.30,0.30,47.16
오후 4:42:51,1.20,1.06,4.00,0.30,0.30,46.82
오후 4:42:52,1.20,1.06,4.00,0.30,0.30,46.57
오후 4:42:53,1.20,1.06,4.00,0.30,0.30,46.29
오후 4:42:54,1.20,1.06,4.00,0.30,0.30,46.04
오후 4:42:55,1.20,1.06,4.00,0.30,0.30,45.71
오후 4:42:56,1.20,1.06,4.00,0.30,0.30,45.44
오후 4:42:57,1.20,1.06,4.00,0.30,0.30,45.10
오후 4:42:58,1.20,1.06,4.00,0.30,0.30,44.85
오후 4:42:59,1.20,1.06,4.00,0.30,0.30,44.51
오후 4:43:00,1.20,1.06,4.00,0.30,0.30,44.32
오후 4:43:01,1.20,1.06,4.00,0.30,0.30,43.89
오후 4:43:02,1.20,1.06,4.00,0.30,0.30,43.65
오후 4:43:03,1.20,1.06,4.00,0.30,0.30,43.33
오후 4:43:04,1.20,1.06,4.00,0.30,0.30,43.04
오후 4:43:05,1.20,1.06,4.00,0.30,0.30,42.79
오후 4:43:06,1.20,1.06,4.00,0.30,0.30,42.47
오후 4:43:07,1.20,1.07,4.00,0.30,0.30,42.22
