Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 3:33:30,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 3:32:37,0.00,0.01,4.00,0.20,0.20,0.16
오후 3:32:38,0.60,0.01,4.00,0.20,0.20,25.01
오후 3:32:39,0.60,0.01,4.00,0.20,0.20,26.94
오후 3:32:40,0.60,0.12,4.00,0.20,0.20,19.38
오후 3:32:41,0.60,0.22,4.00,0.20,0.20,16.49
오후 3:32:42,0.60,0.27,4.00,0.20,0.20,18.87
오후 3:32:43,0.60,0.28,4.00,0.20,0.20,20.76
오후 3:32:44,0.60,0.31,4.00,0.20,0.20,20.37
오후 3:32:45,0.60,0.34,4.00,0.20,0.20,19.92
오후 3:32:46,0.60,0.37,4.00,0.20,0.20,19.64
오후 3:32:47,0.60,0.39,4.00,0.20,0.20,19.69
오후 3:32:48,0.60,0.41,4.00,0.20,0.20,19.77
오후 3:32:49,0.60,0.42,4.00,0.20,0.20,20.36
오후 3:32:50,0.60,0.43,4.00,0.20,0.20,20.97
오후 3:32:51,0.60,0.43,4.00,0.20,0.20,21.43
오후 3:32:52,0.60,0.44,4.00,0.20,0.20,21.22
오후 3:32:53,0.60,0.45,4.00,0.20,0.20,21.17
오후 3:32:54,0.60,0.47,4.00,0.20,0.20,21.17
오후 3:32:55,0.60,0.48,4.00,0.20,0.20,21.31
오후 3:32:56,0.60,0.48,4.00,0.20,0.20,21.65
오후 3:32:57,0.60,0.49,4.00,0.20,0.20,21.84
오후 3:32:58,0.60,0.49,4.00,0.20,0.20,22.09
오후 3:32:59,0.60,0.50,4.00,0.20,0.20,22.02
오후 3:33:00,0.60,0.50,4.00,0.20,0.20,22.35
오후 3:33:01,0.60,0.51,4.00,0.20,0.20,22.13
오후 3:33:02,0.60,0.52,4.00,0.20,0.20,22.30
오후 3:33:03,0.60,0.52,4.00,0.20,0.20,22.55
오후 3:33:04,0.60,0.52,4.00,0.20,0.20,22.59
오후 3:33:05,0.60,0.53,4.00,0.20,0.20,22.73
오후 3:33:06,0.60,0.53,4.00,0.20,0.20,22.86
오후 3:33:07,0.60,0.54,4.00,0.20,0.20,22.86
오후 3:33:08,0.60,0.54,4.00,0.20,0.20,22.91
오후 3:33:09,0.60,0.54,4.00,0.20,0.20,23.02
오후 3:33:10,0.60,0.55,4.00,0.20,0.20,23.09
오후 3:33:11,0.60,0.55,4.00,0.20,0.20,23.21
오후 3:33:12,0.60,0.55,4.00,0.20,0.20,23.14
오후 3:33:13,0.60,0.55,4.00,0.20,0.20,23.34
오후 3:33:14,0.60,0.56,4.00,0.20,0.20,23.21
오후 3:33:15,0.60,0.56,4.00,0.20,0.20,23.28
오후 3:33:16,0.60,0.56,4.00,0.20,0.20,23.51
오후 3:33:17,0.60,0.56,4.00,0.20,0.20,23.47
오후 3:33:18,0.60,0.57,4.00,0.20,0.20,23.54
오후 3:33:19,0.60,0.57,4.00,0.20,0.20,23.31
오후 3:33:20,0.60,0.57,4.00,0.20,0.20,23.59
오후 3:33:21,0.60,0.57,4.00,0.20,0.20,23.83
오후 3:33:22,0.60,0.57,4.00,0.20,0.20,23.75
오후 3:33:23,0.60,0.57,4.00,0.20,0.20,23.73
오후 3:33:24,0.60,0.57,4.00,0.20,0.20,23.83
오후 3:33:25,0.60,0.57,4.00,0.20,0.20,23.91
오후 3:33:26,0.60,0.58,4.00,0.20,0.20,23.90
오후 3:33:27,0.60,0.58,4.00,0.20,0.20,23.90
오후 3:33:28,0.60,0.58,4.00,0.20,0.20,24.04
오후 3:33:29,0.60,0.58,4.00,0.20,0.20,23.89
오후 3:33:30,0.60,0.58,4.00,0.20,0.20,24.18
