Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 3:36:34,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 3:35:45,0.00,0.01,4.00,0.20,0.20,0.07
오후 3:35:46,0.60,0.01,4.00,0.20,0.20,24.83
오후 3:35:47,0.60,0.01,4.00,0.20,0.20,27.11
오후 3:35:48,0.60,0.11,4.00,0.20,0.20,17.40
오후 3:35:49,0.60,0.22,4.00,0.20,0.20,13.92
오후 3:35:50,0.60,0.26,4.00,0.20,0.20,19.09
오후 3:35:51,0.60,0.25,4.00,0.20,0.20,23.44
오후 3:35:52,0.60,0.29,4.00,0.20,0.20,20.09
오후 3:35:53,0.60,0.34,4.00,0.20,0.20,17.60
오후 3:35:54,0.60,0.37,4.00,0.20,0.20,19.11
오후 3:35:55,0.60,0.37,4.00,0.20,0.20,21.47
오후 3:35:56,0.60,0.37,4.00,0.20,0.20,22.42
오후 3:35:57,0.60,0.40,4.00,0.20,0.20,19.95
오후 3:35:58,0.60,0.43,4.00,0.20,0.20,19.97
오후 3:35:59,0.60,0.44,4.00,0.20,0.20,20.99
오후 3:36:00,0.60,0.44,4.00,0.20,0.20,21.83
오후 3:36:01,0.60,0.44,4.00,0.20,0.20,22.35
오후 3:36:02,0.60,0.46,4.00,0.20,0.20,21.44
오후 3:36:03,0.60,0.47,4.00,0.20,0.20,21.38
오후 3:36:04,0.60,0.48,4.00,0.20,0.20,21.49
오후 3:36:05,0.60,0.49,4.00,0.20,0.20,21.59
오후 3:36:06,0.60,0.50,4.00,0.20,0.20,21.71
오후 3:36:07,0.60,0.51,4.00,0.20,0.20,21.99
오후 3:36:08,0.60,0.51,4.00,0.20,0.20,22.30
오후 3:36:09,0.60,0.51,4.00,0.20,0.20,23.04
오후 3:36:10,0.60,0.51,4.00,0.20,0.20,22.63
오후 3:36:11,0.60,0.52,4.00,0.20,0.20,22.34
오후 3:36:12,0.60,0.53,4.00,0.20,0.20,22.29
오후 3:36:13,0.60,0.54,4.00,0.20,0.20,22.49
오후 3:36:14,0.60,0.54,4.00,0.20,0.20,22.63
오후 3:36:15,0.60,0.54,4.00,0.20,0.20,22.63
오후 3:36:16,0.60,0.55,4.00,0.20,0.20,23.05
오후 3:36:17,0.60,0.55,4.00,0.20,0.20,23.25
오후 3:36:18,0.60,0.55,4.00,0.20,0.20,23.25
오후 3:36:19,0.60,0.55,4.00,0.20,0.20,22.97
오후 3:36:20,0.60,0.56,4.00,0.20,0.20,23.15
오후 3:36:21,0.60,0.56,4.00,0.20,0.20,22.87
오후 3:36:22,0.60,0.56,4.00,0.20,0.20,23.22
오후 3:36:23,0.60,0.56,4.00,0.20,0.20,23.32
오후 3:36:24,0.60,0.57,4.00,0.20,0.20,23.36
오후 3:36:25,0.60,0.57,4.00,0.20,0.20,23.34
오후 3:36:26,0.60,0.57,4.00,0.20,0.20,23.42
오후 3:36:27,0.60,0.57,4.00,0.20,0.20,23.68
오후 3:36:28,0.60,0.57,4.00,0.20,0.20,23.68
오후 3:36:29,0.60,0.57,4.00,0.20,0.20,23.38
오후 3:36:30,0.60,0.57,4.00,0.20,0.20,23.75
오후 3:36:31,0.60,0.58,4.00,0.20,0.20,23.42
오후 3:36:32,0.60,0.58,4.00,0.20,0.20,23.61
오후 3:36:33,0.60,0.58,4.00,0.20,0.20,23.48
오후 3:36:34,0.60,0.58,4.00,0.20,0.20,23.65
