Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 6:26:56,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 6:23:37,0.00,0.03,12.00,0.10,0.10,100.00
오후 6:23:38,1.20,0.06,12.00,0.10,0.10,0.00
오후 6:23:39,1.20,0.34,12.00,0.10,0.10,34.06
오후 6:23:40,1.20,0.59,12.00,0.10,0.10,47.31
오후 6:23:41,1.20,0.75,12.00,0.10,0.10,48.07
오후 6:23:42,1.20,0.83,12.00,0.10,0.10,45.19
오후 6:23:43,1.20,0.90,12.00,0.10,0.10,45.52
오후 6:23:44,1.20,0.95,12.00,0.10,0.10,44.63
오후 6:23:45,1.20,0.99,12.00,0.10,0.10,43.43
오후 6:23:46,1.20,1.01,12.00,0.10,0.10,41.85
오후 6:23:47,1.20,1.03,12.00,0.10,0.10,40.04
오후 6:23:48,1.20,1.05,12.00,0.10,0.10,38.50
오후 6:23:49,1.20,1.06,12.00,0.10,0.10,36.52
오후 6:23:50,1.20,1.07,12.00,0.10,0.10,34.84
오후 6:23:51,1.20,1.08,12.00,0.10,0.10,34.06
오후 6:23:52,1.20,1.09,12.00,0.10,0.10,32.46
오후 6:23:53,1.20,1.09,12.00,0.10,0.10,30.51
오후 6:23:54,1.20,1.10,12.00,0.10,0.10,29.62
오후 6:23:55,1.20,1.11,12.00,0.10,0.10,28.55
오후 6:23:56,1.20,1.11,12.00,0.10,0.10,27.31
오후 6:23:57,1.20,1.12,12.00,0.10,0.10,25.84
오후 6:23:58,1.20,1.12,12.00,0.10,0.10,25.05
오후 6:23:59,1.20,1.13,12.00,0.10,0.10,24.53
오후 6:24:00,1.20,1.14,12.00,0.10,0.10,24.02
오후 6:24:01,1.20,1.14,12.00,0.10,0.10,22.87
오후 6:24:02,1.20,1.15,12.00,0.10,0.10,22.57
오후 6:24:03,1.20,1.15,12.00,0.10,0.10,22.29
오후 6:24:04,1.20,1.16,12.00,0.10,0.10,21.70
오후 6:24:05,1.20,1.16,12.00,0.10,0.10,21.46
오후 6:24:06,1.20,1.17,12.00,0.10,0.10,21.63
오후 6:24:07,1.20,1.17,12.00,0.10,0.10,21.63
오후 6:24:08,1.20,1.17,12.00,0.10,0.10,21.06
오후 6:24:09,1.20,1.17,12.00,0.10,0.10,20.49
오후 6:24:10,1.20,1.18,12.00,0.10,0.10,20.10
오후 6:24:11,1.20,1.18,12.00,0.10,0.10,20.01
오후 6:24:12,1.20,1.18,12.00,0.10,0.10,19.21
오후 6:24:13,1.20,1.18,12.00,0.10,0.10,18.78
오후 6:24:14,1.20,1.18,12.00,0.10,0.10,18.43
오후 6:24:15,1.20,1.18,12.00,0.10,0.10,19.31
오후 6:24:16,1.20,1.19,12.00,0.10,0.10,19.43
오후 6:24:17,1.20,1.19,12.00,0.10,0.10,20.10
오후 6:24:18,1.20,1.20,12.00,0.10,0.10,20.24
오후 6:24:19,1.20,1.19,12.00,0.10,0.10,19.04
오후 6:24:20,1.20,1.19,12.00,0.10,0.10,17.84
오후 6:24:21,1.20,1.18,12.00,0.10,0.10,17.54
오후 6:24:22,1.20,1.18,12.00,0.10,0.10,17.12
오후 6:24:23,1.20,1.19,12.00,0.10,0.10,18.44
오후 6:24:24,1.20,1.20,12.00,0.10,0.10,19.24
오후 6:24:25,1.20,1.20,12.00,0.10,0.10,19.91
오후 6:24:26,1.20,1.20,12.00,0.10,0.10,18.47
오후 6:24:27,1.20,1.19,12.00,0.10,0.10,17.44
오후 6:24:28,1.20,1.19,12.00,0.10,0.10,17.13
오후 6:24:29,1.20,1.19,12.00,0.10,0.10,16.66
오후 6:24:30,1.20,1.19,12.00,0.10,0.10,17.41
오후 6:24:31,1.20,1.20,12.00,0.10,0.10,18.64
오후 6:24:32,1.20,1.21,12.00,0.10,0.10,19.54
오후 6:24:33,1.20,1.20,12.00,0.10,0.10,18.39
오후 6:24:34,1.20,1.19,12.00,0.10,0.10,16.93
오후 6:24:35,1.20,1.19,12.00,0.10,0.10,16.66
오후 6:24:36,1.20,1.19,12.00,0.10,0.10,16.26
오후 6:24:37,1.20,1.19,12.00,0.10,0.10,17.49
오후 6:24:38,1.20,1.20,12.00,0.10,0.10,19.05
오후 6:24:39,1.20,1.21,12.00,0.10,0.10,19.54
오후 6:24:40,1.20,1.20,12.00,0.10,0.10,16.92
오후 6:24:41,1.20,1.19,12.00,0.10,0.10,15.17
오후 6:24:42,1.20,1.19,12.00,0.10,0.10,15.81
오후 6:24:43,1.20,1.20,12.00,0.10,0.10,18.84
오후 6:24:44,1.20,1.22,12.00,0.10,0.10,21.07
오후 6:24:45,1.20,1.20,12.00,0.10,0.10,16.51
오후 6:24:46,1.20,1.18,12.00,0.10,0.10,14.58
오후 6:24:47,1.20,1.19,12.00,0.10,0.10,16.12
오후 6:24:48,1.20,1.21,12.00,0.10,0.10,19.74
오후 6:24:49,1.20,1.22,12.00,0.10,0.10,21.36
오후 6:24:50,1.20,1.19,12.00,0.10,0.10,15.01
오후 6:24:51,1.20,1.18,12.00,0.10,0.10,13.74
오후 6:24:52,1.20,1.19,12.00,0.10,0.10,17.49
오후 6:24:53,1.20,1.22,12.00,0.10,0.10,21.00
오후 6:24:54,1.20,1.21,12.00,0.10,0.10,17.87
오후 6:24:55,1.20,1.18,12.00,0.10,0.10,13.31
오후 6:24:56,1.20,1.18,12.00,0.10,0.10,14.18
오후 6:24:57,1.20,1.21,12.00,0.10,0.10,20.55
오후 6:24:58,1.20,1.24,12.00,0.10,0.10,23.55
오후 6:24:59,1.20,1.20,12.00,0.10,0.10,15.56
오후 6:25:00,1.20,1.17,12.00,0.10,0.10,11.96
오후 6:25:01,1.20,1.18,12.00,0.10,0.10,15.86
오후 6:25:02,1.20,1.23,12.00,0.10,0.10,23.72
오후 6:25:03,1.20,1.23,12.00,0.10,0.10,20.74
오후 6:25:04,1.20,1.18,12.00,0.10,0.10,11.74
오후 6:25:05,1.20,1.16,12.00,0.10,0.10,11.76
오후 6:25:06,1.20,1.22,12.00,0.10,0.10,23.15
오후 6:25:07,1.20,1.27,12.00,0.10,0.10,29.38
오후 6:25:08,1.20,1.21,12.00,0.10,0.10,14.99
오후 6:25:09,1.20,1.16,12.00,0.10,0.10,9.20
