Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 6:28:59,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 6:27:23,0.00,0.03,12.00,0.10,0.10,100.00
오후 6:27:24,1.20,0.17,12.00,0.10,0.10,0.00
오후 6:27:25,1.20,0.41,12.00,0.10,0.10,45.23
오후 6:27:26,1.20,0.65,12.00,0.10,0.10,59.27
오후 6:27:27,1.20,0.77,12.00,0.10,0.10,49.10
오후 6:27:28,1.20,0.85,12.00,0.10,0.10,43.85
오후 6:27:29,1.20,0.91,12.00,0.10,0.10,42.64
오후 6:27:30,1.20,0.96,12.00,0.10,0.10,40.69
오후 6:27:31,1.20,1.00,12.00,0.10,0.10,38.58
오후 6:27:32,1.20,1.02,12.00,0.10,0.10,36.71
오후 6:27:33,1.20,1.04,12.00,0.10,0.10,35.11
오후 6:27:34,1.20,1.06,12.00,0.10,0.10,33.51
오후 6:27:35,1.20,1.07,12.00,0.10,0.10,31.70
오후 6:27:36,1.20,1.08,12.00,0.10,0.10,30.75
오후 6:27:37,1.20,1.09,12.00,0.10,0.10,29.16
오후 6:27:38,1.20,1.10,12.00,0.10,0.10,27.75
오후 6:27:39,1.20,1.11,12.00,0.10,0.10,25.97
오후 6:27:40,1.20,1.11,12.00,0.10,0.10,25.52
오후 6:27:41,1.20,1.12,12.00,0.10,0.10,24.90
오후 6:27:42,1.20,1.13,12.00,0.10,0.10,23.94
오후 6:27:43,1.20,1.13,12.00,0.10,0.10,22.89
오후 6:27:44,1.20,1.14,12.00,0.10,0.10,22.28
오후 6:27:45,1.20,1.14,12.00,0.10,0.10,22.09
오후 6:27:46,1.20,1.15,12.00,0.10,0.10,21.18
오후 6:27:47,1.20,1.15,12.00,0.10,0.10,21.02
오후 6:27:48,1.20,1.16,12.00,0.10,0.10,20.87
오후 6:27:49,1.20,1.17,12.00,0.10,0.10,21.02
오후 6:27:50,1.20,1.17,12.00,0.10,0.10,20.88
오후 6:27:51,1.20,1.17,12.00,0.10,0.10,20.21
오후 6:27:52,1.20,1.18,12.00,0.10,0.10,19.66
오후 6:27:53,1.20,1.18,12.00,0.10,0.10,19.49
오후 6:27:54,1.20,1.18,12.00,0.10,0.10,18.72
오후 6:27:55,1.20,1.18,12.00,0.10,0.10,18.48
오후 6:27:56,1.20,1.18,12.00,0.10,0.10,17.87
오후 6:27:57,1.20,1.18,12.00,0.10,0.10,17.76
오후 6:27:58,1.20,1.19,12.00,0.10,0.10,19.35
오후 6:27:59,1.20,1.19,12.00,0.10,0.10,19.62
오후 6:28:00,1.20,1.20,12.00,0.10,0.10,19.57
오후 6:28:01,1.20,1.19,12.00,0.10,0.10,16.90
오후 6:28:02,1.20,1.19,12.00,0.10,0.10,17.37
오후 6:28:03,1.20,1.19,12.00,0.10,0.10,17.29
오후 6:28:04,1.20,1.20,12.00,0.10,0.10,19.96
오후 6:28:05,1.20,1.21,12.00,0.10,0.10,20.60
오후 6:28:06,1.20,1.19,12.00,0.10,0.10,15.47
오후 6:28:07,1.20,1.18,12.00,0.10,0.10,13.65
오후 6:28:08,1.20,1.19,12.00,0.10,0.10,19.26
오후 6:28:09,1.20,1.22,12.00,0.10,0.10,24.72
오후 6:28:10,1.20,1.20,12.00,0.10,0.10,15.49
오후 6:28:11,1.20,1.17,12.00,0.10,0.10,9.16
