Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 3:15:42,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 3:12:48,0.00,0.01,4.00,0.30,0.30,0.00
오후 3:12:49,0.00,0.01,4.00,0.30,0.30,0.00
오후 3:12:50,0.00,0.01,4.00,0.30,0.30,0.00
오후 3:12:51,0.00,0.01,4.00,0.30,0.30,0.00
오후 3:12:52,0.00,0.01,4.00,0.30,0.30,0.00
오후 3:12:53,0.00,0.01,4.00,0.30,0.30,0.06
오후 3:12:54,0.60,0.01,4.00,0.30,0.30,24.60
오후 3:12:55,0.60,0.01,4.00,0.30,0.30,25.98
오후 3:12:56,0.60,0.11,4.00,0.30,0.30,23.01
오후 3:12:57,0.60,0.22,4.00,0.30,0.30,19.89
오후 3:12:58,0.60,0.29,4.00,0.30,0.30,17.83
오후 3:12:59,0.60,0.32,4.00,0.30,0.30,17.14
오후 3:13:00,0.60,0.33,4.00,0.30,0.30,17.23
오후 3:13:01,0.60,0.34,4.00,0.30,0.30,17.46
오후 3:13:02,0.60,0.35,4.00,0.30,0.30,17.93
오후 3:13:03,0.60,0.34,4.00,0.30,0.30,18.61
오후 3:13:04,0.60,0.35,4.00,0.30,0.30,18.86
오후 3:13:05,0.60,0.36,4.00,0.30,0.30,19.05
오후 3:13:06,0.60,0.37,4.00,0.30,0.30,19.16
오후 3:13:07,0.60,0.38,4.00,0.30,0.30,19.13
오후 3:13:08,0.60,0.39,4.00,0.30,0.30,19.31
오후 3:13:09,0.60,0.40,4.00,0.30,0.30,19.44
오후 3:13:10,0.60,0.41,4.00,0.30,0.30,19.60
오후 3:13:11,0.60,0.41,4.00,0.30,0.30,19.74
오후 3:13:12,0.60,0.42,4.00,0.30,0.30,19.85
오후 3:13:13,0.60,0.43,4.00,0.30,0.30,19.93
오후 3:13:14,0.60,0.43,4.00,0.30,0.30,20.07
오후 3:13:15,0.60,0.44,4.00,0.30,0.30,20.24
오후 3:13:16,0.60,0.44,4.00,0.30,0.30,20.34
오후 3:13:17,0.60,0.45,4.00,0.30,0.30,20.49
오후 3:13:18,0.60,0.46,4.00,0.30,0.30,20.51
오후 3:13:19,0.60,0.46,4.00,0.30,0.30,20.62
오후 3:13:20,0.60,0.47,4.00,0.30,0.30,20.72
오후 3:13:21,0.60,0.47,4.00,0.30,0.30,20.78
오후 3:13:22,0.60,0.48,4.00,0.30,0.30,20.88
오후 3:13:23,0.60,0.48,4.00,0.30,0.30,21.06
오후 3:13:24,0.60,0.48,4.00,0.30,0.30,21.13
오후 3:13:25,0.60,0.49,4.00,0.30,0.30,21.24
오후 3:13:26,0.60,0.49,4.00,0.30,0.30,21.35
오후 3:13:27,0.60,0.50,4.00,0.30,0.30,21.40
오후 3:13:28,0.60,0.50,4.00,0.30,0.30,21.48
오후 3:13:29,0.60,0.50,4.00,0.30,0.30,21.50
오후 3:13:30,0.60,0.51,4.00,0.30,0.30,21.58
오후 3:13:31,0.60,0.51,4.00,0.30,0.30,21.68
오후 3:13:32,0.60,0.51,4.00,0.30,0.30,21.84
오후 3:13:33,0.60,0.52,4.00,0.30,0.30,21.86
오후 3:13:34,0.60,0.52,4.00,0.30,0.30,21.85
오후 3:13:35,0.60,0.52,4.00,0.30,0.30,21.91
오후 3:13:36,0.60,0.53,4.00,0.30,0.30,21.98
오후 3:13:37,0.60,0.53,4.00,0.30,0.30,22.07
오후 3:13:38,0.60,0.53,4.00,0.30,0.30,22.15
오후 3:13:39,0.60,0.53,4.00,0.30,0.30,22.30
오후 3:13:40,0.60,0.53,4.00,0.30,0.30,22.40
오후 3:13:41,0.60,0.53,4.00,0.30,0.30,22.45
오후 3:13:42,0.60,0.53,4.00,0.30,0.30,22.55
오후 3:13:43,0.60,0.54,4.00,0.30,0.30,22.58
오후 3:13:44,0.60,0.54,4.00,0.30,0.30,22.60
오후 3:13:45,0.60,0.54,4.00,0.30,0.30,22.66
오후 3:13:46,0.60,0.55,4.00,0.30,0.30,22.63
오후 3:13:47,0.60,0.55,4.00,0.30,0.30,22.71
오후 3:13:48,0.60,0.55,4.00,0.30,0.30,22.75
오후 3:13:49,0.60,0.55,4.00,0.30,0.30,22.82
오후 3:13:50,0.60,0.55,4.00,0.30,0.30,22.79
오후 3:13:51,0.60,0.56,4.00,0.30,0.30,22.78
오후 3:13:52,0.60,0.56,4.00,0.30,0.30,22.82
오후 3:13:53,0.60,0.56,4.00,0.30,0.30,22.83
오후 3:13:54,0.60,0.56,4.00,0.30,0.30,22.92
오후 3:13:55,0.60,0.56,4.00,0.30,0.30,22.96
오후 3:13:56,0.60,0.56,4.00,0.30,0.30,22.94
