Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 3:02:50,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 3:01:33,0.00,0.01,4.00,0.00,0.00,0.00
오후 3:01:34,0.60,0.01,4.00,0.00,0.00,23.57
오후 3:01:35,0.60,0.01,4.00,0.00,0.00,23.56
오후 3:01:36,0.60,0.11,4.00,0.00,0.00,19.79
오후 3:01:37,0.60,0.20,4.00,0.00,0.00,16.01
오후 3:01:38,0.60,0.25,4.00,0.00,0.00,13.88
오후 3:01:39,0.60,0.27,4.00,0.00,0.00,13.28
오후 3:01:40,0.60,0.26,4.00,0.00,0.00,13.60
오후 3:01:41,0.60,0.25,4.00,0.00,0.00,14.15
오후 3:01:42,0.60,0.23,4.00,0.00,0.00,14.63
오후 3:01:43,0.60,0.23,4.00,0.00,0.00,14.97
오후 3:01:44,0.60,0.22,4.00,0.00,0.00,15.08
오후 3:01:45,0.60,0.23,4.00,0.00,0.00,14.91
오후 3:01:46,0.60,0.23,4.00,0.00,0.00,14.69
오후 3:01:47,0.60,0.23,4.00,0.00,0.00,14.65
오후 3:01:48,0.60,0.24,4.00,0.00,0.00,14.55
오후 3:01:49,0.60,0.23,4.00,0.00,0.00,14.69
오후 3:01:50,0.60,0.23,4.00,0.00,0.00,14.82
오후 3:01:51,0.60,0.23,4.00,0.00,0.00,14.99
오후 3:01:52,0.60,0.23,4.00,0.00,0.00,14.99
오후 3:01:53,0.60,0.23,4.00,0.00,0.00,14.91
오후 3:01:54,0.60,0.23,4.00,0.00,0.00,14.74
오후 3:01:55,0.60,0.23,4.00,0.00,0.00,14.67
오후 3:01:56,0.60,0.24,4.00,0.00,0.00,14.55
오후 3:01:57,0.60,0.23,4.00,0.00,0.00,14.69
오후 3:01:58,0.60,0.23,4.00,0.00,0.00,14.83
오후 3:01:59,0.60,0.23,4.00,0.00,0.00,14.89
오후 3:02:00,0.60,0.23,4.00,0.00,0.00,14.94
오후 3:02:01,0.60,0.23,4.00,0.00,0.00,14.82
오후 3:02:02,0.60,0.23,4.00,0.00,0.00,14.84
오후 3:02:03,0.60,0.23,4.00,0.00,0.00,14.69
오후 3:02:04,0.60,0.23,4.00,0.00,0.00,14.62
오후 3:02:05,0.60,0.24,4.00,0.00,0.00,14.59
오후 3:02:06,0.60,0.23,4.00,0.00,0.00,14.74
오후 3:02:07,0.60,0.23,4.00,0.00,0.00,14.85
오후 3:02:08,0.60,0.23,4.00,0.00,0.00,14.93
오후 3:02:09,0.60,0.23,4.00,0.00,0.00,14.93
오후 3:02:10,0.60,0.23,4.00,0.00,0.00,14.80
오후 3:02:11,0.60,0.23,4.00,0.00,0.00,14.70
오후 3:02:12,0.60,0.23,4.00,0.00,0.00,14.63
오후 3:02:13,0.60,0.24,4.00,0.00,0.00,14.57
오후 3:02:14,0.60,0.23,4.00,0.00,0.00,14.70
오후 3:02:15,0.60,0.23,4.00,0.00,0.00,14.85
오후 3:02:16,0.60,0.23,4.00,0.00,0.00,14.91
오후 3:02:17,0.60,0.23,4.00,0.00,0.00,14.89
오후 3:02:18,0.60,0.23,4.00,0.00,0.00,14.79
오후 3:02:19,0.60,0.23,4.00,0.00,0.00,14.76
오후 3:02:20,0.60,0.23,4.00,0.00,0.00,14.63
오후 3:02:21,0.60,0.24,4.00,0.00,0.00,14.60
오후 3:02:22,0.60,0.23,4.00,0.00,0.00,14.70
오후 3:02:23,0.60,0.23,4.00,0.00,0.00,14.82
오후 3:02:24,0.60,0.23,4.00,0.00,0.00,14.85
오후 3:02:25,0.60,0.23,4.00,0.00,0.00,14.86
오후 3:02:26,0.60,0.23,4.00,0.00,0.00,14.87
오후 3:02:27,0.60,0.23,4.00,0.00,0.00,14.92
오후 3:02:28,0.60,0.23,4.00,0.00,0.00,14.79
오후 3:02:29,0.60,0.23,4.00,0.00,0.00,14.86
오후 3:02:30,0.60,0.23,4.00,0.00,0.00,14.77
오후 3:02:31,0.60,0.23,4.00,0.00,0.00,14.83
오후 3:02:32,0.60,0.23,4.00,0.00,0.00,14.86
오후 3:02:33,0.60,0.23,4.00,0.00,0.00,14.92
오후 3:02:34,0.60,0.22,4.00,0.00,0.00,15.01
오후 3:02:35,0.60,0.22,4.00,0.00,0.00,15.00
오후 3:02:36,0.60,0.22,4.00,0.00,0.00,15.01
오후 3:02:37,0.60,0.22,4.00,0.00,0.00,15.01
오후 3:02:38,0.60,0.23,4.00,0.00,0.00,15.00
오후 3:02:39,0.60,0.23,4.00,0.00,0.00,14.94
오후 3:02:40,0.60,0.23,4.00,0.00,0.00,14.87
오후 3:02:41,0.60,0.23,4.00,0.00,0.00,14.79
오후 3:02:42,0.60,0.23,4.00,0.00,0.00,14.73
오후 3:02:43,0.60,0.23,4.00,0.00,0.00,14.62
오후 3:02:44,0.60,0.23,4.00,0.00,0.00,14.70
오후 3:02:45,0.60,0.23,4.00,0.00,0.00,14.70
오후 3:02:46,0.60,0.23,4.00,0.00,0.00,14.69
오후 3:02:47,0.60,0.23,4.00,0.00,0.00,14.76
오후 3:02:48,0.60,0.23,4.00,0.00,0.00,14.68
오후 3:02:49,0.60,0.23,4.00,0.00,0.00,14.66
오후 3:02:50,0.60,0.24,4.00,0.00,0.00,14.59
