Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 6:23:08,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 6:20:12,1.20,1.12,8.00,0.30,0.30,29.36
오후 6:20:13,1.20,1.12,8.00,0.30,0.30,28.83
오후 6:20:14,1.20,1.12,8.00,0.30,0.30,28.67
오후 6:20:15,1.20,1.13,8.00,0.30,0.30,28.69
오후 6:20:16,1.20,1.12,8.00,0.30,0.30,27.74
오후 6:20:17,1.20,1.12,8.00,0.30,0.30,27.51
오후 6:20:18,1.20,1.13,8.00,0.30,0.30,28.04
오후 6:20:19,1.20,1.13,8.00,0.30,0.30,27.99
오후 6:20:20,1.20,1.13,8.00,0.30,0.30,28.00
오후 6:20:21,1.20,1.14,8.00,0.30,0.30,27.47
오후 6:20:22,1.20,1.14,8.00,0.30,0.30,26.94
오후 6:20:23,1.20,1.14,8.00,0.30,0.30,27.04
오후 6:20:24,1.20,1.14,8.00,0.30,0.30,26.41
오후 6:20:25,1.20,1.14,8.00,0.30,0.30,25.98
오후 6:20:26,1.20,1.14,8.00,0.30,0.30,26.24
오후 6:20:27,1.20,1.14,8.00,0.30,0.30,25.69
오후 6:20:28,1.20,1.13,8.00,0.30,0.30,24.80
오후 6:20:29,1.20,1.14,8.00,0.30,0.30,25.66
오후 6:20:30,1.20,1.14,8.00,0.30,0.30,25.58
오후 6:20:31,1.20,1.14,8.00,0.30,0.30,25.39
오후 6:20:32,1.20,1.14,8.00,0.30,0.30,25.05
오후 6:20:33,1.20,1.15,8.00,0.30,0.30,25.03
오후 6:20:34,1.20,1.15,8.00,0.30,0.30,24.77
오후 6:20:35,1.20,1.15,8.00,0.30,0.30,24.79
오후 6:20:36,1.20,1.15,8.00,0.30,0.30,24.06
오후 6:20:37,1.20,1.15,8.00,0.30,0.30,24.24
오후 6:20:38,1.20,1.15,8.00,0.30,0.30,23.93
오후 6:20:39,1.20,1.15,8.00,0.30,0.30,24.57
오후 6:20:40,1.20,1.15,8.00,0.30,0.30,23.73
오후 6:20:41,1.20,1.15,8.00,0.30,0.30,23.56
오후 6:20:42,1.20,1.15,8.00,0.30,0.30,23.70
오후 6:20:43,1.20,1.15,8.00,0.30,0.30,22.64
오후 6:20:44,1.20,1.15,8.00,0.30,0.30,23.39
오후 6:20:45,1.20,1.15,8.00,0.30,0.30,22.79
오후 6:20:46,1.20,1.16,8.00,0.30,0.30,22.90
오후 6:20:47,1.20,1.16,8.00,0.30,0.30,22.68
오후 6:20:48,1.20,1.16,8.00,0.30,0.30,23.04
오후 6:20:49,1.20,1.16,8.00,0.30,0.30,23.03
오후 6:20:50,1.20,1.16,8.00,0.30,0.30,22.15
오후 6:20:51,1.20,1.16,8.00,0.30,0.30,22.25
오후 6:20:52,1.20,1.16,8.00,0.30,0.30,22.50
오후 6:20:53,1.20,1.16,8.00,0.30,0.30,21.51
오후 6:20:54,1.20,1.16,8.00,0.30,0.30,22.01
오후 6:20:55,1.20,1.16,8.00,0.30,0.30,21.51
오후 6:20:56,1.20,1.16,8.00,0.30,0.30,21.42
오후 6:20:57,1.20,1.16,8.00,0.30,0.30,21.06
오후 6:20:58,1.20,1.16,8.00,0.30,0.30,21.12
오후 6:20:59,1.20,1.16,8.00,0.30,0.30,21.71
오후 6:21:00,1.20,1.17,8.00,0.30,0.30,21.72
오후 6:21:01,1.20,1.17,8.00,0.30,0.30,22.01
오후 6:21:02,1.20,1.17,8.00,0.30,0.30,21.05
오후 6:21:03,1.20,1.17,8.00,0.30,0.30,20.65
오후 6:21:04,1.20,1.17,8.00,0.30,0.30,20.36
오후 6:21:05,1.20,1.16,8.00,0.30,0.30,19.70
오후 6:21:06,1.20,1.16,8.00,0.30,0.30,20.22
오후 6:21:07,1.20,1.16,8.00,0.30,0.30,19.65
오후 6:21:08,1.20,1.16,8.00,0.30,0.30,19.74
오후 6:21:09,1.20,1.17,8.00,0.30,0.30,20.30
오후 6:21:10,1.20,1.17,8.00,0.30,0.30,20.36
오후 6:21:11,1.20,1.18,8.00,0.30,0.30,21.22
오후 6:21:12,1.20,1.18,8.00,0.30,0.30,21.00
오후 6:21:13,1.20,1.17,8.00,0.30,0.30,19.34
오후 6:21:14,1.20,1.17,8.00,0.30,0.30,18.46
오후 6:21:15,1.20,1.17,8.00,0.30,0.30,18.49
오후 6:21:16,1.20,1.17,8.00,0.30,0.30,20.32
오후 6:21:17,1.20,1.18,8.00,0.30,0.30,21.07
오후 6:21:18,1.20,1.18,8.00,0.30,0.30,20.04
오후 6:21:19,1.20,1.18,8.00,0.30,0.30,18.59
오후 6:21:20,1.20,1.17,8.00,0.30,0.30,18.83
오후 6:21:21,1.20,1.17,8.00,0.30,0.30,18.58
오후 6:21:22,1.20,1.17,8.00,0.30,0.30,17.98
오후 6:21:23,1.20,1.17,8.00,0.30,0.30,19.59
오후 6:21:24,1.20,1.18,8.00,0.30,0.30,19.78
오후 6:21:25,1.20,1.19,8.00,0.30,0.30,20.51
오후 6:21:26,1.20,1.19,8.00,0.30,0.30,19.28
오후 6:21:27,1.20,1.18,8.00,0.30,0.30,17.52
오후 6:21:28,1.20,1.17,8.00,0.30,0.30,17.80
오후 6:21:29,1.20,1.17,8.00,0.30,0.30,18.47
오후 6:21:30,1.20,1.19,8.00,0.30,0.30,20.46
오후 6:21:31,1.20,1.19,8.00,0.30,0.30,20.58
오후 6:21:32,1.20,1.18,8.00,0.30,0.30,16.80
오후 6:21:33,1.20,1.17,8.00,0.30,0.30,15.57
오후 6:21:34,1.20,1.18,8.00,0.30,0.30,19.69
오후 6:21:35,1.20,1.19,8.00,0.30,0.30,21.66
오후 6:21:36,1.20,1.18,8.00,0.30,0.30,16.81
오후 6:21:37,1.20,1.17,8.00,0.30,0.30,15.88
오후 6:21:38,1.20,1.18,8.00,0.30,0.30,18.77
오후 6:21:39,1.20,1.19,8.00,0.30,0.30,20.88
오후 6:21:40,1.20,1.19,8.00,0.30,0.30,18.61
오후 6:21:41,1.20,1.18,8.00,0.30,0.30,15.39
오후 6:21:42,1.20,1.17,8.00,0.30,0.30,15.60
오후 6:21:43,1.20,1.19,8.00,0.30,0.30,21.64
오후 6:21:44,1.20,1.21,8.00,0.30,0.30,22.22
오후 6:21:45,1.20,1.18,8.00,0.30,0.30,13.91
오후 6:21:46,1.20,1.16,8.00,0.30,0.30,12.92
오후 6:21:47,1.20,1.19,8.00,0.30,0.30,23.18
오후 6:21:48,1.20,1.22,8.00,0.30,0.30,25.36
오후 6:21:49,1.20,1.18,8.00,0.30,0.30,11.66
오후 6:21:50,1.20,1.16,8.00,0.30,0.30,11.89
오후 6:21:51,1.20,1.22,8.00,0.30,0.30,29.68
오후 6:21:52,1.20,1.28,8.00,0.30,0.30,34.09
오후 6:21:53,1.20,1.20,8.00,0.30,0.30,6.42
오후 6:21:54,1.20,1.15,8.00,0.30,0.30,7.80
오후 6:21:55,1.20,1.23,8.00,0.30,0.30,34.28
오후 6:21:56,1.20,1.32,8.00,0.30,0.30,40.31
오후 6:21:57,1.20,1.22,8.00,0.30,0.30,7.90
오후 6:21:58,1.20,1.15,8.00,0.30,0.30,4.88
오후 6:21:59,1.20,1.23,8.00,0.30,0.30,33.32
오후 6:22:00,1.20,1.31,8.00,0.30,0.30,40.40
오후 6:22:01,1.20,1.22,8.00,0.30,0.30,9.02
오후 6:22:02,1.20,1.15,8.00,0.30,0.30,4.98
오후 6:22:03,1.20,1.23,8.00,0.30,0.30,33.84
오후 6:22:04,1.20,1.31,8.00,0.30,0.30,40.36
오후 6:22:05,1.20,1.22,8.00,0.30,0.30,9.12
오후 6:22:06,1.20,1.14,8.00,0.30,0.30,5.47
오후 6:22:07,1.20,1.23,8.00,0.30,0.30,34.27
오후 6:22:08,1.20,1.31,8.00,0.30,0.30,40.69
오후 6:22:09,1.20,1.21,8.00,0.30,0.30,9.07
오후 6:22:10,1.20,1.14,8.00,0.30,0.30,6.03
오후 6:22:11,1.20,1.22,8.00,0.30,0.30,34.35
오후 6:22:12,1.20,1.31,8.00,0.30,0.30,41.25
오후 6:22:13,1.20,1.21,8.00,0.30,0.30,8.82
오후 6:22:14,1.20,1.14,8.00,0.30,0.30,6.41
오후 6:22:15,1.20,1.22,8.00,0.30,0.30,34.50
오후 6:22:16,1.20,1.30,8.00,0.30,0.30,41.46
오후 6:22:17,1.20,1.21,8.00,0.30,0.30,8.94
오후 6:22:18,1.20,1.14,8.00,0.30,0.30,6.74
오후 6:22:19,1.20,1.22,8.00,0.30,0.30,34.72
오후 6:22:20,1.20,1.30,8.00,0.30,0.30,41.89
오후 6:22:21,1.20,1.21,8.00,0.30,0.30,8.97
오후 6:22:22,1.20,1.14,8.00,0.30,0.30,6.97
오후 6:22:23,1.20,1.22,8.00,0.30,0.30,34.87
오후 6:22:24,1.20,1.30,8.00,0.30,0.30,41.76
오후 6:22:25,1.20,1.21,8.00,0.30,0.30,9.24
오후 6:22:26,1.20,1.14,8.00,0.30,0.30,7.04
오후 6:22:27,1.20,1.22,8.00,0.30,0.30,35.18
오후 6:22:28,1.20,1.30,8.00,0.30,0.30,42.54
오후 6:22:29,1.20,1.20,8.00,0.30,0.30,9.02
오후 6:22:30,1.20,1.14,8.00,0.30,0.30,7.62
오후 6:22:31,1.20,1.22,8.00,0.30,0.30,34.89
오후 6:22:32,1.20,1.30,8.00,0.30,0.30,42.71
오후 6:22:33,1.20,1.20,8.00,0.30,0.30,8.73
오후 6:22:34,1.20,1.13,8.00,0.30,0.30,7.89
오후 6:22:35,1.20,1.22,8.00,0.30,0.30,35.62
오후 6:22:36,1.20,1.30,8.00,0.30,0.30,42.50
오후 6:22:37,1.20,1.20,8.00,0.30,0.30,8.95
오후 6:22:38,1.20,1.13,8.00,0.30,0.30,8.10
오후 6:22:39,1.20,1.21,8.00,0.30,0.30,35.46
오후 6:22:40,1.20,1.30,8.00,0.30,0.30,43.17
오후 6:22:41,1.20,1.20,8.00,0.30,0.30,8.63
오후 6:22:42,1.20,1.13,8.00,0.30,0.30,8.22
오후 6:22:43,1.20,1.21,8.00,0.30,0.30,35.56
오후 6:22:44,1.20,1.30,8.00,0.30,0.30,43.24
오후 6:22:45,1.20,1.20,8.00,0.30,0.30,9.00
오후 6:22:46,1.20,1.13,8.00,0.30,0.30,8.42
오후 6:22:47,1.20,1.21,8.00,0.30,0.30,35.60
