Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 4:38:18,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 4:33:32,0.00,0.03,4.00,0.20,0.20,100.00
오후 4:33:33,0.00,0.03,4.00,0.20,0.20,100.00
오후 4:33:34,1.20,0.16,4.00,0.20,0.20,55.35
오후 4:33:35,1.20,0.44,4.00,0.20,0.20,63.89
오후 4:33:36,1.20,0.68,4.00,0.20,0.20,71.14
오후 4:33:37,1.20,0.87,4.00,0.20,0.20,77.25
오후 4:33:38,1.20,1.02,4.00,0.20,0.20,82.34
오후 4:33:39,1.20,1.13,4.00,0.20,0.20,86.37
오후 4:33:40,1.20,1.21,4.00,0.20,0.20,89.64
오후 4:33:41,1.20,1.27,4.00,0.20,0.20,92.24
오후 4:33:42,1.20,1.32,4.00,0.20,0.20,94.28
오후 4:33:43,1.20,1.34,4.00,0.20,0.20,95.85
오후 4:33:44,1.20,1.36,4.00,0.20,0.20,97.17
오후 4:33:45,1.20,1.38,4.00,0.20,0.20,98.25
오후 4:33:46,1.20,1.39,4.00,0.20,0.20,99.33
오후 4:33:47,1.20,1.40,4.00,0.20,0.20,100.00
오후 4:33:48,1.20,1.36,4.00,0.20,0.20,99.33
오후 4:33:49,1.20,1.32,4.00,0.20,0.20,97.96
오후 4:33:50,1.20,1.28,4.00,0.20,0.20,96.93
오후 4:33:51,1.20,1.26,4.00,0.20,0.20,96.12
오후 4:33:52,1.20,1.24,4.00,0.20,0.20,95.59
오후 4:33:53,1.20,1.23,4.00,0.20,0.20,95.14
오후 4:33:54,1.20,1.21,4.00,0.20,0.20,94.72
오후 4:33:55,1.20,1.21,4.00,0.20,0.20,94.48
오후 4:33:56,1.20,1.20,4.00,0.20,0.20,94.09
오후 4:33:57,1.20,1.19,4.00,0.20,0.20,93.78
오후 4:33:58,1.20,1.18,4.00,0.20,0.20,93.47
오후 4:33:59,1.20,1.18,4.00,0.20,0.20,93.19
오후 4:34:00,1.20,1.17,4.00,0.20,0.20,92.88
오후 4:34:01,1.20,1.17,4.00,0.20,0.20,92.51
오후 4:34:02,1.20,1.16,4.00,0.20,0.20,92.24
오후 4:34:03,1.20,1.16,4.00,0.20,0.20,91.86
오후 4:34:04,1.20,1.15,4.00,0.20,0.20,91.57
오후 4:34:05,1.20,1.15,4.00,0.20,0.20,91.21
오후 4:34:06,1.20,1.14,4.00,0.20,0.20,90.90
오후 4:34:07,1.20,1.14,4.00,0.20,0.20,90.50
오후 4:34:08,1.20,1.14,4.00,0.20,0.20,90.19
오후 4:34:09,1.20,1.13,4.00,0.20,0.20,89.84
오후 4:34:10,1.20,1.13,4.00,0.20,0.20,89.42
오후 4:34:11,1.20,1.13,4.00,0.20,0.20,89.05
오후 4:34:12,1.20,1.12,4.00,0.20,0.20,88.74
오후 4:34:13,1.20,1.12,4.00,0.20,0.20,88.33
오후 4:34:14,1.20,1.12,4.00,0.20,0.20,88.05
오후 4:34:15,1.20,1.12,4.00,0.20,0.20,87.66
오후 4:34:16,1.20,1.11,4.00,0.20,0.20,87.28
오후 4:34:17,1.20,1.11,4.00,0.20,0.20,86.88
오후 4:34:18,1.20,1.11,4.00,0.20,0.20,86.54
오후 4:34:19,1.20,1.11,4.00,0.20,0.20,86.13
오후 4:34:20,1.20,1.11,4.00,0.20,0.20,85.71
오후 4:34:21,1.20,1.11,4.00,0.20,0.20,85.39
오후 4:34:22,1.20,1.10,4.00,0.20,0.20,84.93
