Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 4:25:03,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 4:24:06,0.00,0.03,4.00,0.00,0.00,100.00
오후 4:24:07,0.00,0.03,4.00,0.00,0.00,100.00
오후 4:24:08,0.00,0.03,4.00,0.00,0.00,100.00
오후 4:24:09,0.00,0.03,4.00,0.00,0.00,100.00
오후 4:24:10,0.00,0.03,4.00,0.00,0.00,100.00
오후 4:24:11,0.00,0.03,4.00,0.00,0.00,100.00
오후 4:24:12,1.20,0.03,4.00,0.00,0.00,53.31
오후 4:24:13,1.20,0.03,4.00,0.00,0.00,53.26
오후 4:24:14,1.20,0.10,4.00,0.00,0.00,55.98
오후 4:24:15,1.20,0.36,4.00,0.00,0.00,66.47
오후 4:24:16,1.20,0.55,4.00,0.00,0.00,73.84
오후 4:24:17,1.20,0.68,4.00,0.00,0.00,79.26
오후 4:24:18,1.20,0.78,4.00,0.00,0.00,83.31
오후 4:24:19,1.20,0.86,4.00,0.00,0.00,86.28
오후 4:24:20,1.20,0.91,4.00,0.00,0.00,88.42
오후 4:24:21,1.20,0.95,4.00,0.00,0.00,89.98
오후 4:24:22,1.20,0.98,4.00,0.00,0.00,91.11
오후 4:24:23,1.20,1.00,4.00,0.00,0.00,91.86
오후 4:24:24,1.20,1.01,4.00,0.00,0.00,92.43
오후 4:24:25,1.20,1.02,4.00,0.00,0.00,92.93
오후 4:24:26,1.20,1.03,4.00,0.00,0.00,93.15
오후 4:24:27,1.20,1.04,4.00,0.00,0.00,93.50
오후 4:24:28,1.20,1.04,4.00,0.00,0.00,93.61
오후 4:24:29,1.20,1.04,4.00,0.00,0.00,93.74
오후 4:24:30,1.20,1.05,4.00,0.00,0.00,93.84
오후 4:24:31,1.20,1.05,4.00,0.00,0.00,93.84
오후 4:24:32,1.20,1.05,4.00,0.00,0.00,93.94
오후 4:24:33,1.20,1.05,4.00,0.00,0.00,93.95
오후 4:24:34,1.20,1.05,4.00,0.00,0.00,94.01
오후 4:24:35,1.20,1.05,4.00,0.00,0.00,94.05
오후 4:24:36,1.20,1.05,4.00,0.00,0.00,94.05
오후 4:24:37,1.20,1.05,4.00,0.00,0.00,94.04
오후 4:24:38,1.20,1.05,4.00,0.00,0.00,94.09
오후 4:24:39,1.20,1.05,4.00,0.00,0.00,94.06
오후 4:24:40,1.20,1.05,4.00,0.00,0.00,94.08
오후 4:24:41,1.20,1.05,4.00,0.00,0.00,94.05
오후 4:24:42,1.20,1.05,4.00,0.00,0.00,94.04
오후 4:24:43,1.20,1.05,4.00,0.00,0.00,94.09
오후 4:24:44,1.20,1.05,4.00,0.00,0.00,94.06
오후 4:24:45,1.20,1.05,4.00,0.00,0.00,94.03
오후 4:24:46,1.20,1.05,4.00,0.00,0.00,94.00
오후 4:24:47,1.20,1.05,4.00,0.00,0.00,94.05
오후 4:24:48,1.20,1.05,4.00,0.00,0.00,94.03
오후 4:24:49,1.20,1.05,4.00,0.00,0.00,94.00
오후 4:24:50,1.20,1.05,4.00,0.00,0.00,94.05
오후 4:24:51,1.20,1.05,4.00,0.00,0.00,94.04
오후 4:24:52,1.20,1.05,4.00,0.00,0.00,93.99
오후 4:24:53,1.20,1.05,4.00,0.00,0.00,94.03
오후 4:24:54,1.20,1.05,4.00,0.00,0.00,94.09
오후 4:24:55,1.20,1.05,4.00,0.00,0.00,93.99
오후 4:24:56,1.20,1.05,4.00,0.00,0.00,94.01
오후 4:24:57,1.20,1.05,4.00,0.00,0.00,94.00
오후 4:24:58,1.20,1.05,4.00,0.00,0.00,94.02
오후 4:24:59,1.20,1.05,4.00,0.00,0.00,93.96
오후 4:25:00,1.20,1.05,4.00,0.00,0.00,94.00
오후 4:25:01,1.20,1.05,4.00,0.00,0.00,94.03
오후 4:25:02,1.20,1.05,4.00,0.00,0.00,94.04
