t,tank1,tank2,tank3
0,0.26,0.33,0.3
0.5,0.31,0.29,0.29
1,0.39,0.3,0.28
1.5,0.5,0.32,0.28
2,0.58,0.35,0.28
2.5,0.64,0.38,0.29
3,0.7,0.42,0.3
3.5,0.76,0.46,0.31
4,0.82,0.5,0.32
4.5,0.87,0.55,0.34
5,0.91,0.59,0.36
5.5,0.96,0.63,0.39
6,0.99,0.68,0.41
7,1.06,0.78,0.48
8,1.12,0.85,0.54
9,1.16,0.92,0.6
10,1.19,0.98,0.66
11,1.22,1.04,0.73
12,1.24,1.08,0.79
13,1.26,1.13,0.85
14,1.28,1.17,0.91
15,1.29,1.2,0.95
16,1.3,1.23,1.01
17,1.31,1.25,1.05
18,1.31,1.27,1.09
19,1.32,1.29,1.13
20,1.32,1.3,1.16
21,1.33,1.32,1.19
22,1.33,1.33,1.21
23,1.33,1.34,1.23
24,1.34,1.34,1.26
25,1.34,1.35,1.27
26,1.34,1.36,1.29
27,1.34,1.36,1.3
28,1.34,1.36,1.31
29,1.34,1.37,1.32
30,1.34,1.37,1.33
31,1.34,1.37,1.34
32,1.34,1.37,1.34
33,1.34,1.38,1.35
34,1.34,1.38,1.36
35,1.34,1.38,1.36
36,1.34,1.38,1.36
