Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 4:18:56,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 4:18:01,0.00,0.01,8.00,0.20,0.20,0.00
오후 4:18:02,0.60,0.01,8.00,0.20,0.20,49.92
오후 4:18:03,0.60,0.01,8.00,0.20,0.20,53.96
오후 4:18:04,0.60,0.18,8.00,0.20,0.20,35.91
오후 4:18:05,0.60,0.35,8.00,0.20,0.20,24.50
오후 4:18:06,0.60,0.44,8.00,0.20,0.20,22.44
오후 4:18:07,0.60,0.47,8.00,0.20,0.20,24.08
오후 4:18:08,0.60,0.48,8.00,0.20,0.20,24.35
오후 4:18:09,0.60,0.49,8.00,0.20,0.20,24.44
오후 4:18:10,0.60,0.51,8.00,0.20,0.20,23.31
오후 4:18:11,0.60,0.53,8.00,0.20,0.20,22.92
오후 4:18:12,0.60,0.54,8.00,0.20,0.20,22.24
오후 4:18:13,0.60,0.55,8.00,0.20,0.20,22.08
오후 4:18:14,0.60,0.56,8.00,0.20,0.20,21.81
오후 4:18:15,0.60,0.56,8.00,0.20,0.20,22.57
오후 4:18:16,0.60,0.55,8.00,0.20,0.20,23.12
오후 4:18:17,0.60,0.55,8.00,0.20,0.20,23.82
오후 4:18:18,0.60,0.55,8.00,0.20,0.20,23.48
오후 4:18:19,0.60,0.56,8.00,0.20,0.20,23.38
오후 4:18:20,0.60,0.56,8.00,0.20,0.20,23.06
오후 4:18:21,0.60,0.57,8.00,0.20,0.20,23.17
오후 4:18:22,0.60,0.57,8.00,0.20,0.20,23.03
오후 4:18:23,0.60,0.57,8.00,0.20,0.20,23.27
오후 4:18:24,0.60,0.58,8.00,0.20,0.20,23.11
오후 4:18:25,0.60,0.58,8.00,0.20,0.20,23.01
오후 4:18:26,0.60,0.58,8.00,0.20,0.20,23.18
오후 4:18:27,0.60,0.58,8.00,0.20,0.20,23.34
오후 4:18:28,0.60,0.58,8.00,0.20,0.20,23.78
오후 4:18:29,0.60,0.58,8.00,0.20,0.20,23.76
오후 4:18:30,0.60,0.58,8.00,0.20,0.20,24.27
오후 4:18:31,0.60,0.58,8.00,0.20,0.20,23.81
오후 4:18:32,0.60,0.58,8.00,0.20,0.20,23.88
오후 4:18:33,0.60,0.59,8.00,0.20,0.20,23.27
오후 4:18:34,0.60,0.59,8.00,0.20,0.20,23.34
오후 4:18:35,0.60,0.59,8.00,0.20,0.20,23.28
오후 4:18:36,0.60,0.59,8.00,0.20,0.20,23.25
오후 4:18:37,0.60,0.59,8.00,0.20,0.20,23.17
오후 4:18:38,0.60,0.60,8.00,0.20,0.20,23.05
오후 4:18:39,0.60,0.60,8.00,0.20,0.20,23.13
오후 4:18:40,0.60,0.60,8.00,0.20,0.20,23.10
오후 4:18:41,0.60,0.60,8.00,0.20,0.20,23.06
오후 4:18:42,0.60,0.60,8.00,0.20,0.20,23.44
오후 4:18:43,0.60,0.59,8.00,0.20,0.20,24.22
오후 4:18:44,0.60,0.59,8.00,0.20,0.20,24.11
오후 4:18:45,0.60,0.59,8.00,0.20,0.20,23.92
오후 4:18:46,0.60,0.59,8.00,0.20,0.20,23.59
오후 4:18:47,0.60,0.60,8.00,0.20,0.20,23.50
오후 4:18:48,0.60,0.60,8.00,0.20,0.20,23.07
오후 4:18:49,0.60,0.60,8.00,0.20,0.20,23.01
오후 4:18:50,0.60,0.60,8.00,0.20,0.20,22.97
오후 4:18:51,0.60,0.61,8.00,0.20,0.20,22.45
오후 4:18:52,0.60,0.61,8.00,0.20,0.20,22.60
오후 4:18:53,0.60,0.60,8.00,0.20,0.20,22.86
오후 4:18:54,0.60,0.60,8.00,0.20,0.20,23.35
오후 4:18:55,0.60,0.59,8.00,0.20,0.20,23.90
