Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 3:18:40,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 3:17:44,0.00,0.01,8.00,0.20,0.20,0.00
오후 3:17:45,0.60,0.01,8.00,0.20,0.20,50.05
오후 3:17:46,0.60,0.01,8.00,0.20,0.20,53.92
오후 3:17:47,0.60,0.19,8.00,0.20,0.20,43.35
오후 3:17:48,0.60,0.36,8.00,0.20,0.20,31.95
오후 3:17:49,0.60,0.47,8.00,0.20,0.20,24.37
오후 3:17:50,0.60,0.52,8.00,0.20,0.20,21.05
오후 3:17:51,0.60,0.53,8.00,0.20,0.20,20.30
오후 3:17:52,0.60,0.53,8.00,0.20,0.20,21.00
오후 3:17:53,0.60,0.53,8.00,0.20,0.20,21.63
오후 3:17:54,0.60,0.52,8.00,0.20,0.20,22.53
오후 3:17:55,0.60,0.52,8.00,0.20,0.20,23.08
오후 3:17:56,0.60,0.53,8.00,0.20,0.20,22.94
오후 3:17:57,0.60,0.54,8.00,0.20,0.20,22.70
오후 3:17:58,0.60,0.55,8.00,0.20,0.20,22.44
오후 3:17:59,0.60,0.55,8.00,0.20,0.20,22.52
오후 3:18:00,0.60,0.55,8.00,0.20,0.20,22.54
오후 3:18:01,0.60,0.55,8.00,0.20,0.20,22.75
오후 3:18:02,0.60,0.56,8.00,0.20,0.20,22.91
오후 3:18:03,0.60,0.56,8.00,0.20,0.20,23.04
오후 3:18:04,0.60,0.56,8.00,0.20,0.20,22.87
오후 3:18:05,0.60,0.57,8.00,0.20,0.20,22.97
오후 3:18:06,0.60,0.57,8.00,0.20,0.20,22.89
오후 3:18:07,0.60,0.57,8.00,0.20,0.20,22.95
오후 3:18:08,0.60,0.57,8.00,0.20,0.20,22.98
오후 3:18:09,0.60,0.57,8.00,0.20,0.20,22.99
오후 3:18:10,0.60,0.57,8.00,0.20,0.20,23.23
오후 3:18:11,0.60,0.58,8.00,0.20,0.20,23.29
오후 3:18:12,0.60,0.58,8.00,0.20,0.20,23.36
오후 3:18:13,0.60,0.58,8.00,0.20,0.20,23.29
오후 3:18:14,0.60,0.58,8.00,0.20,0.20,23.32
오후 3:18:15,0.60,0.58,8.00,0.20,0.20,23.22
오후 3:18:16,0.60,0.58,8.00,0.20,0.20,23.42
오후 3:18:17,0.60,0.58,8.00,0.20,0.20,23.39
오후 3:18:18,0.60,0.59,8.00,0.20,0.20,23.38
오후 3:18:19,0.60,0.59,8.00,0.20,0.20,23.42
오후 3:18:20,0.60,0.59,8.00,0.20,0.20,23.36
오후 3:18:21,0.60,0.59,8.00,0.20,0.20,23.47
오후 3:18:22,0.60,0.59,8.00,0.20,0.20,23.52
오후 3:18:23,0.60,0.59,8.00,0.20,0.20,23.52
오후 3:18:24,0.60,0.59,8.00,0.20,0.20,23.72
오후 3:18:25,0.60,0.59,8.00,0.20,0.20,23.69
오후 3:18:26,0.60,0.59,8.00,0.20,0.20,23.61
오후 3:18:27,0.60,0.59,8.00,0.20,0.20,23.49
오후 3:18:28,0.60,0.59,8.00,0.20,0.20,23.47
오후 3:18:29,0.60,0.59,8.00,0.20,0.20,23.43
오후 3:18:30,0.60,0.59,8.00,0.20,0.20,23.48
오후 3:18:31,0.60,0.59,8.00,0.20,0.20,23.61
오후 3:18:32,0.60,0.59,8.00,0.20,0.20,23.59
오후 3:18:33,0.60,0.59,8.00,0.20,0.20,23.69
오후 3:18:34,0.60,0.59,8.00,0.20,0.20,23.71
오후 3:18:35,0.60,0.59,8.00,0.20,0.20,23.66
오후 3:18:36,0.60,0.59,8.00,0.20,0.20,23.85
오후 3:18:37,0.60,0.59,8.00,0.20,0.20,23.74
오후 3:18:38,0.60,0.60,8.00,0.20,0.20,23.58
오후 3:18:39,0.60,0.59,8.00,0.20,0.20,23.84
