Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 3:24:54,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 3:23:53,0.00,0.01,12.00,0.30,0.30,0.11
오후 3:23:54,0.60,0.01,12.00,0.30,0.30,74.18
오후 3:23:55,0.60,0.01,12.00,0.30,0.30,77.97
오후 3:23:56,0.60,0.19,12.00,0.30,0.30,59.74
오후 3:23:57,0.60,0.37,12.00,0.30,0.30,40.84
오후 3:23:58,0.60,0.49,12.00,0.30,0.30,27.33
오후 3:23:59,0.60,0.57,12.00,0.30,0.30,18.85
오후 3:24:00,0.60,0.58,12.00,0.30,0.30,17.33
오후 3:24:01,0.60,0.56,12.00,0.30,0.30,20.47
오후 3:24:02,0.60,0.53,12.00,0.30,0.30,24.48
오후 3:24:03,0.60,0.52,12.00,0.30,0.30,25.30
오후 3:24:04,0.60,0.54,12.00,0.30,0.30,23.54
오후 3:24:05,0.60,0.56,12.00,0.30,0.30,21.77
오후 3:24:06,0.60,0.57,12.00,0.30,0.30,20.55
오후 3:24:07,0.60,0.57,12.00,0.30,0.30,20.91
오후 3:24:08,0.60,0.56,12.00,0.30,0.30,22.28
오후 3:24:09,0.60,0.55,12.00,0.30,0.30,23.63
오후 3:24:10,0.60,0.55,12.00,0.30,0.30,23.71
오후 3:24:11,0.60,0.56,12.00,0.30,0.30,23.24
오후 3:24:12,0.60,0.56,12.00,0.30,0.30,22.87
오후 3:24:13,0.60,0.57,12.00,0.30,0.30,22.41
오후 3:24:14,0.60,0.57,12.00,0.30,0.30,22.19
오후 3:24:15,0.60,0.58,12.00,0.30,0.30,21.94
오후 3:24:16,0.60,0.57,12.00,0.30,0.30,22.59
오후 3:24:17,0.60,0.57,12.00,0.30,0.30,23.35
오후 3:24:18,0.60,0.57,12.00,0.30,0.30,23.97
오후 3:24:19,0.60,0.57,12.00,0.30,0.30,23.60
오후 3:24:20,0.60,0.57,12.00,0.30,0.30,23.26
오후 3:24:21,0.60,0.58,12.00,0.30,0.30,22.69
오후 3:24:22,0.60,0.58,12.00,0.30,0.30,22.35
오후 3:24:23,0.60,0.58,12.00,0.30,0.30,22.39
오후 3:24:24,0.60,0.58,12.00,0.30,0.30,22.65
오후 3:24:25,0.60,0.58,12.00,0.30,0.30,23.39
오후 3:24:26,0.60,0.57,12.00,0.30,0.30,24.09
오후 3:24:27,0.60,0.58,12.00,0.30,0.30,23.86
오후 3:24:28,0.60,0.58,12.00,0.30,0.30,23.47
오후 3:24:29,0.60,0.58,12.00,0.30,0.30,23.16
오후 3:24:30,0.60,0.59,12.00,0.30,0.30,22.96
오후 3:24:31,0.60,0.59,12.00,0.30,0.30,23.01
오후 3:24:32,0.60,0.59,12.00,0.30,0.30,23.40
오후 3:24:33,0.60,0.58,12.00,0.30,0.30,23.70
오후 3:24:34,0.60,0.58,12.00,0.30,0.30,24.18
오후 3:24:35,0.60,0.58,12.00,0.30,0.30,24.08
오후 3:24:36,0.60,0.59,12.00,0.30,0.30,23.87
오후 3:24:37,0.60,0.59,12.00,0.30,0.30,23.41
오후 3:24:38,0.60,0.59,12.00,0.30,0.30,23.28
오후 3:24:39,0.60,0.59,12.00,0.30,0.30,23.23
오후 3:24:40,0.60,0.59,12.00,0.30,0.30,23.43
오후 3:24:41,0.60,0.59,12.00,0.30,0.30,23.66
오후 3:24:42,0.60,0.59,12.00,0.30,0.30,24.00
오후 3:24:43,0.60,0.59,12.00,0.30,0.30,23.95
오후 3:24:44,0.60,0.59,12.00,0.30,0.30,23.90
오후 3:24:45,0.60,0.59,12.00,0.30,0.30,23.59
오후 3:24:46,0.60,0.59,12.00,0.30,0.30,23.44
오후 3:24:47,0.60,0.59,12.00,0.30,0.30,23.48
오후 3:24:48,0.60,0.60,12.00,0.30,0.30,23.38
오후 3:24:49,0.60,0.59,12.00,0.30,0.30,23.63
오후 3:24:50,0.60,0.59,12.00,0.30,0.30,23.60
오후 3:24:51,0.60,0.59,12.00,0.30,0.30,23.69
오후 3:24:52,0.60,0.59,12.00,0.30,0.30,23.62
오후 3:24:53,0.60,0.59,12.00,0.30,0.30,23.65
오후 3:24:54,0.60,0.59,12.00,0.30,0.30,23.78
