Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 4:11:29,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 4:10:21,0.00,0.01,12.00,0.30,0.30,0.00
오후 4:10:22,0.60,0.01,12.00,0.30,0.30,74.42
오후 4:10:23,0.60,0.01,12.00,0.30,0.30,77.68
오후 4:10:24,0.60,0.18,12.00,0.30,0.30,35.87
오후 4:10:25,0.60,0.36,12.00,0.30,0.30,16.35
오후 4:10:26,0.60,0.45,12.00,0.30,0.30,19.07
오후 4:10:27,0.60,0.43,12.00,0.30,0.30,38.20
오후 4:10:28,0.60,0.42,12.00,0.30,0.30,39.33
오후 4:10:29,0.60,0.51,12.00,0.30,0.30,16.56
오후 4:10:30,0.60,0.58,12.00,0.30,0.30,10.16
오후 4:10:31,0.60,0.54,12.00,0.30,0.30,30.28
오후 4:10:32,0.60,0.42,12.00,0.30,0.30,56.57
오후 4:10:33,0.60,0.47,12.00,0.30,0.30,29.04
오후 4:10:34,0.60,0.58,12.00,0.30,0.30,7.48
오후 4:10:35,0.60,0.61,12.00,0.30,0.30,15.40
오후 4:10:36,0.60,0.49,12.00,0.30,0.30,50.93
오후 4:10:37,0.60,0.40,12.00,0.30,0.30,59.13
오후 4:10:38,0.60,0.52,12.00,0.30,0.30,14.79
오후 4:10:39,0.60,0.62,12.00,0.30,0.30,6.25
오후 4:10:40,0.60,0.58,12.00,0.30,0.30,29.85
오후 4:10:41,0.60,0.45,12.00,0.30,0.30,59.47
오후 4:10:42,0.60,0.48,12.00,0.30,0.30,34.91
오후 4:10:43,0.60,0.59,12.00,0.30,0.30,10.42
오후 4:10:44,0.60,0.63,12.00,0.30,0.30,14.06
오후 4:10:45,0.60,0.52,12.00,0.30,0.30,50.38
오후 4:10:46,0.60,0.40,12.00,0.30,0.30,67.46
오후 4:10:47,0.60,0.51,12.00,0.30,0.30,20.74
오후 4:10:48,0.60,0.62,12.00,0.30,0.30,8.49
오후 4:10:49,0.60,0.62,12.00,0.30,0.30,24.76
오후 4:10:50,0.60,0.49,12.00,0.30,0.30,57.92
오후 4:10:51,0.60,0.49,12.00,0.30,0.30,40.62
오후 4:10:52,0.60,0.60,12.00,0.30,0.30,13.77
오후 4:10:53,0.60,0.65,12.00,0.30,0.30,12.91
오후 4:10:54,0.60,0.59,12.00,0.30,0.30,37.99
오후 4:10:55,0.60,0.52,12.00,0.30,0.30,48.44
오후 4:10:56,0.60,0.58,12.00,0.30,0.30,22.20
오후 4:10:57,0.60,0.66,12.00,0.30,0.30,10.47
오후 4:10:58,0.60,0.64,12.00,0.30,0.30,24.58
오후 4:10:59,0.60,0.52,12.00,0.30,0.30,55.64
오후 4:11:00,0.60,0.52,12.00,0.30,0.30,37.77
오후 4:11:01,0.60,0.62,12.00,0.30,0.30,12.79
오후 4:11:02,0.60,0.66,12.00,0.30,0.30,14.83
오후 4:11:03,0.60,0.57,12.00,0.30,0.30,45.29
오후 4:11:04,0.60,0.48,12.00,0.30,0.30,55.09
오후 4:11:05,0.60,0.58,12.00,0.30,0.30,18.79
오후 4:11:06,0.60,0.66,12.00,0.30,0.30,9.89
오후 4:11:07,0.60,0.64,12.00,0.30,0.30,27.55
오후 4:11:08,0.60,0.51,12.00,0.30,0.30,58.43
오후 4:11:09,0.60,0.53,12.00,0.30,0.30,36.05
오후 4:11:10,0.60,0.63,12.00,0.30,0.30,12.62
오후 4:11:11,0.60,0.66,12.00,0.30,0.30,16.33
오후 4:11:12,0.60,0.56,12.00,0.30,0.30,48.16
오후 4:11:13,0.60,0.51,12.00,0.30,0.30,48.12
오후 4:11:14,0.60,0.60,12.00,0.30,0.30,17.28
오후 4:11:15,0.60,0.67,12.00,0.30,0.30,10.41
오후 4:11:16,0.60,0.64,12.00,0.30,0.30,30.31
오후 4:11:17,0.60,0.51,12.00,0.30,0.30,59.30
오후 4:11:18,0.60,0.54,12.00,0.30,0.30,32.87
오후 4:11:19,0.60,0.63,12.00,0.30,0.30,12.67
오후 4:11:20,0.60,0.66,12.00,0.30,0.30,17.97
오후 4:11:21,0.60,0.57,12.00,0.30,0.30,47.67
오후 4:11:22,0.60,0.53,12.00,0.30,0.30,44.04
오후 4:11:23,0.60,0.62,12.00,0.30,0.30,16.22
오후 4:11:24,0.60,0.68,12.00,0.30,0.30,11.35
오후 4:11:25,0.60,0.63,12.00,0.30,0.30,33.51
오후 4:11:26,0.60,0.51,12.00,0.30,0.30,58.59
오후 4:11:27,0.60,0.55,12.00,0.30,0.30,29.29
오후 4:11:28,0.60,0.64,12.00,0.30,0.30,12.24
오후 4:11:29,0.60,0.66,12.00,0.30,0.30,20.23
