Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 3:17:17,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 3:16:26,0.00,0.01,8.00,0.10,0.10,0.00
오후 3:16:27,0.60,0.01,8.00,0.10,0.10,51.92
오후 3:16:28,0.60,0.01,8.00,0.10,0.10,59.63
오후 3:16:29,0.60,0.18,8.00,0.10,0.10,52.72
오후 3:16:30,0.60,0.35,8.00,0.10,0.10,43.34
오후 3:16:31,0.60,0.47,8.00,0.10,0.10,36.23
오후 3:16:32,0.60,0.56,8.00,0.10,0.10,30.66
오후 3:16:33,0.60,0.60,8.00,0.10,0.10,27.41
오후 3:16:34,0.60,0.62,8.00,0.10,0.10,25.86
오후 3:16:35,0.60,0.63,8.00,0.10,0.10,24.72
오후 3:16:36,0.60,0.63,8.00,0.10,0.10,24.16
오후 3:16:37,0.60,0.63,8.00,0.10,0.10,23.86
오후 3:16:38,0.60,0.63,8.00,0.10,0.10,23.66
오후 3:16:39,0.60,0.62,8.00,0.10,0.10,23.61
오후 3:16:40,0.60,0.62,8.00,0.10,0.10,23.71
오후 3:16:41,0.60,0.61,8.00,0.10,0.10,23.84
오후 3:16:42,0.60,0.61,8.00,0.10,0.10,24.18
오후 3:16:43,0.60,0.61,8.00,0.10,0.10,24.24
오후 3:16:44,0.60,0.61,8.00,0.10,0.10,24.08
오후 3:16:45,0.60,0.61,8.00,0.10,0.10,24.05
오후 3:16:46,0.60,0.61,8.00,0.10,0.10,23.80
오후 3:16:47,0.60,0.61,8.00,0.10,0.10,23.91
오후 3:16:48,0.60,0.61,8.00,0.10,0.10,23.71
오후 3:16:49,0.60,0.61,8.00,0.10,0.10,23.66
오후 3:16:50,0.60,0.61,8.00,0.10,0.10,23.64
오후 3:16:51,0.60,0.60,8.00,0.10,0.10,23.67
오후 3:16:52,0.60,0.60,8.00,0.10,0.10,23.72
오후 3:16:53,0.60,0.60,8.00,0.10,0.10,23.63
오후 3:16:54,0.60,0.60,8.00,0.10,0.10,23.92
오후 3:16:55,0.60,0.60,8.00,0.10,0.10,23.85
오후 3:16:56,0.60,0.60,8.00,0.10,0.10,23.77
오후 3:16:57,0.60,0.60,8.00,0.10,0.10,23.79
오후 3:16:58,0.60,0.60,8.00,0.10,0.10,23.78
오후 3:16:59,0.60,0.60,8.00,0.10,0.10,23.68
오후 3:17:00,0.60,0.60,8.00,0.10,0.10,23.73
오후 3:17:01,0.60,0.60,8.00,0.10,0.10,23.59
오후 3:17:02,0.60,0.60,8.00,0.10,0.10,23.88
오후 3:17:03,0.60,0.60,8.00,0.10,0.10,23.95
오후 3:17:04,0.60,0.60,8.00,0.10,0.10,23.92
오후 3:17:05,0.60,0.60,8.00,0.10,0.10,24.09
오후 3:17:06,0.60,0.60,8.00,0.10,0.10,24.08
오후 3:17:07,0.60,0.60,8.00,0.10,0.10,23.96
오후 3:17:08,0.60,0.60,8.00,0.10,0.10,23.95
오후 3:17:09,0.60,0.60,8.00,0.10,0.10,24.02
오후 3:17:10,0.60,0.60,8.00,0.10,0.10,23.90
오후 3:17:11,0.60,0.60,8.00,0.10,0.10,23.82
오후 3:17:12,0.60,0.60,8.00,0.10,0.10,23.68
오후 3:17:13,0.60,0.60,8.00,0.10,0.10,23.63
오후 3:17:14,0.60,0.60,8.00,0.10,0.10,23.61
오후 3:17:15,0.60,0.60,8.00,0.10,0.10,23.69
오후 3:17:16,0.60,0.60,8.00,0.10,0.10,23.65
