Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 3:53:27,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 3:51:47,0.00,0.01,8.00,0.30,0.30,0.00
오후 3:51:48,0.60,0.01,8.00,0.30,0.30,49.27
오후 3:51:49,0.60,0.01,8.00,0.30,0.30,52.17
오후 3:51:50,0.60,0.18,8.00,0.30,0.30,16.69
오후 3:51:51,0.60,0.35,8.00,0.30,0.30,4.55
오후 3:51:52,0.60,0.36,8.00,0.30,0.30,25.96
오후 3:51:53,0.60,0.27,8.00,0.30,0.30,51.38
오후 3:51:54,0.60,0.31,8.00,0.30,0.30,29.59
오후 3:51:55,0.60,0.44,8.00,0.30,0.30,6.36
오후 3:51:56,0.60,0.50,8.00,0.30,0.30,13.77
오후 3:51:57,0.60,0.39,8.00,0.30,0.30,46.40
오후 3:51:58,0.60,0.29,8.00,0.30,0.30,55.23
오후 3:51:59,0.60,0.42,8.00,0.30,0.30,12.58
오후 3:52:00,0.60,0.54,8.00,0.30,0.30,4.85
오후 3:52:01,0.60,0.49,8.00,0.30,0.30,32.89
오후 3:52:02,0.60,0.37,8.00,0.30,0.30,54.03
오후 3:52:03,0.60,0.42,8.00,0.30,0.30,26.01
오후 3:52:04,0.60,0.54,8.00,0.30,0.30,7.10
오후 3:52:05,0.60,0.57,8.00,0.30,0.30,18.80
오후 3:52:06,0.60,0.46,8.00,0.30,0.30,48.21
오후 3:52:07,0.60,0.41,8.00,0.30,0.30,43.50
오후 3:52:08,0.60,0.53,8.00,0.30,0.30,10.59
오후 3:52:09,0.60,0.61,8.00,0.30,0.30,8.91
오후 3:52:10,0.60,0.51,8.00,0.30,0.30,43.66
오후 3:52:11,0.60,0.39,8.00,0.30,0.30,57.40
오후 3:52:12,0.60,0.48,8.00,0.30,0.30,20.26
오후 3:52:13,0.60,0.59,8.00,0.30,0.30,8.47
오후 3:52:14,0.60,0.59,8.00,0.30,0.30,25.33
오후 3:52:15,0.60,0.47,8.00,0.30,0.30,51.90
오후 3:52:16,0.60,0.48,8.00,0.30,0.30,33.31
오후 3:52:17,0.60,0.58,8.00,0.30,0.30,11.67
오후 3:52:18,0.60,0.62,8.00,0.30,0.30,16.75
오후 3:52:19,0.60,0.51,8.00,0.30,0.30,48.57
오후 3:52:20,0.60,0.47,8.00,0.30,0.30,42.18
오후 3:52:21,0.60,0.57,8.00,0.30,0.30,13.95
오후 3:52:22,0.60,0.64,8.00,0.30,0.30,12.29
오후 3:52:23,0.60,0.58,8.00,0.30,0.30,35.75
오후 3:52:24,0.60,0.49,8.00,0.30,0.30,47.90
오후 3:52:25,0.60,0.55,8.00,0.30,0.30,21.66
