Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 3:51:12,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 3:49:47,0.00,0.01,8.00,0.30,0.30,0.22
오후 3:49:48,0.60,0.01,8.00,0.30,0.30,49.03
오후 3:49:49,0.60,0.01,8.00,0.30,0.30,51.99
오후 3:49:50,0.60,0.18,8.00,0.30,0.30,24.52
오후 3:49:51,0.60,0.35,8.00,0.30,0.30,12.63
오후 3:49:52,0.60,0.40,8.00,0.30,0.30,20.53
오후 3:49:53,0.60,0.36,8.00,0.30,0.30,33.20
오후 3:49:54,0.60,0.38,8.00,0.30,0.30,27.42
오후 3:49:55,0.60,0.46,8.00,0.30,0.30,16.43
오후 3:49:56,0.60,0.50,8.00,0.30,0.30,17.18
오후 3:49:57,0.60,0.47,8.00,0.30,0.30,25.78
오후 3:49:58,0.60,0.45,8.00,0.30,0.30,28.43
오후 3:49:59,0.60,0.48,8.00,0.30,0.30,20.84
오후 3:50:00,0.60,0.52,8.00,0.30,0.30,17.91
오후 3:50:01,0.60,0.52,8.00,0.30,0.30,21.21
오후 3:50:02,0.60,0.50,8.00,0.30,0.30,25.46
오후 3:50:03,0.60,0.51,8.00,0.30,0.30,23.30
오후 3:50:04,0.60,0.53,8.00,0.30,0.30,19.72
오후 3:50:05,0.60,0.55,8.00,0.30,0.30,19.56
오후 3:50:06,0.60,0.54,8.00,0.30,0.30,23.08
오후 3:50:07,0.60,0.53,8.00,0.30,0.30,24.51
오후 3:50:08,0.60,0.53,8.00,0.30,0.30,22.02
오후 3:50:09,0.60,0.55,8.00,0.30,0.30,20.70
오후 3:50:10,0.60,0.56,8.00,0.30,0.30,20.88
오후 3:50:11,0.60,0.55,8.00,0.30,0.30,23.16
오후 3:50:12,0.60,0.54,8.00,0.30,0.30,23.77
오후 3:50:13,0.60,0.55,8.00,0.30,0.30,22.58
오후 3:50:14,0.60,0.56,8.00,0.30,0.30,21.68
오후 3:50:15,0.60,0.57,8.00,0.30,0.30,20.98
오후 3:50:16,0.60,0.57,8.00,0.30,0.30,22.07
오후 3:50:17,0.60,0.56,8.00,0.30,0.30,23.54
오후 3:50:18,0.60,0.55,8.00,0.30,0.30,23.95
오후 3:50:19,0.60,0.56,8.00,0.30,0.30,22.32
오후 3:50:20,0.60,0.57,8.00,0.30,0.30,21.60
오후 3:50:21,0.60,0.58,8.00,0.30,0.30,21.42
오후 3:50:22,0.60,0.57,8.00,0.30,0.30,23.03
오후 3:50:23,0.60,0.56,8.00,0.30,0.30,24.03
오후 3:50:24,0.60,0.56,8.00,0.30,0.30,23.46
오후 3:50:25,0.60,0.57,8.00,0.30,0.30,22.78
오후 3:50:26,0.60,0.57,8.00,0.30,0.30,22.74
오후 3:50:27,0.60,0.58,8.00,0.30,0.30,22.31
오후 3:50:28,0.60,0.58,8.00,0.30,0.30,22.50
오후 3:50:29,0.60,0.58,8.00,0.30,0.30,22.45
오후 3:50:30,0.60,0.58,8.00,0.30,0.30,22.25
오후 3:50:31,0.60,0.58,8.00,0.30,0.30,22.73
오후 3:50:32,0.60,0.58,8.00,0.30,0.30,22.61
오후 3:50:33,0.60,0.58,8.00,0.30,0.30,23.86
오후 3:50:34,0.60,0.58,8.00,0.30,0.30,23.85
오후 3:50:35,0.60,0.58,8.00,0.30,0.30,23.54
오후 3:50:36,0.60,0.58,8.00,0.30,0.30,23.13
오후 3:50:37,0.60,0.58,8.00,0.30,0.30,22.56
오후 3:50:38,0.60,0.59,8.00,0.30,0.30,22.94
오후 3:50:39,0.60,0.59,8.00,0.30,0.30,22.21
오후 3:50:40,0.60,0.59,8.00,0.30,0.30,22.62
오후 3:50:41,0.60,0.59,8.00,0.30,0.30,22.89
오후 3:50:42,0.60,0.59,8.00,0.30,0.30,23.71
오후 3:50:43,0.60,0.58,8.00,0.30,0.30,24.29
오후 3:50:44,0.60,0.58,8.00,0.30,0.30,24.26
오후 3:50:45,0.60,0.58,8.00,0.30,0.30,23.69
오후 3:50:46,0.60,0.59,8.00,0.30,0.30,22.99
오후 3:50:47,0.60,0.59,8.00,0.30,0.30,23.19
오후 3:50:48,0.60,0.59,8.00,0.30,0.30,23.27
오후 3:50:49,0.60,0.59,8.00,0.30,0.30,22.65
오후 3:50:50,0.60,0.60,8.00,0.30,0.30,22.74
오후 3:50:51,0.60,0.60,8.00,0.30,0.30,22.93
오후 3:50:52,0.60,0.60,8.00,0.30,0.30,22.94
오후 3:50:53,0.60,0.59,8.00,0.30,0.30,23.97
오후 3:50:54,0.60,0.59,8.00,0.30,0.30,24.36
오후 3:50:55,0.60,0.58,8.00,0.30,0.30,24.46
오후 3:50:56,0.60,0.59,8.00,0.30,0.30,23.38
오후 3:50:57,0.60,0.59,8.00,0.30,0.30,23.40
오후 3:50:58,0.60,0.59,8.00,0.30,0.30,23.35
오후 3:50:59,0.60,0.59,8.00,0.30,0.30,23.22
오후 3:51:00,0.60,0.59,8.00,0.30,0.30,23.61
오후 3:51:01,0.60,0.60,8.00,0.30,0.30,22.85
오후 3:51:02,0.60,0.60,8.00,0.30,0.30,23.26
오후 3:51:03,0.60,0.60,8.00,0.30,0.30,22.95
오후 3:51:04,0.60,0.60,8.00,0.30,0.30,23.47
오후 3:51:05,0.60,0.59,8.00,0.30,0.30,23.81
오후 3:51:06,0.60,0.59,8.00,0.30,0.30,24.66
오후 3:51:07,0.60,0.59,8.00,0.30,0.30,24.60
오후 3:51:08,0.60,0.59,8.00,0.30,0.30,23.89
오후 3:51:09,0.60,0.59,8.00,0.30,0.30,23.53
오후 3:51:10,0.60,0.60,8.00,0.30,0.30,23.31
오후 3:51:11,0.60,0.60,8.00,0.30,0.30,22.87
오후 3:51:12,0.60,0.60,8.00,0.30,0.30,22.96
