Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 3:20:08,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 3:19:11,0.00,0.01,8.00,0.30,0.30,0.21
오후 3:19:12,0.60,0.01,8.00,0.30,0.30,49.46
오후 3:19:13,0.60,0.01,8.00,0.30,0.30,52.04
오후 3:19:14,0.60,0.18,8.00,0.30,0.30,40.43
오후 3:19:15,0.60,0.35,8.00,0.30,0.30,28.57
오후 3:19:16,0.60,0.46,8.00,0.30,0.30,21.04
오후 3:19:17,0.60,0.50,8.00,0.30,0.30,18.16
오후 3:19:18,0.60,0.50,8.00,0.30,0.30,18.26
오후 3:19:19,0.60,0.49,8.00,0.30,0.30,20.12
오후 3:19:20,0.60,0.47,8.00,0.30,0.30,21.54
오후 3:19:21,0.60,0.48,8.00,0.30,0.30,22.03
오후 3:19:22,0.60,0.48,8.00,0.30,0.30,22.06
오후 3:19:23,0.60,0.49,8.00,0.30,0.30,21.66
오후 3:19:24,0.60,0.50,8.00,0.30,0.30,21.28
오후 3:19:25,0.60,0.51,8.00,0.30,0.30,21.11
오후 3:19:26,0.60,0.52,8.00,0.30,0.30,20.93
오후 3:19:27,0.60,0.52,8.00,0.30,0.30,21.26
오후 3:19:28,0.60,0.52,8.00,0.30,0.30,21.81
오후 3:19:29,0.60,0.51,8.00,0.30,0.30,22.30
오후 3:19:30,0.60,0.52,8.00,0.30,0.30,22.19
오후 3:19:31,0.60,0.53,8.00,0.30,0.30,22.10
오후 3:19:32,0.60,0.53,8.00,0.30,0.30,21.91
오후 3:19:33,0.60,0.54,8.00,0.30,0.30,21.74
오후 3:19:34,0.60,0.54,8.00,0.30,0.30,21.92
오후 3:19:35,0.60,0.54,8.00,0.30,0.30,22.11
오후 3:19:36,0.60,0.54,8.00,0.30,0.30,22.58
오후 3:19:37,0.60,0.54,8.00,0.30,0.30,22.63
오후 3:19:38,0.60,0.55,8.00,0.30,0.30,22.51
오후 3:19:39,0.60,0.55,8.00,0.30,0.30,22.46
오후 3:19:40,0.60,0.55,8.00,0.30,0.30,22.34
오후 3:19:41,0.60,0.55,8.00,0.30,0.30,22.38
오후 3:19:42,0.60,0.56,8.00,0.30,0.30,22.22
오후 3:19:43,0.60,0.56,8.00,0.30,0.30,22.58
오후 3:19:44,0.60,0.56,8.00,0.30,0.30,22.82
오후 3:19:45,0.60,0.56,8.00,0.30,0.30,22.85
오후 3:19:46,0.60,0.56,8.00,0.30,0.30,22.88
오후 3:19:47,0.60,0.56,8.00,0.30,0.30,22.91
오후 3:19:48,0.60,0.56,8.00,0.30,0.30,22.89
오후 3:19:49,0.60,0.57,8.00,0.30,0.30,22.89
오후 3:19:50,0.60,0.57,8.00,0.30,0.30,22.99
오후 3:19:51,0.60,0.57,8.00,0.30,0.30,23.07
오후 3:19:52,0.60,0.57,8.00,0.30,0.30,22.90
오후 3:19:53,0.60,0.57,8.00,0.30,0.30,23.20
오후 3:19:54,0.60,0.57,8.00,0.30,0.30,23.27
오후 3:19:55,0.60,0.57,8.00,0.30,0.30,23.41
오후 3:19:56,0.60,0.57,8.00,0.30,0.30,23.36
오후 3:19:57,0.60,0.58,8.00,0.30,0.30,23.18
오후 3:19:58,0.60,0.58,8.00,0.30,0.30,23.27
오후 3:19:59,0.60,0.58,8.00,0.30,0.30,23.19
오후 3:20:00,0.60,0.58,8.00,0.30,0.30,23.17
오후 3:20:01,0.60,0.58,8.00,0.30,0.30,23.19
오후 3:20:02,0.60,0.58,8.00,0.30,0.30,23.33
오후 3:20:03,0.60,0.58,8.00,0.30,0.30,23.15
오후 3:20:04,0.60,0.58,8.00,0.30,0.30,23.30
오후 3:20:05,0.60,0.58,8.00,0.30,0.30,23.30
오후 3:20:06,0.60,0.58,8.00,0.30,0.30,23.41
오후 3:20:07,0.60,0.58,8.00,0.30,0.30,23.47
